Date,Open,High,Low,Close,Volume,Adj Close
2015-05-26,74.95,75.91,73.58,73.68,1009000,73.68
2015-05-25,75.20,75.20,75.20,75.20,000,75.20
2015-05-22,75.71,75.80,74.50,75.20,744900,75.20
2015-05-21,76.40,76.49,75.54,75.71,590600,75.71
2015-05-20,76.23,76.44,75.29,76.33,723400,76.33
2015-05-19,75.70,76.54,75.54,76.31,889900,76.31
2015-05-18,74.52,75.49,74.00,75.37,871100,75.37
2015-05-15,74.95,75.21,73.91,74.40,916900,74.40
2015-05-14,73.10,74.98,72.70,74.75,598700,74.75
2015-05-13,74.28,74.48,73.18,73.48,684800,73.48
2015-05-12,73.60,74.12,72.53,73.84,1030100,73.84
2015-05-11,73.73,74.14,73.31,74.02,671600,74.02
2015-05-08,72.88,73.88,72.02,73.74,1062100,73.74
2015-05-07,73.30,73.51,71.11,73.21,1536300,71.71
2015-05-06,73.89,74.53,72.89,73.31,855900,71.808
2015-05-05,77.01,78.05,73.80,73.88,2119400,72.3663
2015-05-04,74.02,76.03,73.56,75.58,1221900,74.0314
2015-05-01,73.42,73.42,73.42,73.42,000,71.9157
2015-04-30,73.45,74.08,72.87,73.42,1148300,71.9157
2015-04-29,76.33,76.88,73.30,73.38,1479500,71.8765
2015-04-28,76.56,76.92,75.84,76.27,1165100,74.7073
2015-04-27,74.55,76.51,74.01,76.51,987900,74.9424
2015-04-24,73.51,75.03,73.51,74.41,887700,72.8854
2015-04-23,74.34,74.79,72.95,73.25,1257200,71.7492
2015-04-22,75.50,76.25,74.14,74.42,979900,72.8952
2015-04-21,75.00,76.31,74.77,75.63,1073100,74.0804
2015-04-20,73.28,74.84,73.24,74.75,829100,73.2185
2015-04-17,75.75,76.37,73.17,73.35,1527700,71.8471
2015-04-16,76.26,77.26,75.53,76.03,1108600,74.4722
2015-04-15,75.90,76.91,75.38,76.26,1101500,74.6975
2015-04-14,76.30,76.71,75.82,76.12,845500,74.5604
2015-04-13,76.88,77.25,76.49,76.72,766600,75.1481
2015-04-10,76.00,77.23,75.99,77.21,1051600,75.628
2015-04-09,75.00,76.00,74.91,75.82,1017900,74.2665
2015-04-08,74.49,75.00,74.18,75.00,825400,73.4633
2015-04-07,74.40,74.97,74.04,74.55,1085900,73.0226
2015-04-06,74.32,74.32,74.32,74.32,000,72.7973
2015-04-03,74.32,74.32,74.32,74.32,000,72.7973
2015-04-02,73.65,74.60,73.36,74.32,920000,72.7973
2015-04-01,73.10,74.13,72.67,73.93,1369600,72.4153
2015-03-31,73.44,74.17,73.26,73.69,1352800,72.1802
2015-03-30,73.16,74.28,73.01,73.80,1207500,72.2879
2015-03-27,72.74,75.10,72.22,72.97,3436500,71.4749
2015-03-26,70.35,71.23,68.68,71.01,2108500,69.5551
2015-03-25,70.81,71.04,70.19,70.43,1210900,68.987
2015-03-24,68.80,71.35,68.73,71.16,1389400,69.702
2015-03-23,69.92,69.92,66.80,69.27,2128700,67.8507
2015-03-20,70.85,71.06,70.28,70.30,2186100,68.8596
2015-03-19,70.77,71.76,70.18,70.65,1266600,69.2025
2015-03-18,71.50,71.66,70.54,71.00,918500,69.5453
2015-03-17,72.03,72.15,70.97,71.48,1024600,70.0154
2015-03-16,70.99,72.69,70.90,72.24,1154600,70.7599
2015-03-13,71.66,71.71,70.54,70.86,912300,69.4081
2015-03-12,71.47,71.99,70.95,71.24,988900,69.7804
2015-03-11,70.64,71.78,70.50,71.36,1505100,69.8979
2015-03-10,71.47,71.81,70.18,70.42,1356500,68.9772
2015-03-09,71.90,72.40,71.02,71.47,1253300,70.0057
2015-03-06,71.14,73.73,71.11,71.97,2296500,70.4954
2015-03-05,70.00,72.07,69.82,71.37,2374600,69.9077
2015-03-04,68.40,69.24,68.40,69.00,1260300,67.5863
2015-03-03,69.21,70.65,68.36,68.44,1302800,67.0377
2015-03-02,69.38,70.10,68.24,68.88,900800,67.4687
2015-02-27,68.96,69.50,68.52,69.43,984400,68.0075
2015-02-26,68.40,69.09,68.24,68.89,752000,67.4785
2015-02-25,69.02,69.32,67.82,68.23,886900,66.832
2015-02-24,69.21,69.39,68.42,68.92,1060900,67.5079
2015-02-23,68.98,69.40,67.60,69.23,932700,67.8116
2015-02-20,68.24,69.36,68.21,68.82,2680600,67.41
2015-02-19,64.66,68.86,63.76,67.87,5144300,66.4794
2015-02-18,64.07,64.81,63.98,64.66,937900,63.3352
2015-02-17,64.44,64.92,63.32,63.63,1400500,62.3263
2015-02-16,64.88,65.55,64.56,65.03,603500,63.6976
2015-02-13,65.50,65.85,64.74,64.88,1257600,63.5507
2015-02-12,63.20,65.90,63.05,65.33,2126000,63.9915
2015-02-11,62.80,63.53,62.72,63.51,889000,62.2087
2015-02-10,62.24,62.71,61.59,62.71,900500,61.4251
2015-02-09,63.12,63.45,62.06,62.41,913600,61.1313
2015-02-06,63.85,64.50,63.27,63.39,910000,62.0912
2015-02-05,63.50,63.85,62.72,63.65,821300,62.3459
2015-02-04,63.63,63.85,62.43,63.83,1171300,62.5222
2015-02-03,62.00,63.85,61.80,63.33,1545000,62.0324
2015-02-02,61.59,61.89,61.01,61.79,1246300,60.524
2015-01-30,61.89,61.95,60.86,61.19,1342200,59.9363
2015-01-29,61.09,61.43,60.26,61.43,862100,60.1714
2015-01-28,62.05,62.80,60.56,61.40,1400400,60.142
2015-01-27,61.84,62.40,60.89,61.41,1602800,60.1518
2015-01-26,60.75,61.57,60.28,61.57,1882700,60.3085
2015-01-23,60.50,60.91,59.75,60.54,4223100,59.2996
2015-01-22,58.28,58.75,57.54,58.27,1834900,57.0761
2015-01-21,58.38,58.42,57.08,58.05,1938100,56.8606
2015-01-20,59.25,59.35,58.02,58.39,1536300,57.1936
2015-01-19,57.00,59.31,56.90,58.81,1949400,57.605
2015-01-16,56.16,56.87,55.61,56.59,1401600,55.4305
2015-01-15,55.85,56.41,54.40,56.41,2277900,55.2542
2015-01-14,56.00,56.05,54.92,55.45,1079800,54.3139
2015-01-13,56.15,56.64,55.87,56.30,1372200,55.1465
2015-01-12,56.62,57.16,55.93,56.59,900200,55.4305
2015-01-09,56.75,57.65,56.53,56.82,1538900,55.6558
2015-01-08,55.65,57.18,55.63,56.98,1283100,55.8125
2015-01-07,55.00,55.38,54.62,55.16,1111200,54.0298
2015-01-06,54.59,55.43,53.80,54.61,1281100,53.4911
2015-01-05,56.27,56.80,54.70,54.75,1567600,53.6282
2015-01-02,57.72,57.86,56.25,56.42,964200,55.264
2015-01-01,57.62,57.62,57.62,57.62,000,56.4394
2014-12-31,57.62,57.62,57.62,57.62,000,56.4394
2014-12-30,56.30,57.62,56.00,57.62,848800,56.4394
2014-12-29,56.52,56.90,56.35,56.67,726800,55.5089
2014-12-26,56.74,56.74,56.74,56.74,000,55.5775
2014-12-25,56.74,56.74,56.74,56.74,000,55.5775
2014-12-24,56.74,56.74,56.74,56.74,000,55.5775
2014-12-23,57.00,57.07,56.53,56.74,843100,55.5775
2014-12-22,56.86,57.42,56.73,56.89,877600,55.7244
2014-12-19,56.71,57.27,56.01,56.60,1794700,55.4403
2014-12-18,55.81,56.57,54.55,56.55,1835400,55.3913
2014-12-17,54.64,55.86,54.33,55.67,2281900,54.5294
2014-12-16,56.35,56.75,53.56,55.14,3709600,54.0102
2014-12-15,57.50,58.37,56.30,56.34,1421800,55.1856
2014-12-12,58.00,58.14,57.22,57.26,1661700,56.0868
2014-12-11,57.47,58.51,57.23,58.42,1182700,57.223
2014-12-10,59.28,59.55,57.73,57.84,1780500,56.6549
2014-12-09,59.89,60.02,59.13,59.13,1838000,57.9185
2014-12-08,60.50,60.65,59.96,60.22,1279400,58.9862
2014-12-05,60.48,60.86,60.11,60.44,1605200,59.2016
2014-12-04,61.35,61.63,60.00,60.00,3117400,58.7707
2014-12-03,61.68,61.68,60.92,61.55,2775100,60.2889
2014-12-02,63.81,63.87,62.90,63.05,1380300,61.7582
2014-12-01,64.40,64.83,63.54,63.74,1216700,62.434
2014-11-28,64.59,64.85,64.09,64.50,933200,63.1785
2014-11-27,64.41,64.85,64.33,64.62,720000,63.296
2014-11-26,64.56,64.98,64.06,64.50,994400,63.1785
2014-11-25,65.00,65.46,64.40,64.54,1438300,63.2176
2014-11-24,65.56,65.81,64.95,65.02,1504700,63.6878
