Date,Open,High,Low,Close,Volume,Adj Close
2015-05-26,137.20,138.50,133.95,134.45,2505700,132.20
2015-05-25,137.10,137.10,137.10,137.10,000,134.806
2015-05-22,137.40,137.90,136.60,137.10,1598400,134.806
2015-05-21,136.40,138.00,135.75,137.75,1394300,135.445
2015-05-20,137.85,137.90,135.60,137.25,1618400,134.953
2015-05-19,135.00,137.70,134.80,137.50,2130300,135.199
2015-05-18,130.75,133.90,130.05,133.90,1970800,131.659
2015-05-15,131.80,133.15,129.85,130.45,4485400,128.267
2015-05-14,127.95,131.30,126.75,131.00,1735400,128.808
2015-05-13,131.10,131.75,127.85,128.85,2534200,126.694
2015-05-12,130.70,131.25,128.65,130.50,2044000,128.316
2015-05-11,133.00,133.00,130.65,132.40,1711800,130.184
2015-05-08,130.00,132.75,128.85,132.75,3146000,130.528
2015-05-07,126.50,128.05,124.10,127.40,2966800,125.268
2015-05-06,126.45,128.70,125.10,126.95,2407500,124.826
2015-05-05,129.50,131.80,126.35,126.45,2897500,124.334
2015-05-04,130.60,131.25,127.75,130.10,2039600,127.923
2015-05-01,129.90,129.90,129.90,129.90,000,127.726
2015-04-30,129.00,132.20,127.10,129.90,3056200,127.726
2015-04-29,133.90,135.75,126.50,129.00,3686400,126.841
2015-04-28,137.65,137.85,132.90,134.40,1885700,132.151
2015-04-27,135.90,138.40,134.00,138.35,2186700,136.035
2015-04-24,134.65,135.85,134.10,135.30,1895100,133.036
2015-04-23,136.20,136.70,133.50,134.15,2376800,131.905
2015-04-22,137.95,138.85,135.45,136.45,1582500,134.167
2015-04-21,137.40,139.20,136.95,137.80,1815300,135.494
2015-04-20,134.20,137.05,133.70,136.80,2162900,134.511
2015-04-17,137.00,138.60,133.40,133.50,4336900,131.266
2015-04-16,142.45,142.50,138.80,138.95,2106500,136.625
2015-04-15,143.15,143.85,142.50,142.85,1694300,140.459
2015-04-14,144.90,145.15,142.60,143.20,1648800,140.804
2015-04-13,146.30,146.45,145.10,145.20,1525900,142.77
2015-04-10,142.90,146.20,142.65,146.20,2297700,143.753
2015-04-09,140.80,141.85,140.20,141.75,1170500,139.378
2015-04-08,140.60,140.95,139.55,139.90,1283900,137.559
2015-04-07,140.45,141.50,139.45,141.20,2261900,138.837
2015-04-06,138.80,138.80,138.80,138.80,000,136.477
2015-04-03,138.80,138.80,138.80,138.80,000,136.477
2015-04-02,140.15,140.55,138.65,138.80,1563100,136.477
2015-04-01,139.20,143.05,139.05,140.30,2242600,137.952
