Date,Open,High,Low,Close,Volume,Adj Close
2015-05-26,83.00,83.63,81.70,81.77,516200,81.77
2015-05-25,83.11,83.11,83.11,83.11,000,83.11
2015-05-22,83.53,84.03,82.89,83.11,359800,83.11
2015-05-21,82.71,83.13,82.45,83.08,291800,83.08
2015-05-20,83.67,83.87,82.86,82.90,410700,82.90
2015-05-19,82.10,83.82,82.10,83.70,342900,83.70
2015-05-18,80.59,81.82,79.99,81.82,343500,81.82
2015-05-15,81.50,81.86,80.15,80.61,387500,80.61
2015-05-14,79.00,81.34,78.65,81.26,330100,81.26
2015-05-13,80.38,80.92,79.02,79.30,351300,79.30
2015-05-12,80.11,80.39,79.11,79.96,478800,79.96
2015-05-11,81.09,81.89,80.48,80.77,476600,80.77
2015-05-08,79.90,81.85,79.65,81.66,705900,81.66
2015-05-07,76.06,80.66,75.50,79.26,1191900,79.26
2015-05-06,76.86,77.85,76.40,76.81,401100,76.81
2015-05-05,78.49,79.80,76.64,76.67,615700,76.67
2015-05-04,78.37,79.15,77.78,78.75,506700,78.75
2015-05-01,77.96,77.96,77.96,77.96,000,77.96
2015-04-30,77.49,78.73,76.75,77.96,546200,77.96
2015-04-29,80.41,80.67,77.70,77.70,546100,77.70
2015-04-28,81.68,81.69,79.85,80.23,490500,80.23
2015-04-27,80.87,81.72,79.63,81.72,343400,81.72
2015-04-24,79.63,80.47,79.46,80.25,362100,80.25
2015-04-23,80.13,80.75,78.83,79.47,438900,79.47
2015-04-22,81.80,81.87,80.14,80.24,419200,80.24
2015-04-21,81.84,83.02,81.48,81.71,369200,81.71
2015-04-20,80.82,81.52,80.80,81.37,224600,81.37
2015-04-17,82.12,82.59,80.79,80.82,491200,80.82
2015-04-16,82.71,82.73,81.77,82.03,272900,82.03
2015-04-15,82.55,83.16,82.44,82.61,292400,82.61
2015-04-14,82.76,83.15,82.07,82.29,302800,82.29
2015-04-13,83.24,83.40,82.63,82.84,335100,82.84
2015-04-10,81.70,83.52,81.50,83.35,561100,83.35
2015-04-09,81.62,82.57,81.62,82.16,286000,82.16
2015-04-08,82.63,82.76,81.40,81.57,436300,81.57
2015-04-07,82.00,82.80,81.53,82.62,331700,82.62
2015-04-06,81.37,81.37,81.37,81.37,000,81.37
2015-04-03,81.37,81.37,81.37,81.37,000,81.37
2015-04-02,80.86,81.70,80.84,81.37,345200,81.37
2015-04-01,80.11,81.02,79.60,80.78,610400,80.78
2015-03-31,81.81,82.37,80.69,80.90,645200,80.20
2015-03-30,81.65,82.34,81.36,82.12,353800,81.4094
