Date,Open,High,Low,Close,Volume,Adj Close
2015-05-26,105.20,106.55,102.55,103.60,2308500,103.60
2015-05-25,104.80,104.80,104.80,104.80,000,104.80
2015-05-22,105.25,105.55,104.00,104.80,1386500,104.80
2015-05-21,106.00,106.30,103.90,105.35,1625200,105.35
2015-05-20,107.45,107.70,105.80,106.45,1307400,106.45
2015-05-19,104.50,107.65,104.50,107.15,2736900,107.15
2015-05-18,102.00,103.45,101.05,103.35,1594900,103.35
2015-05-15,105.55,105.90,101.45,102.00,2600900,102.00
2015-05-14,101.50,104.95,100.05,104.60,2342000,104.60
2015-05-13,105.85,106.65,104.00,104.90,2524000,102.00
2015-05-12,108.45,108.55,104.90,106.35,2661200,103.41
2015-05-11,109.90,110.00,108.20,109.30,1548200,106.278
2015-05-08,105.80,109.50,104.60,109.50,2848800,106.473
2015-05-07,103.60,105.25,102.00,104.60,2172400,101.708
2015-05-06,106.50,108.45,101.50,104.10,3585700,101.222
2015-05-05,106.70,109.30,106.00,106.50,2045100,103.556
2015-05-04,106.95,108.10,105.25,106.75,1417200,103.799
2015-05-01,106.10,106.10,106.10,106.10,000,103.167
2015-04-30,106.50,108.10,104.70,106.10,2293500,103.167
2015-04-29,110.60,110.75,105.45,106.35,2720600,103.41
2015-04-28,113.75,114.25,108.75,109.85,2062300,106.813
2015-04-27,111.50,113.40,110.00,113.00,1523500,109.876
2015-04-24,110.80,111.50,109.40,110.45,1469800,107.397
2015-04-23,110.50,111.50,108.60,110.25,1884200,107.202
2015-04-22,112.85,113.45,108.85,110.00,2336900,106.959
2015-04-21,112.75,113.40,111.90,112.00,1309400,108.904
2015-04-20,111.05,113.05,110.85,111.70,1828600,108.612
2015-04-17,112.70,113.90,110.10,110.40,2402200,107.348
2015-04-16,115.65,115.85,112.75,112.90,1900200,109.779
2015-04-15,115.20,117.00,114.95,115.40,1455200,112.21
2015-04-14,116.20,117.10,114.60,115.15,1640500,111.967
2015-04-13,117.25,117.90,116.15,116.25,1295400,113.036
2015-04-10,116.90,117.85,116.00,117.35,1481200,114.106
2015-04-09,115.15,116.20,114.00,116.20,1616300,112.988
2015-04-08,114.00,114.20,111.80,113.25,1938100,110.119
2015-04-07,116.30,116.30,113.85,114.90,1567500,111.724
2015-04-06,114.95,114.95,114.95,114.95,000,111.772
2015-04-03,114.95,114.95,114.95,114.95,000,111.772
2015-04-02,115.70,116.55,114.25,114.95,1107000,111.772
2015-04-01,115.50,117.60,114.90,115.50,1663400,112.307
