Date,Open,High,Low,Close,Volume,Adj Close
2015-05-26,12.47,12.545,12.14,12.205,8423700,12.205
2015-05-25,12.47,12.47,12.47,12.47,000,12.47
2015-05-22,12.55,12.61,12.45,12.47,4366000,12.47
2015-05-21,12.575,12.64,12.42,12.545,4992700,12.545
2015-05-20,12.61,12.69,12.53,12.65,5640300,12.65
2015-05-19,12.55,12.785,12.525,12.64,10303800,12.64
2015-05-18,12.54,12.585,12.29,12.485,8318300,12.485
2015-05-15,12.74,12.755,12.475,12.54,7411700,12.54
2015-05-14,12.55,12.765,12.46,12.68,6276500,12.68
2015-05-13,12.45,12.775,12.445,12.585,14099200,12.585
2015-05-12,12.275,12.425,12.135,12.36,8513100,12.36
2015-05-11,12.385,12.47,12.315,12.39,6134300,12.39
2015-05-08,12.49,12.49,12.175,12.325,10476500,12.325
2015-05-07,11.89,12.265,11.735,12.265,17500600,12.265
2015-05-06,11.805,11.97,11.71,11.86,10332800,11.86
2015-05-05,12.16,12.305,11.82,11.845,12349500,11.845
2015-05-04,12.20,12.245,12.01,12.16,10477000,12.16
2015-05-01,12.145,12.145,12.145,12.145,000,12.145
2015-04-30,12.14,12.26,11.975,12.145,15681300,12.145
2015-04-29,12.20,12.34,11.995,12.025,20061000,12.025
2015-04-28,12.35,12.45,12.10,12.175,40878100,12.175
2015-04-27,12.93,12.945,12.54,12.915,8539100,12.915
2015-04-24,12.695,12.92,12.60,12.795,7156900,12.795
2015-04-23,12.72,12.75,12.485,12.675,6641000,12.675
2015-04-22,12.47,12.74,12.47,12.685,9156300,12.685
2015-04-21,12.70,12.79,12.335,12.40,8231000,12.40
2015-04-20,12.235,12.625,12.235,12.58,7199600,12.58
2015-04-17,12.495,12.56,12.07,12.26,13504100,12.26
2015-04-16,13.055,13.08,12.53,12.565,12838900,12.565
2015-04-15,13.025,13.14,12.935,13.065,4547100,13.065
2015-04-14,13.27,13.39,12.87,12.98,9367300,12.98
2015-04-13,13.195,13.335,13.17,13.29,4267000,13.29
2015-04-10,13.29,13.35,13.11,13.205,6162100,13.205
2015-04-09,13.32,13.38,13.065,13.235,5762800,13.235
2015-04-08,13.305,13.38,13.21,13.25,6597800,13.25
2015-04-07,13.21,13.305,13.19,13.24,6561500,13.24
2015-04-06,13.12,13.12,13.12,13.12,000,13.12
2015-04-03,13.12,13.12,13.12,13.12,000,13.12
2015-04-02,13.09,13.185,13.01,13.12,6605700,13.12
2015-04-01,12.785,13.145,12.78,13.06,10637700,13.06
2015-03-31,13.00,13.065,12.805,12.85,7256600,12.85
2015-03-30,12.90,13.015,12.875,13.00,5792500,13.00
2015-03-27,12.96,13.03,12.755,12.815,6205600,12.815
