Date,Open,High,Low,Close,Volume,Adj Close
2015-05-26,218.25,220.20,213.25,214.25,485600,214.25
2015-05-25,218.05,218.05,218.05,218.05,000,218.05
2015-05-22,218.00,219.00,216.14999,218.05,279300,218.05
2015-05-21,219.50,219.89999,217.10001,218.64999,317900,218.64999
2015-05-20,221.55,223.05,218.05,219.89999,379100,219.89999
2015-05-19,215.05,221.50,215.05,220.89999,581200,220.89999
2015-05-18,210.20,213.45,208.70,212.85001,430100,212.85001
2015-05-15,213.89999,214.75,208.14999,209.25,471600,209.25
2015-05-14,208.60001,214.00,206.64999,213.39999,366400,213.39999
2015-05-13,210.75,212.20,209.00,210.10001,535500,210.10001
2015-05-12,212.30,213.05,208.75,209.75,565200,209.75
2015-05-11,217.00,217.30,213.60001,214.70,420100,214.70
2015-05-08,212.50,217.89999,212.25,217.50,638600,217.50
2015-05-07,208.00,211.55,206.50,210.70,582000,210.70
2015-05-06,207.50,208.95,203.30,206.64999,511000,206.64999
2015-05-05,209.89999,214.39999,207.39999,207.60001,601400,207.60001
2015-05-04,209.95,211.85001,208.35001,211.05,448500,211.05
2015-05-01,210.64999,210.64999,210.64999,210.64999,000,207.39999
2015-04-30,212.64999,214.45,208.05,210.64999,984400,207.39999
2015-04-29,223.80,225.05,213.05,213.20,800000,209.91066
2015-04-28,230.35001,231.60001,221.89999,223.45,485200,220.00252
2015-04-27,226.14999,230.39999,223.85001,230.30,507500,226.74684
2015-04-24,222.35001,225.55,221.75,224.55,432500,221.08556
2015-04-23,225.00,226.75,220.05,220.95,592800,217.54109
2015-04-22,226.00,228.35001,222.95,223.70,489500,220.24866
2015-04-21,226.70,229.35001,225.45,225.50,527300,222.02089
2015-04-20,221.80,224.75,220.95,223.50,312500,220.05174
2015-04-17,223.50,225.00,220.05,220.45,584600,217.0488
2015-04-16,227.14999,228.60001,223.64999,223.85001,456600,220.39635
2015-04-15,225.35001,230.95,225.14999,226.80,455200,223.30084
2015-04-14,226.30,227.25,223.50,224.55,384400,221.08556
2015-04-13,228.55,229.25,226.30,226.45,309300,222.95624
2015-04-10,227.10001,229.85001,226.64999,229.14999,552900,225.61458
2015-04-09,220.89999,225.75,220.25,225.55,447800,222.07013
2015-04-08,221.39999,221.39999,216.70,219.85001,465100,216.45807
2015-04-07,220.89999,223.50,219.70,220.80,579000,217.3934
2015-04-06,218.00,218.00,218.00,218.00,000,214.6366
2015-04-03,218.00,218.00,218.00,218.00,000,214.6366
2015-04-02,218.05,219.00,215.05,218.00,375300,214.6366
2015-04-01,219.45,222.55,217.80,219.35001,503500,215.96577
2015-03-31,221.85001,223.10001,217.70,220.30,489400,216.90112
2015-03-30,216.60001,223.64999,216.50,221.95,581500,218.52567
2015-03-27,219.25,222.25,212.89999,215.95,724700,212.61823
2015-03-26,214.64999,218.35001,209.60001,218.30,824400,214.93198
2015-03-25,220.00,222.00,216.25,217.10001,485300,213.75049
2015-03-24,217.64999,220.70,215.25,219.85001,521900,216.45807
2015-03-23,224.80,225.05,217.64999,218.80,474800,215.42427
2015-03-20,225.64999,228.85001,223.64999,226.00,624200,222.51318
2015-03-19,221.00,225.45,219.30,224.85001,538000,221.38092
2015-03-18,227.20,228.30,215.80,220.55,934600,217.14726
2015-03-17,232.85001,233.60001,225.50,226.75,664500,223.2516
2015-03-16,226.45,234.25,226.35001,231.35001,611700,227.78064
2015-03-13,221.14999,225.80,219.20,225.64999,474100,222.16856
2015-03-12,221.00,221.50,216.85001,219.89999,739000,216.50728
2015-03-11,215.64999,224.00,215.64999,223.35001,586600,219.90407
2015-03-10,215.39999,216.20,212.10001,215.64999,465500,212.32286
2015-03-09,214.50,216.10001,211.89999,215.75,433300,212.42131
2015-03-06,215.45,216.70,213.80,215.00,535600,211.68289
2015-03-05,214.20,218.25,213.14999,213.80,761800,210.5014
2015-03-04,210.50,212.00,206.10001,210.39999,688000,207.15385
2015-03-03,214.89999,216.50,209.30,209.30,524000,206.07083
2015-03-02,213.45,215.89999,212.85001,214.80,399100,211.48598
2015-02-27,210.50,213.85001,210.05,213.30,462800,210.00912
2015-02-26,209.64999,211.39999,209.45,210.50,439800,207.25232
2015-02-25,213.50,214.20,208.20,209.00,590500,205.77547
2015-02-24,214.70,215.45,211.75,214.45,408500,211.14137
2015-02-23,217.25,217.25,214.35001,214.70,558700,211.38751
2015-02-20,213.95,221.50,213.05,215.20,694900,211.87981
2015-02-19,210.10001,214.25,210.05,213.95,503700,210.64908
2015-02-18,206.39999,210.75,206.39999,210.75,466800,207.49846
2015-02-17,205.00,207.39999,204.30,206.00,329200,202.82175
2015-02-16,205.30,206.35001,204.00,206.25,255600,203.06789
2015-02-13,208.25,209.00,204.95,205.89999,414900,202.72328
2015-02-12,203.05,207.95,203.05,207.30,561000,204.10168
2015-02-11,204.39999,204.85001,201.64999,202.25,461900,199.12961
2015-02-10,197.85001,204.89999,196.45,204.45,676400,201.29565
2015-02-09,205.45,206.35001,197.64999,198.20,833800,195.14209
2015-02-06,207.20,207.89999,205.14999,207.05,467300,203.85555
2015-02-05,205.10001,209.20,204.95,207.60001,506100,204.39706
2015-02-04,205.80,206.20,203.25,206.20,525900,203.01866
2015-02-03,204.25,208.25,203.45,205.75,605000,202.57561
2015-02-02,201.35001,204.70,200.80,203.89999,599200,200.75414
2015-01-30,203.75,203.85001,199.25,200.70,703900,197.60352
2015-01-29,199.89999,203.80,199.25,202.00,619900,198.88345
2015-01-28,200.60001,201.95,197.14999,201.95,593500,198.83423
2015-01-27,201.75,202.64999,197.75,198.75,771800,195.68359
2015-01-26,198.10001,204.55,197.39999,203.25,688400,200.11417
2015-01-23,203.00,206.00,201.50,202.75,965000,199.62189
2015-01-22,194.85001,202.39999,193.64999,201.55,1072200,198.4404
2015-01-21,190.35001,194.80,190.20,194.64999,759500,191.64685
2015-01-20,190.70,192.50,189.20,190.80,548200,187.85626
2015-01-19,190.95,191.60001,187.89999,190.50,644000,187.56088
2015-01-16,184.39999,189.35001,184.05,188.70,701100,185.78865
2015-01-15,182.20,186.20,178.39999,185.20,962600,182.34265
2015-01-14,180.00,182.50,179.05,180.10001,642100,177.32135
2015-01-13,176.05,184.20,176.00,183.10001,957600,180.27505
2015-01-12,171.00,176.30,169.45,176.05,918300,173.33383
2015-01-09,173.05,174.95,169.75,171.25,654900,168.60788
2015-01-08,170.50,174.75,169.89999,174.14999,460500,171.46313
2015-01-07,168.80,170.50,167.95,168.50,399400,165.90031
2015-01-06,169.25,171.00,166.60001,167.85001,476100,165.26035
2015-01-05,170.80,172.85001,168.35001,168.89999,543900,166.29413
2015-01-02,175.80,176.35001,171.20,171.75,353800,169.10017
2015-01-01,175.55,175.55,175.55,175.55,000,172.84154
2014-12-31,175.55,175.55,175.55,175.55,000,172.84154
2014-12-30,176.00,176.70,175.45,175.55,160000,172.84154
2014-12-29,175.60001,177.00,174.14999,177.00,275300,174.26917
2014-12-26,175.64999,175.64999,175.64999,175.64999,000,172.93999
2014-12-25,175.64999,175.64999,175.64999,175.64999,000,172.93999
2014-12-24,175.64999,175.64999,175.64999,175.64999,000,172.93999
2014-12-23,174.55,175.64999,173.95,175.64999,203800,172.93999
2014-12-22,174.14999,175.80,173.39999,174.55,344400,171.85696
2014-12-19,172.80,174.64999,170.20,173.60001,910200,170.92163
2014-12-18,168.25,171.64999,167.80,170.75,721900,168.1156
2014-12-17,166.55,167.70,164.25,164.60001,706500,162.06049
2014-12-16,163.60001,169.50,161.20,169.25,927400,166.63873
2014-12-15,166.60001,169.39999,163.39999,163.39999,601300,160.87898
2014-12-12,171.25,171.85001,166.60001,166.64999,539700,164.07884
2014-12-11,170.25,173.55,169.64999,172.64999,523200,169.98628
2014-12-10,172.50,174.45,170.39999,170.89999,555900,168.26328
2014-12-09,172.00,173.80,170.80,171.64999,611600,169.00171
2014-12-08,176.00,177.20,174.60001,174.60001,384000,171.9062
2014-12-05,171.30,177.39999,171.00,176.85001,655700,174.12149
2014-12-04,169.39999,173.35001,168.50,170.35001,872000,167.72177
2014-12-03,168.85001,169.75,167.30,168.75,396700,166.14645
2014-12-02,169.14999,169.75,167.85001,168.30,361300,165.7034
2014-12-01,168.80,170.00,167.85001,169.14999,359700,166.54028
2014-11-28,169.00,170.00,168.64999,169.20,313700,166.58951
2014-11-27,168.70,170.80,168.20,169.00,415900,166.39259
2014-11-26,170.10001,170.50,167.89999,168.20,431400,165.60493
2014-11-25,167.70,171.00,167.45,170.10001,607400,167.47563
2014-11-24,164.75,169.39999,163.14999,167.60001,800500,165.01421
2014-11-21,158.85001,165.00,158.30,164.95,1153700,162.40508
2014-11-20,155.95,158.25,154.75,158.25,504300,155.80846
2014-11-19,155.89999,156.30,154.85001,155.60001,307400,153.19934
2014-11-18,153.75,155.89999,152.64999,155.70,435700,153.29779
2014-11-17,151.80,154.55,151.70,153.95,462000,151.5748
2014-11-14,153.35001,155.35001,152.55,155.10001,452400,152.70706
2014-11-13,153.55,155.35001,152.39999,152.89999,409500,150.54099
2014-11-12,156.14999,157.05,152.30,152.55,581800,150.1964
2014-11-11,157.50,158.14999,155.10001,156.64999,465300,154.23312
2014-11-10,156.39999,158.30,155.14999,157.89999,320400,155.46385
2014-11-07,158.35001,159.10001,155.35001,156.75,509700,154.33159
2014-11-06,156.14999,160.14999,155.89999,158.20,543900,155.75922
2014-11-05,158.64999,159.00,156.20,157.39999,534600,154.97156
2014-11-04,157.00,160.64999,156.20,157.25,702600,154.82388
2014-11-03,156.70,159.25,155.89999,156.89999,535100,154.47928
2014-10-31,156.85001,157.45,155.30,156.64999,498400,154.23312
2014-10-30,154.45,155.89999,150.55,153.80,594300,151.42711
2014-10-29,152.89999,154.64999,151.60001,152.64999,551400,150.29485
2014-10-28,151.14999,152.25,150.14999,151.80,361700,149.45796
2014-10-27,152.75,152.89999,147.85001,150.05,545000,147.73497
2014-10-24,151.70,153.14999,150.50,151.30,591100,148.96568
2014-10-23,151.75,153.85001,148.64999,152.80,787100,150.44254
2014-10-22,153.20,154.89999,152.45,153.50,705300,151.13174
2014-10-21,147.70,152.85001,146.89999,152.00,716100,149.65488
2014-10-20,151.50,151.89999,147.55,148.20,755400,145.9135
2014-10-17,146.95,153.05,146.95,151.64999,1358200,149.31027
2014-10-16,143.35001,146.50,138.20,145.50,1291600,143.25516
2014-10-15,144.35001,146.00,139.70,140.64999,847700,138.47998
2014-10-14,138.85001,145.14999,138.60001,144.05,906400,141.82755
2014-10-13,137.35001,141.50,136.85001,140.25,746100,138.08617
2014-10-10,142.80,143.60001,138.85001,139.00,1050400,136.85545
2014-10-09,144.14999,146.05,142.50,144.14999,863200,141.92598
2014-10-08,147.45,147.70,140.50,142.05,1144600,139.8584
2014-10-07,147.64999,151.10001,146.10001,148.60001,726300,146.30734
2014-10-06,151.39999,152.70,147.75,148.35001,780700,146.0612
2014-10-03,147.20,147.20,147.20,147.20,000,144.92894
2014-10-02,148.55,151.89999,147.20,147.20,620300,144.92894
2014-10-01,150.30,153.20,148.30,148.80,666300,146.50426
2014-09-30,151.95,151.95,149.45,150.64999,592300,148.3257
2014-09-29,153.50,153.89999,151.05,152.64999,376900,150.29485
2014-09-26,151.80,154.14999,150.30,153.80,445800,151.42711
2014-09-25,155.39999,156.39999,151.10001,151.70,608800,149.35951
2014-09-24,154.05,155.95,152.75,155.39999,583800,153.00241
2014-09-23,159.20,159.20,151.89999,153.64999,902200,151.27942
2014-09-22,163.85001,164.25,159.45,159.70,504600,157.23608
2014-09-19,167.35001,167.39999,164.35001,165.14999,871500,162.60199
2014-09-18,162.60001,165.39999,161.64999,165.30,586600,162.74968
2014-09-17,162.55,162.80,160.45,160.75,361200,158.26988
2014-09-16,162.50,162.75,160.50,161.35001,423800,158.86063
2014-09-15,162.60001,163.50,162.35001,163.00,371800,160.48517
2014-09-12,165.95,166.20,163.14999,164.05,351500,161.51897
2014-09-11,166.95,167.00,164.35001,166.05,376400,163.48811
2014-09-10,165.70,166.60001,164.10001,166.55,314200,163.98039
