Date,Open,High,Low,Close,Volume,Adj Close
2015-05-26,90.00,91.00,87.96,88.46,3741300,88.46
2015-05-25,89.70,89.70,89.70,89.70,000,89.70
2015-05-22,89.73,90.22,89.13,89.70,2455600,89.70
2015-05-21,89.60,90.05,88.84,89.97,2399000,89.97
2015-05-20,89.40,90.00,88.97,89.71,2740300,89.71
2015-05-19,87.50,89.62,87.50,89.37,5798000,89.37
2015-05-18,85.00,86.73,84.67,86.47,2999000,86.47
2015-05-15,87.06,87.21,84.62,85.03,4530200,85.03
2015-05-14,83.80,86.71,83.08,86.57,3072900,86.57
2015-05-13,85.93,86.65,83.94,84.36,3540100,84.36
2015-05-12,87.00,87.07,84.92,85.68,3940600,85.68
2015-05-11,88.22,88.22,87.15,88.06,2393700,88.06
2015-05-08,86.14,88.07,85.26,88.07,4206400,88.07
2015-05-07,84.25,85.57,83.32,85.25,4252600,85.25
2015-05-06,85.70,86.38,83.00,84.67,5161200,84.67
2015-05-05,87.18,88.97,85.12,85.25,4695900,85.25
2015-05-04,87.07,88.09,86.15,87.55,3022400,87.55
2015-05-01,86.33,86.33,86.33,86.33,000,86.33
2015-04-30,86.27,87.31,84.74,86.33,5243600,86.33
2015-04-29,90.20,90.50,85.98,86.14,5764100,86.14
2015-04-28,92.10,92.70,88.18,88.93,6517100,88.93
2015-04-27,88.15,89.90,87.31,89.55,5486900,89.55
2015-04-24,87.11,88.14,85.95,87.16,3305400,87.16
2015-04-23,87.93,88.50,85.78,86.19,4341900,86.19
2015-04-22,88.24,89.09,86.53,87.49,4214200,87.49
2015-04-21,87.52,88.60,87.23,87.28,4434200,87.28
2015-04-20,85.33,86.81,85.01,86.62,3404600,86.62
2015-04-17,86.56,87.60,84.65,84.81,5694700,84.81
2015-04-16,88.00,88.20,86.77,86.85,3862800,86.85
2015-04-15,87.17,88.14,86.98,87.35,3131300,87.35
2015-04-14,87.76,88.16,86.44,86.93,3511500,86.93
2015-04-13,88.49,89.18,88.01,88.17,2567100,88.17
2015-04-10,87.89,89.04,87.30,88.65,3812000,88.65
2015-04-09,86.26,87.29,85.94,87.29,3637200,87.29
2015-04-08,86.17,86.38,85.39,85.93,4201000,85.93
2015-04-07,88.37,88.54,86.55,87.09,4339300,87.09
2015-04-06,87.70,87.70,87.70,87.70,000,87.70
2015-04-03,87.70,87.70,87.70,87.70,000,87.70
2015-04-02,87.97,88.34,87.32,87.70,4286300,87.70
2015-04-01,89.70,90.57,88.68,90.15,7236700,87.70
2015-03-31,90.85,90.86,88.87,89.73,4953200,87.291
2015-03-30,89.28,90.88,89.08,90.86,3897200,88.391
2015-03-27,89.76,90.54,87.72,88.47,4761500,86.066
2015-03-26,86.25,88.72,84.65,88.72,6811200,86.309
2015-03-25,88.55,89.80,87.42,87.60,4489900,85.219
2015-03-24,88.30,89.21,86.70,88.43,7463500,86.027
2015-03-23,91.40,91.41,88.49,88.70,4890600,86.289
2015-03-20,90.66,91.94,90.29,91.51,8552900,89.023
