Date,Open,High,Low,Close,Volume,Adj Close
2015-05-26,74.65,74.66,72.75,72.95,609400,72.95
2015-05-25,74.36,74.36,74.36,74.36,000,74.36
2015-05-22,74.68,74.92,74.21,74.36,552200,74.36
2015-05-21,73.88,74.27,73.68,74.20,426200,74.20
2015-05-20,74.19,74.56,73.71,74.03,560100,74.03
2015-05-19,73.75,74.30,73.31,74.28,736800,74.28
2015-05-18,72.13,72.31,70.81,72.15,783000,72.15
2015-05-15,72.65,73.58,72.21,72.42,696300,72.42
2015-05-14,72.82,72.98,71.16,72.82,997600,72.82
2015-05-13,76.12,76.36,74.42,74.66,993500,72.56
2015-05-12,75.81,76.31,75.18,75.80,959600,73.668
2015-05-11,75.98,76.55,75.55,76.25,679500,74.105
2015-05-08,74.58,75.50,73.96,75.50,877400,73.376
2015-05-07,73.04,74.45,72.76,74.23,831700,72.142
2015-05-06,73.66,74.00,73.03,73.52,599300,71.452
2015-05-05,74.44,75.34,73.35,73.42,997100,71.355
2015-05-04,75.00,75.00,73.98,74.44,580400,72.346
2015-05-01,74.31,74.31,74.31,74.31,000,72.22
2015-04-30,74.15,74.75,73.29,74.31,955100,72.22
2015-04-29,75.58,75.82,72.32,72.32,661400,70.286
2015-04-28,74.48,75.69,74.48,74.95,647500,72.842
2015-04-27,74.81,75.43,73.89,75.14,768600,73.026
2015-04-24,75.20,75.59,74.11,74.74,858700,72.638
2015-04-23,76.68,76.95,75.25,75.54,533600,73.415
2015-04-22,76.86,77.10,75.45,76.48,586900,74.329
2015-04-21,76.33,77.32,76.15,76.60,720200,74.445
2015-04-20,75.99,76.61,75.87,76.25,663700,74.105
2015-04-17,77.56,77.85,75.75,75.91,888300,73.775
2015-04-16,78.42,78.46,77.57,77.74,578600,75.553
2015-04-15,78.99,79.36,78.38,78.50,479700,76.292
2015-04-14,80.07,80.27,78.75,78.99,488100,76.768
2015-04-13,80.41,80.69,79.77,80.15,430700,77.896
2015-04-10,78.48,80.69,78.30,80.13,952300,77.876
2015-04-09,76.75,77.91,76.75,77.84,385300,75.651
2015-04-08,77.00,77.10,76.35,76.54,609100,74.387
2015-04-07,77.20,78.10,76.92,77.07,745200,74.902
2015-04-06,76.76,76.76,76.76,76.76,000,74.601
2015-04-03,76.76,76.76,76.76,76.76,000,74.601
2015-04-02,76.12,77.60,75.86,76.76,602800,74.601
2015-04-01,75.67,77.26,75.60,76.12,629000,73.979
2015-03-31,77.09,77.39,75.91,76.06,716900,73.921
2015-03-30,75.22,77.21,75.22,77.21,573100,75.038
2015-03-27,74.70,75.44,74.20,75.09,477000,72.978
2015-03-26,74.46,74.55,73.11,74.30,746400,72.21
