Date,Open,High,Low,Close,Volume,Adj Close
2015-05-26,29.20,29.29,28.57,28.715,5509300,28.715
2015-05-25,28.87,28.87,28.87,28.87,000,28.87
2015-05-22,29.12,29.195,28.825,28.87,3161400,28.87
2015-05-21,28.75,29.15,28.68,29.075,3712700,29.075
2015-05-20,28.70,28.895,28.605,28.79,3570300,28.79
2015-05-19,28.50,28.955,28.49,28.695,5182600,28.695
2015-05-18,28.15,28.46,27.955,28.335,4272600,28.335
2015-05-15,28.30,28.42,27.95,28.145,5773600,28.145
2015-05-14,27.43,28.18,27.17,28.14,5603200,28.14
2015-05-13,28.46,28.475,27.365,27.59,9129500,27.59
2015-05-12,28.85,29.035,27.815,28.465,10154900,28.465
2015-05-11,29.77,29.94,29.61,29.76,3164800,29.76
2015-05-08,29.435,29.975,29.27,29.965,3995200,29.965
2015-05-07,29.05,29.385,28.61,29.25,4224400,29.25
2015-05-06,29.12,29.365,28.725,29.175,4433200,29.175
2015-05-05,29.805,30.28,29.08,29.095,5069000,29.095
2015-05-04,29.775,30.02,29.155,29.84,3024800,29.84
2015-05-01,29.555,29.555,29.555,29.555,000,29.555
2015-04-30,29.255,29.825,28.83,29.555,5416400,29.555
2015-04-29,29.89,30.25,29.17,29.17,4655700,29.17
2015-04-28,30.50,30.69,29.80,29.96,3435100,29.96
2015-04-27,30.24,30.675,29.90,30.58,3613300,30.58
2015-04-24,29.495,30.17,29.495,30.12,3912700,30.12
2015-04-23,30.01,30.295,29.475,29.60,3501900,29.60
2015-04-22,30.52,30.595,29.875,30.085,3250800,30.085
2015-04-21,30.28,30.75,30.175,30.43,3234300,30.43
2015-04-20,29.54,30.195,29.54,30.135,3213800,30.135
2015-04-17,30.17,30.32,29.455,29.50,6511800,29.50
2015-04-16,30.59,30.61,30.115,30.405,3580300,30.405
2015-04-15,30.645,30.90,30.50,30.58,2541000,30.58
2015-04-14,30.70,30.975,30.565,30.65,2794700,30.65
2015-04-13,31.04,31.185,30.715,30.76,3252700,30.76
2015-04-10,30.50,31.12,30.50,31.08,5709700,31.08
2015-04-09,29.97,30.275,29.935,30.275,3642400,30.275
2015-04-08,29.75,29.975,29.70,29.82,3110700,29.82
2015-04-07,29.22,29.985,29.10,29.86,4787700,29.86
2015-04-06,29.105,29.105,29.105,29.105,000,29.105
2015-04-03,29.105,29.105,29.105,29.105,000,29.105
2015-04-02,28.97,29.245,28.885,29.105,2891200,29.105
2015-04-01,28.80,29.535,28.64,29.115,4525300,29.115
2015-03-31,29.43,29.675,29.025,29.095,4195700,29.095
2015-03-30,29.39,29.72,29.15,29.37,3666000,29.37
2015-03-27,28.90,29.395,28.805,29.205,5132900,29.205
2015-03-26,29.205,29.245,28.58,29.02,5863800,29.02
2015-03-25,29.795,29.835,29.31,29.31,4228900,29.31
2015-03-24,29.345,30.00,29.25,29.915,5402300,29.915
2015-03-23,29.39,29.55,28.98,29.52,4738000,29.52
2015-03-20,29.18,29.58,29.095,29.525,6954800,29.525
2015-03-19,29.11,29.30,29.05,29.19,3924000,29.19
2015-03-18,29.38,29.38,28.77,29.15,4251900,29.15
2015-03-17,29.13,29.39,29.015,29.275,4645300,29.275
2015-03-16,29.25,29.525,29.21,29.43,6226100,29.43
2015-03-13,28.80,29.115,28.59,29.10,5717100,29.10
2015-03-12,29.68,29.735,28.505,28.70,9593200,28.70
2015-03-11,29.25,29.83,28.66,29.725,13690900,29.725
2015-03-10,30.195,30.44,29.965,30.25,3480500,30.25
2015-03-09,30.285,30.405,30.13,30.36,2821300,30.36
2015-03-06,30.39,30.54,30.325,30.37,2900900,30.37
2015-03-05,30.27,30.48,30.09,30.33,3498100,30.33
2015-03-04,29.85,30.115,29.55,30.07,3592600,30.07
2015-03-03,30.38,30.60,29.82,29.82,4343500,29.82
2015-03-02,30.395,30.775,30.39,30.395,3106300,30.395
2015-02-27,30.25,30.43,30.195,30.43,3405100,30.43
2015-02-26,30.245,30.29,30.07,30.275,2441300,30.275
2015-02-25,30.18,30.335,30.095,30.20,2613000,30.20
2015-02-24,30.00,30.17,29.795,30.145,3580700,30.145
2015-02-23,29.84,29.965,29.53,29.92,3263400,29.92
2015-02-20,29.045,30.23,29.01,29.635,6476100,29.635
2015-02-19,28.95,29.295,28.825,29.21,2901400,29.21
2015-02-18,28.865,29.19,28.775,29.07,2659800,29.07
2015-02-17,28.695,28.785,28.41,28.665,3474500,28.665
2015-02-16,29.01,29.215,28.96,28.975,2120800,28.975
2015-02-13,29.13,29.24,28.87,28.95,3198400,28.95
2015-02-12,27.85,29.02,27.775,28.935,5775900,28.935
2015-02-11,28.30,28.35,27.69,27.795,4475200,27.795
2015-02-10,28.155,28.34,27.945,28.28,3542900,28.28
2015-02-09,28.735,28.805,27.89,28.125,6179900,28.125
2015-02-06,29.30,29.30,28.865,28.965,3532900,28.965
2015-02-05,29.355,29.435,29.215,29.34,2636300,29.34
2015-02-04,29.36,29.54,29.25,29.535,3489900,29.535
2015-02-03,29.23,29.745,29.205,29.44,4337600,29.44
2015-02-02,28.71,29.175,28.63,29.175,3578300,29.175
2015-01-30,29.15,29.20,28.685,28.77,4446900,28.77
2015-01-29,28.505,28.965,28.445,28.925,2948400,28.925
2015-01-28,28.49,28.74,28.205,28.74,3739200,28.74
2015-01-27,29.07,29.115,28.445,28.49,6485300,28.49
2015-01-26,27.78,29.03,27.78,28.975,6022100,28.975
2015-01-23,28.25,28.25,27.585,27.84,10821000,27.84
2015-01-22,28.145,28.32,27.28,28.23,6116000,28.23
