Date,Open,High,Low,Close,Volume,Adj Close
2015-05-26,14.065,14.09,13.54,13.59,12160100,13.59
2015-05-25,14.05,14.05,14.05,14.05,000,14.05
2015-05-22,14.155,14.24,14.01,14.05,6206400,14.05
2015-05-21,14.15,14.33,14.04,14.13,7816500,14.13
2015-05-20,14.06,14.26,14.06,14.21,8323300,14.21
2015-05-19,13.805,14.095,13.805,14.015,10381900,14.015
2015-05-18,13.725,13.80,13.545,13.73,6726700,13.73
2015-05-15,13.90,14.00,13.665,13.73,8698900,13.73
2015-05-14,13.68,13.955,13.595,13.88,6429700,13.88
2015-05-13,14.02,14.025,13.72,13.77,8860800,13.77
2015-05-12,13.865,13.945,13.685,13.86,9982500,13.86
2015-05-11,13.95,14.08,13.89,14.01,7408200,14.01
2015-05-08,13.57,14.005,13.50,13.99,15436000,13.99
2015-05-07,13.83,14.02,13.68,14.005,15898200,13.865
2015-05-06,13.61,13.71,13.505,13.665,11463600,13.5284
2015-05-05,14.025,14.115,13.555,13.575,13871700,13.4393
2015-05-04,14.00,14.20,13.845,14.105,6304000,13.964
2015-05-01,13.96,13.96,13.96,13.96,000,13.8204
2015-04-30,14.18,14.255,13.895,13.96,11169500,13.8204
2015-04-29,14.57,14.82,14.20,14.20,11075000,14.0581
2015-04-28,14.70,14.775,14.54,14.58,6875900,14.4343
2015-04-27,14.635,14.82,14.31,14.735,8314300,14.5877
2015-04-24,14.24,14.595,14.095,14.595,10989700,14.4491
2015-04-23,14.175,14.245,13.985,14.16,8822800,14.0185
2015-04-22,14.47,14.49,14.14,14.225,7703400,14.0828
2015-04-21,14.64,14.715,14.35,14.41,7360300,14.266
2015-04-20,14.435,14.57,14.225,14.55,7164200,14.4046
2015-04-17,14.615,14.71,14.41,14.455,13704200,14.3105
2015-04-16,14.65,14.845,14.515,14.645,11644400,14.4986
2015-04-15,14.425,14.73,14.37,14.635,9605500,14.4887
2015-04-14,14.47,14.565,14.345,14.44,8209800,14.2957
2015-04-13,14.33,14.61,14.285,14.485,9605800,14.3402
2015-04-10,14.215,14.345,14.155,14.325,7154800,14.1818
2015-04-09,14.12,14.195,14.04,14.195,5837300,14.0531
2015-04-08,14.325,14.46,14.055,14.105,8932500,13.964
2015-04-07,13.88,14.395,13.835,14.28,14203500,14.1373
2015-04-06,13.745,13.745,13.745,13.745,000,13.6076
2015-04-03,13.745,13.745,13.745,13.745,000,13.6076
2015-04-02,13.98,13.98,13.705,13.745,8004600,13.6076
2015-04-01,13.805,14.04,13.80,13.935,10432600,13.7957
2015-03-31,13.995,14.12,13.87,13.885,10306900,13.7462
2015-03-30,14.03,14.155,13.95,13.995,8277200,13.8551
2015-03-27,14.14,14.18,13.905,14.03,8816200,13.8898
2015-03-26,14.20,14.335,13.955,14.11,11795900,13.969
2015-03-25,14.085,14.34,13.705,14.305,10753900,14.162
2015-03-24,13.985,14.19,13.95,14.135,7281900,13.9937
2015-03-23,14.20,14.29,14.015,14.07,8882300,13.9293
2015-03-20,14.085,14.355,14.005,14.25,32888800,14.1076
2015-03-19,13.99,14.08,13.86,14.005,10388100,13.865
2015-03-18,13.85,14.085,13.705,13.985,13021200,13.8452
2015-03-17,13.77,13.86,13.68,13.815,9815500,13.6769
2015-03-16,13.59,13.805,13.375,13.745,13857100,13.6076
2015-03-13,13.78,13.835,13.385,13.535,13380200,13.3997
2015-03-12,14.03,14.05,13.75,13.765,13454600,13.6274
2015-03-11,13.84,14.14,13.815,14.05,11038800,13.9096
2015-03-10,14.115,14.12,13.785,13.87,12185500,13.7313
2015-03-09,13.90,14.07,13.81,14.035,7944900,13.8947
2015-03-06,14.235,14.265,13.995,14.00,11868500,13.8601
2015-03-05,13.92,14.35,13.905,14.29,11549400,14.1472
2015-03-04,14.105,14.175,13.87,14.075,9391800,13.9343
2015-03-03,14.24,14.27,14.02,14.035,8818700,13.8947
2015-03-02,14.38,14.43,14.125,14.19,8961900,14.0482
2015-02-27,14.145,14.445,14.125,14.445,10068000,14.3006
2015-02-26,14.265,14.30,14.035,14.145,8762800,14.0036
2015-02-25,13.99,14.405,13.975,14.245,13750000,14.1026
2015-02-24,13.55,14.005,13.51,13.895,14635400,13.7561
2015-02-23,13.45,13.51,13.31,13.51,6519600,13.3749
2015-02-20,13.26,13.39,13.20,13.335,12188600,13.2017
2015-02-19,13.365,13.37,13.21,13.305,8223600,13.172
2015-02-18,13.60,13.655,13.39,13.44,7928400,13.3056
2015-02-17,13.38,13.615,13.235,13.575,8817000,13.4393
2015-02-16,13.315,13.50,13.225,13.44,6889400,13.3056
2015-02-13,13.28,13.405,13.17,13.36,7862300,13.2264
2015-02-12,13.00,13.345,12.95,13.25,9164000,13.1175
2015-02-11,13.015,13.135,12.95,13.065,6979500,12.9344
2015-02-10,12.895,12.995,12.73,12.995,8433900,12.8651
2015-02-09,13.045,13.075,12.79,12.86,11500300,12.7314
2015-02-06,13.16,13.18,13.07,13.135,6130000,13.0037
2015-02-05,13.18,13.215,12.90,13.15,12122500,13.0185
2015-02-04,13.295,13.335,13.175,13.28,9951400,13.1472
2015-02-03,13.99,14.11,13.155,13.375,20776400,13.2413
2015-02-02,13.75,13.92,13.665,13.92,7731200,13.7809
2015-01-30,14.00,14.00,13.645,13.725,9652700,13.5878
2015-01-29,13.74,13.955,13.685,13.925,8261100,13.7858
2015-01-28,13.70,13.80,13.49,13.75,6703400,13.6125
2015-01-27,13.715,13.80,13.54,13.61,7164400,13.4739
2015-01-26,13.51,13.735,13.485,13.71,6895600,13.5729
2015-01-23,13.51,13.635,13.415,13.60,13465300,13.464
2015-01-22,13.31,13.46,13.18,13.45,11946100,13.3155
2015-01-21,13.265,13.34,13.085,13.31,8901400,13.1769
2015-01-20,13.20,13.295,13.10,13.28,7738200,13.1472
2015-01-19,13.225,13.245,13.04,13.20,6626000,13.068
2015-01-16,12.875,13.17,12.795,13.11,13932800,12.9789
2015-01-15,12.72,12.895,12.35,12.885,15285400,12.7562
2015-01-14,12.60,12.835,12.50,12.585,16198900,12.4592
2015-01-13,12.95,12.99,12.71,12.785,16910800,12.6572
2015-01-12,13.105,13.15,12.835,13.065,8808600,12.9344
2015-01-09,13.46,13.48,12.98,13.045,12225400,12.9146
2015-01-08,13.425,13.56,13.165,13.54,10845300,13.4046
2015-01-07,13.32,13.385,13.20,13.27,7411100,13.1373
2015-01-06,13.345,13.49,13.04,13.265,10534800,13.1324
2015-01-05,13.90,14.065,13.30,13.30,12352400,13.167
2015-01-02,14.30,14.37,13.925,14.025,7281400,13.8848
2015-01-01,14.195,14.195,14.195,14.195,000,14.0531
2014-12-31,14.195,14.195,14.195,14.195,000,14.0531
2014-12-30,14.41,14.44,14.195,14.195,3792300,14.0531
2014-12-29,14.40,14.46,14.095,14.455,4441500,14.3105
2014-12-26,14.47,14.47,14.47,14.47,000,14.3254
2014-12-25,14.47,14.47,14.47,14.47,000,14.3254
2014-12-24,14.47,14.47,14.47,14.47,000,14.3254
