Date,Open,High,Low,Close,Volume,Adj Close
2015-05-26,78.42,79.33,77.31,77.38,680000,77.38
2015-05-25,78.48,78.48,78.48,78.48,000,78.48
2015-05-22,78.24,78.77,78.04,78.48,526500,78.48
2015-05-21,77.69,78.68,77.22,78.68,491200,78.68
2015-05-20,78.50,78.61,77.67,78.06,715600,78.06
2015-05-19,78.50,79.63,78.24,79.46,744300,78.68
2015-05-18,76.77,77.91,75.69,77.91,569100,77.14522
2015-05-15,76.41,76.89,75.83,76.20,647900,75.452
2015-05-14,74.37,76.04,73.99,76.00,529800,75.25396
2015-05-13,75.75,76.36,74.66,74.82,683400,74.08555
2015-05-12,76.12,76.56,74.55,75.27,831400,74.53113
2015-05-11,76.72,76.72,75.71,76.72,479500,75.9669
2015-05-08,75.55,76.66,74.51,76.53,673800,75.77876
2015-05-07,73.81,75.18,72.10,74.94,919600,74.20437
2015-05-06,74.30,75.30,73.66,74.10,972400,73.37261
2015-05-05,76.73,78.24,74.24,74.24,920900,73.51124
2015-05-04,75.49,77.18,74.83,77.08,597400,76.32336
2015-05-01,75.23,75.23,75.23,75.23,000,74.49152
2015-04-30,78.00,79.54,75.13,75.23,1251800,74.49152
2015-04-29,78.05,78.94,75.24,75.29,1087900,74.55093
2015-04-28,80.59,80.80,76.92,77.59,848500,76.82835
2015-04-27,80.20,81.00,78.93,80.69,664900,79.89793
2015-04-24,78.60,79.79,78.36,79.79,583400,79.00676
2015-04-23,79.41,79.86,78.09,78.30,664900,77.53139
2015-04-22,80.49,81.03,79.09,79.30,592500,78.52157
2015-04-21,79.83,81.05,79.58,80.27,513200,79.48204
2015-04-20,77.86,80.28,77.62,79.38,584000,78.60078
2015-04-17,80.05,80.11,77.53,77.60,1258400,76.83826
2015-04-16,80.83,80.90,79.55,80.36,728100,79.57117
2015-04-15,81.33,82.13,81.04,81.05,502100,80.25439
2015-04-14,81.61,82.32,81.20,81.45,618800,80.65046
2015-04-13,81.73,81.91,80.96,81.61,642200,80.80889
2015-04-10,79.95,82.05,79.81,81.95,786300,81.14555
2015-04-09,78.42,79.57,78.24,79.51,591800,78.72951
2015-04-08,78.97,78.97,77.89,78.00,755500,77.23433
2015-04-07,77.91,79.01,77.57,78.80,612700,78.02648
2015-04-06,77.68,77.68,77.68,77.68,000,76.91747
2015-04-03,77.68,77.68,77.68,77.68,000,76.91747
2015-04-02,77.66,78.49,77.12,77.68,604100,76.91747
2015-04-01,76.95,77.96,76.41,77.44,866300,76.67983
2015-03-31,77.70,78.77,77.20,77.46,783500,76.69963
2015-03-30,77.01,78.01,76.84,77.67,571300,76.90757
2015-03-27,76.25,76.93,75.51,76.58,522500,75.82827
2015-03-26,75.50,75.85,73.86,75.71,1058900,74.9668
2015-03-25,77.37,78.05,75.95,76.27,708200,75.52131
2015-03-24,76.50,77.64,76.31,77.50,543100,76.73923
2015-03-23,77.21,77.28,75.98,76.69,537000,75.93719
2015-03-20,77.53,78.75,77.37,77.37,1424200,76.61052
2015-03-19,76.99,77.74,76.07,77.25,1077200,76.49169
2015-03-18,78.48,78.58,76.91,77.15,1011600,76.39268
2015-03-17,79.98,80.32,77.44,78.29,1095700,77.52148
2015-03-16,77.82,81.08,77.24,79.86,1234600,79.07607
2015-03-13,77.03,77.74,75.92,77.71,634800,76.94717
2015-03-12,76.30,76.77,76.22,76.66,619000,75.90749
2015-03-11,75.59,76.79,75.43,76.29,794100,75.54111
2015-03-10,74.80,75.90,73.99,75.19,790300,74.45191
2015-03-09,74.51,75.27,73.82,74.89,615700,74.15485
2015-03-06,74.39,75.08,74.15,74.75,706000,74.01624
2015-03-05,73.94,74.78,73.91,74.49,654500,73.75878
2015-03-04,73.55,73.88,72.47,73.72,1107100,72.99635
2015-03-03,73.81,74.50,73.46,73.46,1130200,72.73889
2015-03-02,73.74,73.88,72.57,73.82,1102600,73.09536
2015-02-27,71.50,73.24,71.45,73.17,1506500,72.45174
2015-02-26,69.23,71.50,68.50,71.43,1959000,70.72882
2015-02-25,65.50,70.03,65.50,68.93,1805600,68.25336
2015-02-24,65.18,65.89,64.88,65.50,788100,64.85703
2015-02-23,64.44,65.27,64.31,65.13,564500,64.49066
2015-02-20,64.41,64.62,63.88,64.19,982000,63.55989
2015-02-19,64.40,64.92,64.08,64.49,564000,63.85695
2015-02-18,64.57,64.73,63.95,64.42,514200,63.78763
2015-02-17,63.00,64.55,62.65,64.51,899100,63.87675
2015-02-16,63.59,63.60,62.65,63.00,694100,62.38157
2015-02-13,64.53,64.57,63.25,63.84,875100,63.21333
2015-02-12,64.56,65.25,64.27,64.75,624200,64.1144
2015-02-11,64.65,65.06,64.23,64.33,546100,63.69852
2015-02-10,64.63,64.63,63.75,64.54,615600,63.90646
2015-02-09,64.22,64.64,63.38,64.37,696700,63.73813
2015-02-06,64.79,64.92,63.71,64.25,867000,63.6193
2015-02-05,64.87,65.82,64.87,65.12,640800,64.48077
2015-02-04,64.98,65.10,63.91,64.90,826900,64.26292
2015-02-03,65.86,66.11,64.78,64.90,733400,64.26292
2015-02-02,65.96,66.34,64.79,65.59,676800,64.94614
2015-01-30,66.13,66.13,64.93,65.64,840300,64.99566
2015-01-29,66.00,66.40,65.62,65.80,777900,65.15409
2015-01-28,66.50,66.72,65.60,66.44,938800,65.78781
2015-01-27,66.25,66.86,65.40,65.51,849100,64.86694
