Date,Open,High,Low,Close,Volume,Adj Close
2015-05-26,57.45,57.91,56.66,56.73,1069800,56.73
2015-05-25,57.47,57.47,57.47,57.47,000,57.47
2015-05-22,57.49,57.69,56.99,57.47,998500,57.47
2015-05-21,57.00,57.59,56.55,57.58,1016900,57.58
2015-05-20,57.15,57.58,56.82,57.50,832400,57.06
2015-05-19,56.72,57.63,56.44,57.19,1118900,56.75237
2015-05-18,54.85,56.40,54.49,56.40,1075200,55.96842
2015-05-15,54.90,55.39,54.36,54.58,950400,54.16235
2015-05-14,53.21,54.84,52.97,54.78,679800,54.36081
2015-05-13,54.37,55.09,53.40,53.58,934300,53.17
2015-05-12,54.59,55.16,53.41,54.13,1010300,53.71579
2015-05-11,55.05,55.18,54.32,55.08,595200,54.65852
2015-05-08,54.58,55.09,53.47,55.09,1067000,54.66844
2015-05-07,52.94,53.96,52.09,53.86,1069300,53.44786
2015-05-06,53.42,54.11,52.64,53.08,1285000,52.67382
2015-05-05,55.55,56.57,53.20,53.20,1771400,52.7929
2015-05-04,54.00,55.43,53.53,55.42,1257500,54.99591
2015-05-01,53.43,53.43,53.43,53.43,000,53.02114
2015-04-30,55.76,55.76,52.69,53.43,2563100,53.02114
2015-04-29,53.39,54.12,51.01,51.34,1923500,50.94714
2015-04-28,55.11,55.27,52.89,53.50,1196700,53.09061
2015-04-27,54.80,55.39,53.82,55.10,1139200,54.67836
2015-04-24,53.79,54.25,53.34,53.96,1166900,53.54709
2015-04-23,54.75,55.15,53.29,53.54,1306200,53.1303
2015-04-22,55.66,56.11,54.77,54.86,857300,54.4402
2015-04-21,55.66,56.33,55.34,55.63,901300,55.20431
2015-04-20,54.00,55.72,53.36,55.31,967300,54.88676
2015-04-17,55.50,55.75,53.94,54.04,1444200,53.62648
2015-04-16,56.14,56.15,55.26,55.67,867000,55.244
2015-04-15,56.51,57.02,56.25,56.25,697700,55.81956
2015-04-14,56.90,57.38,56.41,56.52,949800,56.0875
2015-04-13,57.52,57.62,56.85,57.02,708900,56.58368
2015-04-10,55.99,57.47,55.98,57.47,1219700,57.03023
2015-04-09,55.10,55.57,54.86,55.57,835200,55.14477
2015-04-08,55.45,55.50,54.85,55.00,893100,54.57913
2015-04-07,55.58,55.66,55.03,55.32,1251100,54.89668
2015-04-06,55.00,55.00,55.00,55.00,000,54.57913
2015-04-03,55.00,55.00,55.00,55.00,000,54.57913
2015-04-02,55.40,55.66,54.93,55.00,1211700,54.57913
2015-04-01,55.31,55.99,55.13,55.31,1302600,54.88676
2015-03-31,56.37,56.66,55.34,55.59,1038700,55.16462
2015-03-30,55.78,56.20,55.48,56.02,904100,55.59133
2015-03-27,55.18,55.81,54.51,55.43,1188300,55.00584
2015-03-26,54.00,55.16,53.23,55.05,1456100,54.62875
2015-03-25,55.43,55.82,54.67,54.85,1078400,54.43028
2015-03-24,54.70,55.69,54.59,55.60,822100,55.17454
2015-03-23,55.29,55.29,54.35,54.99,927200,54.56921
2015-03-20,55.23,56.33,55.23,55.51,2033500,55.08523
2015-03-19,55.11,55.59,54.51,55.00,1327500,54.57913
2015-03-18,55.09,55.75,54.66,55.27,1312500,54.84706
2015-03-17,56.24,56.59,54.80,55.09,1611000,54.66844
2015-03-16,54.83,56.71,54.50,56.15,1778600,55.72033
2015-03-13,54.20,54.65,53.52,54.60,1017900,54.18219
2015-03-12,53.30,54.00,53.18,54.00,1126600,53.58678
2015-03-11,52.61,53.53,52.49,53.24,983900,52.8326
2015-03-10,52.17,52.62,51.58,52.44,1010300,52.03872
2015-03-09,51.82,52.42,51.17,52.20,906700,51.80056
2015-03-06,51.65,52.02,51.50,51.80,795800,51.40362
2015-03-05,51.58,51.92,51.39,51.81,717500,51.41354
2015-03-04,51.26,51.42,50.29,51.27,1226100,50.87767
2015-03-03,51.74,52.36,51.08,51.08,1599900,50.68913
2015-03-02,51.25,51.71,50.97,51.60,1471200,51.20515
2015-02-27,49.85,51.35,49.85,51.18,1838500,50.78836
2015-02-26,49.84,50.30,49.315,49.49,1651600,49.1113
2015-02-25,48.55,50.15,48.30,49.395,2343000,49.01702
2015-02-24,48.49,48.685,47.70,48.235,1441200,47.8659
2015-02-23,48.00,48.63,47.775,48.31,1017900,47.94033
