Date,Open,High,Low,Close,Volume,Adj Close
2015-05-26,75.94,76.50,74.16,74.44,694000,74.44
2015-05-25,75.72,75.72,75.72,75.72,000,75.72
2015-05-22,76.77,76.99,75.14,75.72,645700,75.72
2015-05-21,76.01,77.18,75.81,77.04,411700,77.04
2015-05-20,76.34,76.59,75.39,76.35,297400,76.35
2015-05-19,75.40,76.40,75.14,76.08,502500,76.08
2015-05-18,74.90,75.73,73.76,75.05,498200,75.05
2015-05-15,75.55,75.98,74.35,74.83,503100,74.83
2015-05-14,73.54,75.53,73.02,75.34,440400,75.34
2015-05-13,74.75,75.54,73.51,73.94,716700,73.94
2015-05-12,74.10,74.62,73.31,74.07,596300,74.07
2015-05-11,74.39,75.21,74.08,74.96,506400,74.96
2015-05-08,72.89,74.65,72.46,74.49,868500,74.49
2015-05-07,72.25,74.10,71.06,72.89,1220300,72.14
2015-05-06,71.50,71.50,69.80,70.46,792300,69.735
2015-05-05,72.02,73.58,70.75,70.81,1300300,70.0814
2015-05-04,69.38,70.84,68.71,70.26,560900,69.5371
2015-05-01,68.85,68.85,68.85,68.85,000,68.1416
2015-04-30,68.83,69.55,68.10,68.85,939900,68.1416
2015-04-29,71.54,71.91,68.51,68.94,1074000,68.2306
2015-04-28,73.31,73.31,71.40,71.65,466500,70.9128
2015-04-27,72.50,73.59,71.35,73.41,537700,72.6547
2015-04-24,71.50,72.39,71.50,72.17,641400,71.4274
2015-04-23,72.48,73.01,71.14,71.41,797200,70.6752
2015-04-22,73.46,73.68,72.06,72.73,507500,71.9817
2015-04-21,73.44,73.97,72.62,73.33,623200,72.5755
2015-04-20,72.67,73.52,72.67,73.00,513500,72.2489
2015-04-17,74.52,74.96,72.42,72.53,813000,71.7837
2015-04-16,76.41,76.45,74.54,74.72,598500,73.9512
2015-04-15,75.74,76.69,75.65,76.33,400800,75.5446
2015-04-14,76.24,76.34,75.54,75.82,347400,75.0398
2015-04-13,75.82,76.59,75.54,76.37,450900,75.5842
2015-04-10,76.15,76.57,75.56,75.84,632500,75.0596
2015-04-09,75.21,76.13,75.21,76.09,387100,75.3071
2015-04-08,75.72,75.94,74.95,75.10,430200,74.3273
2015-04-07,74.69,75.98,74.62,75.47,526200,74.6935
2015-04-06,73.81,73.81,73.81,73.81,000,73.0505
2015-04-03,73.81,73.81,73.81,73.81,000,73.0505
2015-04-02,73.69,74.35,73.34,73.81,366800,73.0505
2015-04-01,73.41,74.93,73.21,73.65,703700,72.8922
2015-03-31,73.19,74.90,73.11,73.81,870000,73.0505
2015-03-30,72.46,73.50,72.14,73.24,496900,72.4864
2015-03-27,72.27,72.71,71.69,72.36,593800,71.6155
2015-03-26,71.87,72.37,70.92,72.16,645100,71.4175
2015-03-25,72.71,73.67,72.71,72.86,565400,72.1103
2015-03-24,72.45,73.32,71.73,73.03,745100,72.2786
2015-03-23,73.11,73.26,72.26,72.63,512400,71.8827
2015-03-20,72.65,73.97,72.00,73.47,967700,72.714
