Date,Open,High,Low,Close,Volume,Adj Close
2015-05-26,108.00,110.65,107.65,108.95,957900,108.95
2015-05-25,107.70,107.70,107.70,107.70,000,107.70
2015-05-22,108.60,108.60,107.10,107.70,376300,107.70
2015-05-21,108.30,108.75,107.40,108.30,335700,108.30
2015-05-20,108.95,109.20,107.95,108.65,435200,108.65
2015-05-19,106.65,108.70,106.45,108.65,451100,108.65
2015-05-18,104.25,105.95,103.50,105.90,365500,105.90
2015-05-15,105.00,105.90,103.75,104.30,503000,104.30
2015-05-14,102.00,105.30,101.45,105.15,448900,105.15
2015-05-13,104.05,105.05,102.20,102.50,643900,102.50
2015-05-12,104.20,104.40,102.30,103.45,551000,103.45
2015-05-11,105.50,106.25,104.80,105.25,409000,105.25
2015-05-08,104.10,106.45,103.75,105.90,564900,105.90
2015-05-07,103.10,104.70,100.10,104.10,737500,104.10
2015-05-06,102.80,104.10,102.00,103.90,539400,103.90
2015-05-05,105.60,107.60,102.55,102.55,797200,102.55
2015-05-04,105.70,106.25,104.50,105.60,473100,105.60
2015-05-01,104.20,104.20,104.20,104.20,000,104.20
2015-04-30,104.05,105.85,102.90,104.20,794000,104.20
2015-04-29,108.05,109.10,104.45,104.45,603900,104.45
2015-04-28,111.15,111.20,107.50,108.25,449800,108.25
2015-04-27,109.00,111.40,107.50,111.25,492800,111.25
2015-04-24,108.15,109.50,107.55,108.30,383800,108.30
2015-04-23,109.60,110.35,107.30,107.65,521000,107.65
2015-04-22,111.30,111.80,109.00,109.60,548000,109.60
2015-04-21,110.15,112.25,110.15,110.95,472300,110.95
2015-04-20,108.10,109.80,108.10,109.70,467800,109.70
2015-04-17,110.80,111.05,108.10,108.10,816700,108.10
2015-04-16,111.95,112.00,109.60,110.90,639900,110.90
2015-04-15,113.80,113.80,111.70,111.85,518300,111.85
2015-04-14,114.00,114.15,112.55,113.05,599000,113.05
2015-04-13,115.20,115.70,114.35,114.80,532900,113.49
2015-04-10,112.60,115.70,112.35,115.20,706500,113.885
2015-04-09,111.50,112.30,111.25,112.20,646800,110.92
