Date,Open,High,Low,Close,Volume,Adj Close
2015-05-26,13.36,13.46,13.105,13.155,5316500,13.155
2015-05-25,13.325,13.325,13.325,13.325,000,13.325
2015-05-22,13.395,13.535,13.295,13.325,3349200,13.325
2015-05-21,13.45,13.47,13.22,13.405,5156300,13.405
2015-05-20,13.75,13.79,13.475,13.525,4297000,13.525
2015-05-19,13.80,13.905,13.545,13.725,4939800,13.725
2015-05-18,13.77,13.815,13.515,13.69,3551800,13.69
2015-05-15,13.88,13.89,13.685,13.785,4214200,13.785
2015-05-14,13.65,13.90,13.465,13.88,4279900,13.88
2015-05-13,13.625,13.81,13.53,13.61,7046600,13.61
2015-05-12,13.58,13.60,13.375,13.535,6082900,13.535
2015-05-11,13.545,13.745,13.505,13.68,11677500,13.68
2015-05-08,12.88,13.28,12.875,13.235,11010500,13.235
2015-05-07,12.51,12.86,12.365,12.82,7704500,12.82
2015-05-06,12.335,12.595,12.27,12.56,5271000,12.56
2015-05-05,12.77,12.845,12.275,12.39,9880500,12.39
2015-05-04,12.52,12.83,12.40,12.67,5305800,12.67
2015-05-01,12.40,12.40,12.40,12.40,000,12.40
2015-04-30,12.46,12.48,12.305,12.40,7374100,12.40
2015-04-29,12.60,13.015,12.355,12.43,13275500,12.43
2015-04-28,12.87,12.87,12.445,12.56,6084100,12.56
2015-04-27,12.42,12.935,12.335,12.83,8089500,12.83
2015-04-24,12.29,12.42,12.235,12.28,3580700,12.28
2015-04-23,12.37,12.435,12.205,12.26,3331900,12.26
2015-04-22,12.50,12.54,12.295,12.37,3574900,12.37
2015-04-21,12.315,12.49,12.20,12.415,4600000,12.415
2015-04-20,12.265,12.29,12.19,12.25,3266700,12.25
2015-04-17,12.45,12.45,12.09,12.20,7560500,12.20
2015-04-16,12.70,12.715,12.38,12.475,7434700,12.475
2015-04-15,12.84,12.85,12.645,12.675,5939300,12.675
2015-04-14,12.94,12.985,12.755,12.81,4610000,12.81
2015-04-13,12.98,13.015,12.82,12.92,3889300,12.92
2015-04-10,12.84,12.995,12.765,12.955,5457400,12.955
2015-04-09,12.79,12.805,12.67,12.77,3959200,12.77
2015-04-08,12.49,12.87,12.43,12.70,6773500,12.70
2015-04-07,12.67,12.67,12.35,12.475,9768100,12.475
2015-04-06,12.715,12.715,12.715,12.715,000,12.715
2015-04-03,12.715,12.715,12.715,12.715,000,12.715
2015-04-02,12.97,12.975,12.62,12.715,10352600,12.715
2015-04-01,13.005,13.155,12.94,13.05,4188100,13.05
2015-03-31,13.12,13.225,13.035,13.08,4398800,13.08
2015-03-30,13.16,13.20,13.02,13.12,4666000,13.12
2015-03-27,13.155,13.28,13.035,13.05,8583000,13.05
2015-03-26,13.215,13.215,12.775,12.985,13514100,12.985
2015-03-25,13.45,13.53,13.36,13.37,6421400,13.37
2015-03-24,13.74,14.055,12.96,13.565,20300200,13.565
2015-03-23,13.92,13.925,13.575,13.78,8040800,13.78
2015-03-20,13.86,13.99,13.675,13.97,9819000,13.97
2015-03-19,13.445,13.85,13.325,13.84,10084400,13.84
2015-03-18,13.35,13.585,13.085,13.515,7317900,13.515
2015-03-17,13.05,13.42,12.965,13.36,8124900,13.36
2015-03-16,13.09,13.20,12.85,13.125,7667400,13.125
2015-03-13,13.00,13.23,12.99,13.04,5675200,13.04
2015-03-12,13.50,13.70,12.90,13.045,13495400,13.045
2015-03-11,13.075,13.495,13.075,13.415,7930500,13.415
2015-03-10,13.24,13.285,12.99,13.04,5494400,13.04
2015-03-09,13.08,13.33,13.055,13.195,5246800,13.195
2015-03-06,13.015,13.25,12.88,13.085,6333200,13.085
2015-03-05,13.11,13.13,12.83,12.99,6668800,12.99
2015-03-04,13.20,13.25,13.01,13.06,5439600,13.06
2015-03-03,13.03,13.40,13.00,13.11,7524700,13.11
2015-03-02,13.10,13.185,12.925,13.00,5296600,13.00
2015-02-27,13.24,13.315,12.975,13.10,5750300,13.10
2015-02-26,13.24,13.27,13.11,13.175,5019200,13.175
2015-02-25,13.48,13.535,13.205,13.245,3956000,13.245
2015-02-24,13.385,13.525,13.28,13.455,4297000,13.455
2015-02-23,13.32,13.44,13.045,13.40,9125600,13.40
2015-02-20,13.85,13.96,13.115,13.295,15923100,13.295
2015-02-19,13.805,13.91,13.68,13.885,6451900,13.885
2015-02-18,13.81,13.89,13.715,13.835,4591800,13.835
2015-02-17,13.555,13.755,13.455,13.705,4491300,13.705
2015-02-16,13.505,13.78,13.495,13.68,3844600,13.68
2015-02-13,13.72,13.725,13.395,13.47,5575600,13.47
2015-02-12,13.51,13.685,13.245,13.665,5673000,13.665
2015-02-11,13.595,13.795,13.485,13.535,4360600,13.535
2015-02-10,13.425,13.68,13.235,13.545,6684200,13.545
2015-02-09,13.70,13.725,13.355,13.46,8416100,13.46
2015-02-06,14.19,14.19,13.74,13.865,7165600,13.865
2015-02-05,14.225,14.36,14.145,14.205,4057500,14.205
2015-02-04,14.05,14.31,13.695,14.31,10387700,14.31
2015-02-03,14.60,14.64,14.115,14.205,9800500,14.205
2015-02-02,14.99,14.99,14.395,14.555,10224200,14.555
2015-01-30,15.23,15.43,14.95,15.055,6099300,15.055
2015-01-29,14.90,15.155,14.825,15.065,3430600,15.065
2015-01-28,15.215,15.27,14.92,15.02,5289300,15.02
2015-01-27,15.405,15.53,14.86,15.125,7037900,15.125
2015-01-26,14.91,15.44,14.90,15.345,7339300,15.345
2015-01-23,15.26,15.305,14.805,14.90,9224900,14.90
2015-01-22,15.15,15.25,14.81,15.16,7763700,15.16
2015-01-21,15.01,15.255,14.955,15.20,6781500,15.20
2015-01-20,14.50,15.19,14.50,15.00,11524000,15.00
2015-01-19,14.285,14.345,14.125,14.31,4536700,14.31
2015-01-16,14.54,14.57,14.105,14.245,9258800,14.245
2015-01-15,14.665,14.76,14.36,14.68,7832200,14.68
2015-01-14,14.605,14.85,14.525,14.58,5954700,14.58
2015-01-13,14.49,14.855,14.38,14.775,8087200,14.775
2015-01-12,14.18,14.57,14.16,14.30,8300300,14.30
2015-01-09,14.095,14.32,13.92,14.06,7421800,14.06
2015-01-08,14.525,14.54,14.00,14.13,8557000,14.13
2015-01-07,14.075,14.445,14.02,14.27,6916500,14.27
2015-01-06,14.05,14.26,13.805,14.03,6097400,14.03
2015-01-05,13.85,14.29,13.815,13.99,6294800,13.99
2015-01-02,13.96,14.195,13.83,14.035,4615400,14.035
2015-01-01,13.83,13.83,13.83,13.83,000,13.83
2014-12-31,13.83,13.83,13.83,13.83,000,13.83
2014-12-30,13.75,13.98,13.66,13.83,1977900,13.83
2014-12-29,13.90,13.98,13.625,13.77,2377400,13.77
2014-12-26,13.855,13.855,13.855,13.855,000,13.855
2014-12-25,13.855,13.855,13.855,13.855,000,13.855
2014-12-24,13.855,13.855,13.855,13.855,000,13.855
2014-12-23,13.645,13.86,13.54,13.855,2959900,13.855
2014-12-22,13.66,13.695,13.51,13.605,3397500,13.605
2014-12-19,13.97,14.03,13.51,13.535,8841800,13.535
2014-12-18,13.995,14.075,13.835,14.02,5175000,14.02
2014-12-17,13.975,13.98,13.68,13.73,6785700,13.73
2014-12-16,13.615,14.12,13.465,14.12,9861300,14.12
2014-12-15,14.00,14.025,13.505,13.525,5266900,13.525
2014-12-12,14.02,14.195,13.91,13.95,5013300,13.95
2014-12-11,14.00,14.18,13.80,14.115,5340300,14.115
2014-12-10,14.19,14.375,14.035,14.04,5004200,14.04
2014-12-09,14.485,14.545,14.065,14.095,6249700,14.095
2014-12-08,14.90,14.90,14.615,14.62,4342500,14.62
2014-12-05,14.61,14.90,14.54,14.875,4823200,14.875
2014-12-04,14.41,14.65,14.39,14.485,5681600,14.485
2014-12-03,14.23,14.455,14.19,14.335,4203200,14.335
2014-12-02,14.35,14.375,14.10,14.19,4979500,14.19
2014-12-01,14.045,14.455,13.955,14.365,8253800,14.365
2014-11-28,14.17,14.385,14.085,14.355,15061600,14.355
2014-11-27,13.31,13.78,13.275,13.685,6993700,13.685
2014-11-26,13.36,13.39,13.205,13.295,3015000,13.295
2014-11-25,13.335,13.46,13.26,13.30,4357800,13.30
