Date,Open,High,Low,Close,Volume,Adj Close
2015-05-26,176.95,178.60,174.00,174.55,591000,174.55
2015-05-25,176.35,176.35,176.35,176.35,000,176.35
2015-05-22,176.30,177.15,175.75,176.35,303900,176.35
2015-05-21,176.55,177.10,175.40,176.50,288100,176.50
2015-05-20,177.45,178.05,175.90,176.70,305000,176.70
2015-05-19,175.90,177.60,175.65,177.10,484100,177.10
2015-05-18,173.75,175.50,171.75,174.25,445300,174.25
2015-05-15,176.45,176.70,173.80,174.30,500100,174.30
2015-05-14,172.30,176.35,171.30,175.90,307000,175.90
2015-05-13,175.00,177.05,172.90,173.50,458000,173.50
2015-05-12,177.30,178.20,174.70,176.65,617800,173.50
2015-05-11,179.40,179.70,177.45,178.45,378000,175.268
2015-05-08,176.25,178.85,175.30,178.55,640000,175.366
2015-05-07,173.50,175.20,171.65,174.60,512300,171.487
2015-05-06,175.30,176.05,172.95,174.35,535200,171.241
2015-05-05,177.55,180.70,174.65,174.70,601300,171.585
2015-05-04,176.50,179.30,175.25,178.25,389100,175.071
2015-05-01,174.80,174.80,174.80,174.80,000,171.683
2015-04-30,171.00,178.25,169.20,174.80,928500,171.683
2015-04-29,181.35,182.45,173.65,173.65,720600,170.553
2015-04-28,184.75,184.75,180.15,180.85,411100,177.625
2015-04-27,181.75,185.10,179.45,184.65,440100,181.357
2015-04-24,180.50,181.75,178.80,180.45,567600,177.232
2015-04-23,185.00,186.45,180.55,180.75,655600,177.527
2015-04-22,187.50,188.20,184.35,185.20,340800,181.898
2015-04-21,186.90,188.85,186.05,186.85,429800,183.518
2015-04-20,182.15,185.70,181.30,185.30,512800,181.996
2015-04-17,188.35,189.55,183.35,183.35,1043300,180.081
2015-04-16,192.00,192.10,188.55,188.80,455700,185.433
2015-04-15,192.60,193.70,191.85,192.00,325200,188.576
2015-04-14,192.95,193.45,191.35,191.85,350000,188.429
2015-04-13,194.00,194.40,192.95,192.95,335800,189.509
2015-04-10,193.50,194.75,192.85,193.75,487700,190.295
2015-04-09,190.40,193.40,190.40,192.90,334900,189.46
2015-04-08,192.50,192.75,190.00,190.40,452300,187.005
2015-04-07,192.35,193.55,191.65,192.00,626200,188.576
2015-04-06,190.50,190.50,190.50,190.50,000,187.103
2015-04-03,190.50,190.50,190.50,190.50,000,187.103
2015-04-02,191.75,192.15,190.35,190.50,414000,187.103
2015-04-01,188.20,193.20,187.80,191.45,420700,188.036
2015-03-31,191.90,193.30,189.25,189.65,509800,186.268
2015-03-30,189.00,192.80,188.90,192.50,472800,189.067
2015-03-27,188.70,188.75,186.90,188.15,521500,184.795
2015-03-26,188.55,189.75,186.30,188.05,715600,184.697
2015-03-25,192.00,193.25,190.00,190.10,409900,186.71
2015-03-24,190.35,192.55,189.55,192.00,458700,188.576
2015-03-23,192.95,193.15,190.25,191.30,505300,187.889
2015-03-20,193.25,195.55,192.85,193.25,1180300,189.804
2015-03-19,193.80,194.80,191.50,192.95,606500,189.509
2015-03-18,193.60,194.55,191.50,193.85,658300,190.393
2015-03-17,193.50,193.75,190.80,193.30,672200,189.853
2015-03-16,190.90,195.10,189.05,193.80,796300,190.344
2015-03-13,189.05,189.40,186.25,188.70,677500,185.335
2015-03-12,189.55,193.75,189.00,189.15,703200,185.777
2015-03-11,186.25,189.85,186.00,189.25,433600,185.875
2015-03-10,185.00,186.20,183.85,185.50,507500,182.192
2015-03-09,185.35,186.60,184.90,185.90,296100,182.585
2015-03-06,184.05,186.75,183.40,186.40,387000,183.076
2015-03-05,182.50,184.65,181.95,184.10,261000,180.817
2015-03-04,181.50,182.50,179.45,182.40,327300,179.147
2015-03-03,182.25,184.00,181.25,181.25,336800,178.018
2015-03-02,181.80,182.85,180.50,182.25,303300,179.00
2015-02-27,181.10,182.00,180.30,181.80,330300,178.558
2015-02-26,180.10,181.85,179.30,181.50,287600,178.264
2015-02-25,180.50,181.60,179.85,179.95,278500,176.741
2015-02-24,178.95,180.95,178.45,180.50,276500,177.281
2015-02-23,178.10,179.65,177.65,179.00,296700,175.808
2015-02-20,176.05,178.10,174.95,178.00,757800,174.826
2015-02-19,176.20,177.50,175.40,176.30,316600,173.156
2015-02-18,176.10,177.25,176.00,176.55,388100,173.402
2015-02-17,175.60,177.05,174.20,176.70,410100,173.549
2015-02-16,177.75,178.05,176.35,176.85,237900,173.696
2015-02-13,178.20,178.40,177.00,178.10,412500,174.924
2015-02-12,173.80,178.05,173.75,177.60,482000,174.433
2015-02-11,174.45,174.75,173.05,173.50,302400,170.406
2015-02-10,174.10,174.50,171.85,174.05,355700,170.946
2015-02-09,173.00,175.60,171.15,173.70,568400,170.603
2015-02-06,173.95,174.10,172.65,173.50,303600,170.406
2015-02-05,172.70,174.55,172.30,174.15,382300,171.045
2015-02-04,171.50,173.20,170.10,173.00,462600,169.915
2015-02-03,172.70,173.85,170.90,171.80,518600,168.736
2015-02-02,170.50,171.95,169.15,171.55,437200,168.491
2015-01-30,171.00,171.20,168.95,169.90,534300,166.87
2015-01-29,168.60,169.55,167.45,169.35,404100,166.33
2015-01-28,167.85,169.55,165.45,169.55,599600,166.527
2015-01-27,169.40,173.50,166.15,166.80,820400,163.826
2015-01-26,164.15,168.55,164.15,168.55,457200,165.544
2015-01-23,164.00,165.35,163.10,165.20,681100,162.254
2015-01-22,162.50,163.05,160.45,162.90,571000,159.995
2015-01-21,161.40,162.60,160.05,162.55,437300,159.651
2015-01-20,162.10,162.70,159.80,161.00,536100,158.129
2015-01-19,160.95,161.95,159.80,160.90,325700,158.031
2015-01-16,156.40,160.35,154.55,159.80,641000,156.95
2015-01-15,155.90,156.85,150.60,156.85,730500,154.053
2015-01-14,153.40,155.00,152.80,154.10,385300,151.352
2015-01-13,153.80,155.35,153.75,154.90,555500,152.138
2015-01-12,152.65,155.00,152.30,154.30,411500,151.549
2015-01-09,154.25,155.00,151.15,151.75,525200,149.044
2015-01-08,150.65,154.70,150.35,154.70,477000,151.941
2015-01-07,150.80,150.80,148.65,149.30,455700,146.638
2015-01-06,150.00,152.45,148.25,150.30,445700,147.62
2015-01-05,153.10,154.45,150.05,150.10,492100,147.423
2015-01-02,155.00,155.50,152.80,153.40,327300,150.665
2015-01-01,154.20,154.20,154.20,154.20,000,151.45
2014-12-31,154.20,154.20,154.20,154.20,000,151.45
2014-12-30,155.25,155.75,153.70,154.20,176200,151.45
2014-12-29,155.65,156.05,154.35,155.85,249800,153.071
2014-12-26,155.00,155.00,155.00,155.00,000,152.236
2014-12-25,155.00,155.00,155.00,155.00,000,152.236
2014-12-24,155.00,155.00,155.00,155.00,000,152.236
2014-12-23,153.60,155.10,153.05,155.00,298400,152.236
2014-12-22,152.40,154.25,152.30,153.55,335700,150.812
2014-12-19,152.05,153.45,150.60,152.15,810500,149.437
2014-12-18,150.70,151.30,149.75,150.80,532200,148.111
2014-12-17,147.15,149.40,146.50,148.75,442500,146.098
2014-12-16,144.10,148.60,143.25,148.60,847200,145.95
2014-12-15,147.65,148.85,144.30,144.30,517300,141.727
2014-12-12,150.70,151.25,147.55,147.65,413600,145.017
2014-12-11,151.35,152.75,150.70,151.75,345200,149.044
2014-12-10,152.60,153.55,152.05,152.05,341800,149.339
2014-12-09,152.45,153.40,151.55,151.60,375500,148.897
2014-12-08,153.25,154.15,152.40,153.40,228800,150.665
2014-12-05,153.90,154.50,153.05,153.95,395900,151.205
2014-12-04,154.80,155.45,153.10,153.20,430700,150.468
2014-12-03,152.85,154.75,152.85,154.40,358900,151.647
2014-12-02,152.90,154.80,152.20,152.40,424000,149.682
2014-12-01,150.45,152.90,150.05,152.05,306700,149.339
2014-11-28,152.50,153.10,151.15,151.75,428900,149.044
2014-11-27,153.10,153.95,152.30,153.00,272600,150.272
2014-11-26,149.90,153.15,149.90,152.45,541900,149.732
2014-11-25,149.35,150.90,149.15,150.10,449100,147.423
2014-11-24,149.95,150.45,149.25,149.25,446900,146.589
2014-11-21,148.15,150.60,148.00,150.25,820900,147.571
