Date,Open,High,Low,Close,Volume,Adj Close
2015-05-26,51.99,52.19,50.76,51.08,463400,51.08
2015-05-25,51.98,51.98,51.98,51.98,000,51.98
2015-05-22,51.92,52.20,51.61,51.98,432700,51.98
2015-05-21,51.98,52.23,51.47,51.92,375300,51.92
2015-05-20,51.88,52.39,51.76,52.10,344000,52.10
2015-05-19,51.93,52.48,51.66,52.07,406600,52.07
2015-05-18,51.32,52.18,51.16,51.54,419800,51.54
2015-05-15,51.50,51.90,51.05,51.34,504200,51.34
2015-05-14,50.26,51.55,49.75,51.38,509000,51.38
2015-05-13,51.39,51.91,50.45,50.63,576900,50.13
2015-05-12,51.18,51.42,50.61,51.11,387300,50.605
2015-05-11,51.60,51.84,51.28,51.67,458600,51.16
2015-05-08,49.755,51.59,49.50,51.57,906900,51.061
2015-05-07,48.99,49.745,46.61,49.565,1166500,49.076
2015-05-06,48.81,49.29,48.385,48.625,660800,48.145
2015-05-05,49.50,50.74,48.62,48.735,576100,48.254
2015-05-04,48.15,49.785,48.055,49.565,560000,49.076
2015-05-01,47.875,47.875,47.875,47.875,000,47.402
2015-04-30,47.995,48.26,47.05,47.875,628200,47.402
2015-04-29,49.635,49.775,47.785,48.14,650400,47.665
2015-04-28,50.62,50.62,49.505,49.785,385300,49.293
2015-04-27,49.91,50.55,49.37,50.52,392300,50.021
2015-04-24,49.415,49.85,49.215,49.805,385100,49.313
2015-04-23,49.50,49.99,48.715,49.255,403400,48.769
2015-04-22,49.94,50.22,49.125,49.635,435200,49.145
2015-04-21,49.385,50.40,49.21,49.725,563700,49.234
2015-04-20,48.88,49.36,48.62,49.015,552600,48.531
2015-04-17,49.54,49.70,48.725,48.87,894100,48.387
2015-04-16,52.00,52.00,49.735,49.845,913700,49.353
2015-04-15,51.49,52.59,51.31,52.00,604200,51.486
2015-04-14,51.46,51.84,51.19,51.38,290800,50.873
2015-04-13,51.43,52.10,51.40,51.65,393000,51.14
2015-04-10,51.62,52.25,51.23,51.96,527200,51.447
2015-04-09,50.96,51.35,50.46,51.34,287800,50.833
2015-04-08,51.15,51.67,50.83,50.90,381000,50.397
2015-04-07,50.25,51.16,50.23,51.09,475500,50.585
2015-04-06,49.91,49.91,49.91,49.91,000,49.417
2015-04-03,49.91,49.91,49.91,49.91,000,49.417
2015-04-02,50.11,50.36,49.63,49.91,432100,49.417
2015-04-01,49.42,50.63,49.18,50.24,418400,49.744
2015-03-31,49.96,50.69,49.585,49.625,517200,49.135
2015-03-30,49.52,50.49,49.45,50.14,579500,49.645
2015-03-27,49.505,49.665,48.895,49.51,352200,49.021
2015-03-26,49.32,49.70,48.415,49.425,530900,48.937
2015-03-25,49.215,49.95,49.095,49.69,538500,49.199
2015-03-24,49.03,49.28,48.52,49.21,486400,48.724
2015-03-23,48.82,49.155,48.12,49.02,582400,48.536
2015-03-20,48.615,49.23,48.445,48.775,1004400,48.293
2015-03-19,47.80,48.61,47.15,48.245,1038400,47.769
2015-03-18,49.745,49.75,47.695,48.285,1423200,47.808
2015-03-17,50.65,50.74,49.295,49.625,804600,49.135
2015-03-16,50.17,51.00,50.15,50.60,748200,50.10
2015-03-13,49.82,50.35,49.36,50.03,1058900,49.536
2015-03-12,49.00,50.16,48.73,49.415,979900,48.927
2015-03-11,47.80,48.98,47.695,48.865,755400,48.382
2015-03-10,47.86,47.865,47.275,47.72,690800,47.249
2015-03-09,47.545,48.10,47.525,48.00,806300,47.526
2015-03-06,46.70,47.67,46.60,47.65,819200,47.179
2015-03-05,45.965,46.695,45.695,46.565,654700,46.105
2015-03-04,45.41,45.88,45.035,45.82,476500,45.368
2015-03-03,45.49,46.08,45.20,45.25,430300,44.803
2015-03-02,46.275,46.34,45.365,45.56,439700,45.11
2015-02-27,46.01,46.30,45.415,46.035,467100,45.58
2015-02-26,45.37,46.045,45.37,45.865,492800,45.412
2015-02-25,45.75,45.75,45.17,45.37,389400,44.922
2015-02-24,45.09,45.995,44.88,45.785,590600,45.333
2015-02-23,45.40,45.635,44.40,45.085,616400,44.64
2015-02-20,44.95,45.49,44.925,45.35,845000,44.902
2015-02-19,45.405,45.405,44.595,44.95,755100,44.506
2015-02-18,45.275,45.76,45.125,45.395,586500,44.947
2015-02-17,45.50,46.34,44.93,45.10,941000,44.655
2015-02-16,45.845,46.335,45.845,46.09,364000,45.635
2015-02-13,46.13,46.465,45.52,45.93,604500,45.476
2015-02-12,44.90,46.13,44.895,45.94,828000,45.486
2015-02-11,44.76,45.15,44.325,44.895,659000,44.452
2015-02-10,45.545,45.60,44.275,44.81,1265700,44.367
2015-02-09,44.455,46.065,43.625,45.615,2352700,45.165
2015-02-06,44.39,44.94,44.33,44.635,679400,44.194
2015-02-05,43.56,44.495,43.065,44.38,693500,43.942
2015-02-04,44.20,44.22,43.455,43.855,796500,43.422
2015-02-03,43.97,44.48,43.20,44.055,1358400,43.62
2015-02-02,42.555,43.725,42.225,43.655,1217200,43.224
2015-01-30,42.05,42.71,41.80,42.55,1328400,42.13
2015-01-29,42.00,42.675,41.385,41.66,1822900,41.249
2015-01-28,39.39,42.55,39.06,42.10,3918500,41.684
2015-01-27,39.35,39.83,39.035,39.12,1084700,38.734
2015-01-26,38.205,39.31,38.06,39.295,1387400,38.907
2015-01-23,38.025,38.45,37.885,38.36,1583800,37.981
2015-01-22,36.50,37.83,36.415,37.76,2476500,37.387
2015-01-21,35.705,36.34,34.885,36.315,1893400,35.956
2015-01-20,35.36,35.955,35.24,35.885,1006300,35.531
2015-01-19,35.30,35.625,35.035,35.195,731900,34.847
2015-01-16,34.515,35.16,34.40,35.035,1239100,34.689
2015-01-15,34.25,34.795,33.525,34.56,1463800,34.219
2015-01-14,34.60,34.63,33.87,34.03,1131100,33.694
2015-01-13,34.40,35.23,34.345,35.05,783200,34.704
2015-01-12,35.50,35.50,34.215,34.54,1174500,34.199
2015-01-09,35.305,35.635,34.175,34.465,1053400,34.125
2015-01-08,35.49,35.66,34.99,35.465,1164900,35.115
2015-01-07,35.31,35.44,34.84,35.035,859900,34.689
2015-01-06,35.395,35.785,34.725,35.22,1386800,34.872
2015-01-05,37.32,37.585,35.175,35.43,1824300,35.08
2015-01-02,38.50,38.605,37.81,37.92,552700,37.546
2015-01-01,38.455,38.455,38.455,38.455,000,38.075
2014-12-31,38.455,38.455,38.455,38.455,000,38.075
2014-12-30,38.605,38.805,38.455,38.455,319300,38.075
2014-12-29,38.80,39.165,38.645,38.75,504500,38.367
2014-12-26,39.03,39.03,39.03,39.03,000,38.645
2014-12-25,39.03,39.03,39.03,39.03,000,38.645
2014-12-24,39.03,39.03,39.03,39.03,000,38.645
2014-12-23,38.50,39.08,38.255,39.03,476700,38.645
2014-12-22,38.455,38.87,38.30,38.40,552800,38.021
2014-12-19,38.705,38.83,38.00,38.25,1044400,37.872
2014-12-18,37.89,38.80,37.89,38.49,1023500,38.11
2014-12-17,36.88,37.505,36.635,37.37,581500,37.001
2014-12-16,37.03,37.34,36.24,37.305,1353600,36.937
2014-12-15,37.81,38.51,37.00,37.055,722500,36.689
2014-12-12,38.015,38.205,37.52,37.55,656200,37.179
2014-12-11,37.88,38.645,37.88,38.385,588100,38.006
2014-12-10,38.495,38.805,37.88,38.11,812700,37.734
2014-12-09,38.50,38.915,38.245,38.345,1069500,37.966
2014-12-08,39.26,39.535,38.755,38.845,780900,38.461
2014-12-05,39.935,40.145,39.29,39.41,1047600,39.021
2014-12-04,40.71,40.90,39.62,39.79,1095200,39.397
2014-12-03,39.83,40.67,39.775,40.545,819000,40.145
2014-12-02,39.73,40.135,39.515,39.81,551500,39.417
2014-12-01,39.66,39.98,39.30,39.705,649400,39.313
2014-11-28,40.405,40.405,39.55,39.935,770200,39.541
2014-11-27,40.69,41.30,40.385,40.47,870000,40.07
2014-11-26,39.16,40.55,39.16,40.47,1368900,40.07
2014-11-25,39.35,39.59,39.00,39.125,963300,38.739
2014-11-24,39.30,39.675,39.115,39.37,647400,38.981
2014-11-21,38.435,39.47,38.37,39.27,1394200,38.882
2014-11-20,38.30,38.545,37.65,38.26,1243700,37.882
2014-11-19,38.545,39.295,38.40,38.895,748100,38.511
2014-11-18,38.55,39.12,38.445,38.545,764300,38.164
2014-11-17,37.95,38.48,37.805,38.40,803700,38.021
2014-11-14,38.50,38.62,37.875,38.285,824000,37.907
2014-11-13,38.73,39.50,38.39,38.46,1032400,38.08
2014-11-12,38.575,38.82,37.915,38.425,992700,38.046
2014-11-11,38.885,38.925,38.20,38.715,883900,38.333
2014-11-10,37.72,38.825,37.51,38.775,1473300,38.392
2014-11-07,39.03,39.04,37.255,37.64,3101400,37.268
2014-11-06,41.90,41.90,38.69,39.00,3394900,38.615
2014-11-05,41.95,42.045,41.475,41.935,676000,41.521
2014-11-04,41.35,42.30,41.065,41.49,1145800,41.08
2014-11-03,41.425,42.06,41.22,41.425,820200,41.016
2014-10-31,41.065,41.765,40.82,41.48,1260500,41.07
2014-10-30,40.97,41.01,39.28,40.26,1225000,39.862
2014-10-29,40.77,41.64,40.65,40.795,1199000,40.392
2014-10-28,39.70,40.53,39.70,40.47,855200,40.07
2014-10-27,40.225,40.225,39.00,39.48,745200,39.09
2014-10-24,40.015,40.33,39.69,39.875,704900,39.481
2014-10-23,40.22,40.54,39.625,40.13,936600,39.734
2014-10-22,40.545,40.905,39.915,40.585,937700,40.184
2014-10-21,39.36,40.51,39.05,40.39,726300,39.991
2014-10-20,40.365,40.715,39.395,39.53,840200,39.14
