Date,Open,High,Low,Close,Volume,Adj Close
2015-05-26,22.49,22.605,21.86,21.90,4343500,21.90
2015-05-25,22.535,22.535,22.535,22.535,000,22.535
2015-05-22,22.59,22.86,22.50,22.535,3800900,22.535
2015-05-21,22.15,22.605,22.15,22.43,2989500,22.43
2015-05-20,22.17,22.38,22.055,22.30,3174700,22.30
2015-05-19,21.80,22.23,21.72,22.115,4884000,22.115
2015-05-18,21.93,21.975,21.455,21.655,5722400,21.655
2015-05-15,22.365,22.375,21.855,21.975,3817800,21.975
2015-05-14,22.12,22.40,21.80,22.285,2955300,22.285
2015-05-13,22.87,22.95,22.105,22.185,5767500,22.185
2015-05-12,23.02,23.08,22.57,22.735,4170000,22.735
2015-05-11,23.31,23.575,23.14,23.255,2759900,23.255
2015-05-08,22.92,23.365,22.595,23.295,5549400,23.295
2015-05-07,22.255,22.47,22.145,22.41,3224000,22.41
2015-05-06,22.08,22.50,22.06,22.335,3126600,22.335
2015-05-05,22.615,22.80,22.035,22.08,3858300,22.08
2015-05-04,22.295,22.65,22.105,22.615,2394200,22.615
2015-05-01,22.29,22.29,22.29,22.29,000,22.29
2015-04-30,22.445,22.615,22.05,22.29,3668400,22.29
2015-04-29,23.065,23.325,22.38,22.525,3525500,22.525
2015-04-28,23.02,23.19,23.01,23.09,2723400,23.09
2015-04-27,22.75,23.215,22.445,23.07,3503600,23.07
2015-04-24,22.87,22.87,22.30,22.69,7353200,22.69
2015-04-23,23.84,24.005,23.20,23.645,6786200,22.645
2015-04-22,24.33,24.495,23.70,23.875,4746000,22.8653
2015-04-21,24.69,24.77,24.20,24.30,3740600,23.2723
2015-04-20,24.30,24.57,24.085,24.545,4112100,23.5069
2015-04-17,24.895,25.10,24.20,24.24,6294500,23.2148
2015-04-16,25.075,25.54,24.97,25.12,3977400,24.0576
2015-04-15,24.985,25.18,24.905,25.055,2996900,23.9954
2015-04-14,25.03,25.20,24.93,25.07,3106700,24.0097
2015-04-13,24.86,25.165,24.79,25.06,3112200,24.0002
2015-04-10,25.085,25.20,24.83,25.01,3207700,23.9523
2015-04-09,24.88,25.045,24.645,24.98,2782700,23.9235
2015-04-08,25.05,25.47,24.67,24.805,3405400,23.7559
2015-04-07,24.27,25.165,24.20,24.995,5312700,23.9379
2015-04-06,24.03,24.03,24.03,24.03,000,23.0137
2015-04-03,24.03,24.03,24.03,24.03,000,23.0137
2015-04-02,24.12,24.15,23.91,24.03,2543800,23.0137
2015-04-01,23.63,24.165,23.62,24.10,3441900,23.0808
2015-03-31,24.10,24.15,23.775,23.78,4542800,22.7743
2015-03-30,24.25,24.34,24.10,24.25,2002300,23.2244
2015-03-27,24.27,24.27,23.885,24.07,3642500,23.052
2015-03-26,24.04,24.33,23.875,24.145,3491400,23.1239
2015-03-25,23.87,24.31,23.24,24.18,4785500,23.1574
2015-03-24,24.03,24.21,23.79,23.935,3936200,22.9227
2015-03-23,24.30,24.34,24.02,24.15,3628100,23.1286
2015-03-20,24.695,24.75,24.345,24.595,6725700,23.5548
2015-03-19,24.535,24.655,24.33,24.56,3685100,23.5213
2015-03-18,23.73,24.99,23.625,24.535,8637600,23.4974
2015-03-17,23.79,23.865,23.395,23.67,3597800,22.6689
2015-03-16,23.595,23.93,23.16,23.79,4555100,22.7839
2015-03-13,23.86,23.865,23.26,23.555,3716300,22.5588
2015-03-12,24.00,24.115,23.765,23.82,2718700,22.8126
2015-03-11,23.67,23.98,23.425,23.98,4219200,22.9658
2015-03-10,24.50,24.535,23.55,23.675,7193800,22.6737
2015-03-09,24.22,24.42,24.025,24.35,2700600,23.3202
2015-03-06,24.835,24.95,24.25,24.30,5410800,23.2723
2015-03-05,24.42,25.005,24.32,24.955,3108400,23.8996
2015-03-04,24.74,24.87,24.20,24.475,3006900,23.4399
2015-03-03,24.85,24.965,24.54,24.555,2742600,23.5165
2015-03-02,24.885,25.075,24.635,24.675,2951800,23.6314
2015-02-27,24.705,25.105,24.69,24.985,3085300,23.9283
2015-02-26,25.13,25.295,24.53,24.70,3175900,23.6554
2015-02-25,24.67,25.425,24.615,25.06,4645300,24.0002
