Date,Open,High,Low,Close,Volume,Adj Close
2015-05-26,68.06,68.58,67.03,67.30,3095300,67.30
2015-05-25,68.02,68.02,68.02,68.02,000,68.02
2015-05-22,68.15,68.37,67.85,68.02,1910800,68.02
2015-05-21,68.17,68.46,67.56,68.30,3300400,68.30
2015-05-20,69.18,69.38,68.67,69.19,3286400,68.09
2015-05-19,68.25,69.16,68.25,69.06,5065300,67.9621
2015-05-18,67.29,68.02,66.84,68.02,3671500,66.9386
2015-05-15,68.10,68.20,67.03,67.48,3795300,66.4072
2015-05-14,66.41,67.88,66.12,67.83,1875800,66.7516
2015-05-13,67.52,67.93,66.57,66.82,2380200,65.7577
2015-05-12,67.39,67.53,66.47,67.02,3126500,65.9545
2015-05-11,67.53,68.02,67.31,67.99,1788000,66.9091
2015-05-08,67.00,67.97,66.56,67.92,3698100,66.8402
2015-05-07,65.87,67.38,65.21,67.18,4132200,66.112
2015-05-06,66.40,67.04,65.62,66.29,3707900,65.2361
2015-05-05,68.19,69.04,66.66,66.75,4343200,65.6888
2015-05-04,67.52,68.84,67.36,68.46,2507000,67.3716
2015-05-01,67.93,67.93,67.93,67.93,000,66.85
2015-04-30,68.29,68.86,67.76,67.93,5040100,66.85
2015-04-29,69.58,69.99,68.48,68.62,4461900,67.5291
2015-04-28,70.20,70.54,69.52,69.81,3548200,68.7001
2015-04-27,69.63,70.81,68.80,70.72,3937100,69.5957
2015-04-24,68.84,69.78,68.72,69.12,2721700,68.0211
2015-04-23,69.81,69.82,68.39,68.91,2981300,67.8145
2015-04-22,69.59,69.97,68.20,69.14,3926300,68.0408
2015-04-21,68.85,69.73,68.52,68.94,4977400,67.844
2015-04-20,66.24,67.69,66.02,67.41,3090600,66.3383
2015-04-17,67.26,67.94,66.44,66.61,4906000,65.551
2015-04-16,68.81,68.81,67.63,67.74,3170700,66.6631
2015-04-15,68.61,69.36,68.41,68.76,1973300,67.6668
2015-04-14,68.88,69.39,68.48,68.79,2411800,67.6964
2015-04-13,69.05,69.39,68.88,69.13,1812500,68.031
2015-04-10,68.75,69.25,68.55,69.05,2956800,67.9522
2015-04-09,67.70,68.23,67.45,68.10,2278700,67.0173
2015-04-08,67.82,68.04,67.35,67.35,2329500,66.2793
2015-04-07,66.96,67.96,66.85,67.70,2852800,66.6237
2015-04-06,67.07,67.07,67.07,67.07,000,66.0037
2015-04-03,67.07,67.07,67.07,67.07,000,66.0037
2015-04-02,66.91,67.50,66.71,67.07,2310500,66.0037
2015-04-01,67.02,68.19,66.80,67.40,3120900,66.3285
2015-03-31,67.00,67.79,66.82,67.53,3467900,66.4564
2015-03-30,66.89,67.52,66.69,67.36,3192900,66.2891
2015-03-27,66.90,66.92,65.84,66.35,3301400,65.2952
2015-03-26,65.18,65.95,64.57,65.95,3708100,64.9015
2015-03-25,67.39,67.39,66.02,66.06,3453900,65.0098
2015-03-24,66.59,67.89,66.33,67.60,3234700,66.5253
2015-03-23,67.50,67.50,66.36,66.90,2746500,65.8364
2015-03-20,66.15,67.54,66.15,67.10,7686200,66.0332
2015-03-19,65.34,66.34,65.30,66.10,4868500,65.0491
2015-03-18,65.39,66.13,65.25,65.53,3334200,64.4882
2015-03-17,65.50,66.08,64.76,65.12,3245100,64.0847
2015-03-16,64.90,65.81,64.87,65.49,3136000,64.4488
2015-03-13,64.15,64.96,63.77,64.70,2952400,63.6714
2015-03-12,63.62,64.94,63.55,63.80,2880000,62.7857
2015-03-11,62.86,63.90,62.71,63.75,2749400,62.7365
2015-03-10,62.81,63.10,62.18,62.60,2726500,61.6048
2015-03-09,63.03,63.19,62.46,63.02,2569600,62.0181
2015-03-06,63.30,63.76,62.98,63.47,2373300,62.4609
2015-03-05,63.14,63.78,62.92,63.59,2454600,62.579
2015-03-04,62.79,63.09,62.16,63.07,2297100,62.0673
2015-03-03,63.30,63.68,62.79,62.79,2380100,61.7918
2015-03-02,62.68,63.35,62.55,63.35,2874600,62.3428
2015-02-27,62.39,62.92,62.13,62.84,2995400,61.841
2015-02-26,61.97,62.68,61.68,62.57,2639100,61.5752
2015-02-25,61.51,61.89,61.35,61.88,1904500,60.8962
2015-02-24,61.55,61.92,61.35,61.78,2125300,60.7978
2015-02-23,61.24,61.73,61.02,61.73,2522800,60.7486
2015-02-20,60.79,61.16,60.26,60.93,4509800,59.9613
2015-02-19,60.56,60.77,59.96,60.77,1874300,59.8039
2015-02-18,60.52,60.73,59.76,60.53,2027600,59.5677
2015-02-17,60.41,60.72,59.86,60.48,2335600,59.5185
2015-02-16,60.45,60.96,60.28,60.69,1156900,59.7251
2015-02-13,60.60,61.16,60.44,60.69,2529000,59.7251
2015-02-12,59.10,60.68,58.99,60.33,3783500,59.3709
2015-02-11,59.27,59.29,58.71,59.15,1750500,58.2096
2015-02-10,58.77,59.68,58.44,59.12,2372700,58.1801
2015-02-09,58.67,58.98,58.29,58.81,3446700,57.875
2015-02-06,59.54,59.60,59.06,59.20,2259600,58.2588
2015-02-05,59.23,59.80,59.09,59.68,1888900,58.7312
2015-02-04,59.31,59.80,59.18,59.60,3277700,58.6525
2015-02-03,59.00,59.54,58.68,59.12,3414300,58.1801
2015-02-02,58.00,58.74,57.92,58.70,3239200,57.7668
2015-01-30,58.37,58.44,57.74,57.86,3774400,56.9401
2015-01-29,57.09,57.83,56.97,57.79,2749600,56.8712
2015-01-28,58.02,58.28,57.17,57.31,3475900,56.3989
2015-01-27,58.50,58.72,57.28,57.60,3926100,56.6843
2015-01-26,57.37,58.35,57.22,58.26,3244600,57.3338
2015-01-23,57.00,57.74,56.30,57.49,6194500,56.576
