Date,Open,High,Low,Close,Volume,Adj Close
2015-05-26,30.43,30.685,29.58,29.86,1867900,29.86
2015-05-25,30.385,30.385,30.385,30.385,000,30.385
2015-05-22,30.585,30.64,30.20,30.385,904900,30.385
2015-05-21,30.25,30.505,30.165,30.50,1058900,30.50
2015-05-20,30.53,30.65,30.075,30.35,1402800,30.35
2015-05-19,29.78,30.67,29.65,30.59,2172100,30.59
2015-05-18,28.995,29.445,28.555,29.44,1985800,29.44
2015-05-15,29.705,29.705,28.73,28.73,2713600,28.73
2015-05-14,29.045,29.625,28.505,29.55,1649700,29.55
2015-05-13,29.75,30.385,29.04,29.195,3457300,29.195
2015-05-12,32.00,32.00,29.69,30.08,4757800,29.18
2015-05-11,31.70,32.00,31.27,31.97,2543800,31.0135
2015-05-08,30.465,31.38,30.40,31.38,2432200,30.4411
2015-05-07,29.81,30.04,28.92,29.97,1895800,29.0733
2015-05-06,29.97,30.325,29.645,29.97,1395500,29.0733
2015-05-05,30.46,30.87,29.92,29.98,1729800,29.083
2015-05-04,29.61,30.61,29.61,30.415,1568100,29.505
2015-05-01,29.32,29.32,29.32,29.32,000,28.4427
2015-04-30,29.44,29.615,28.74,29.32,2272700,28.4427
2015-04-29,31.25,31.40,28.94,29.23,3320300,28.3554
2015-04-28,32.10,32.10,31.19,31.245,1520100,30.3101
2015-04-27,31.53,32.245,31.095,32.175,1462700,31.2123
2015-04-24,30.91,31.525,30.745,31.395,1701700,30.4557
2015-04-23,31.47,31.54,30.665,30.755,1368100,29.8348
2015-04-22,31.62,31.955,31.375,31.47,1456000,30.5284
2015-04-21,31.305,31.84,31.21,31.47,1285100,30.5284
2015-04-20,31.10,31.275,30.89,31.08,1073900,30.1501
2015-04-17,31.55,31.575,30.62,30.755,2186400,29.8348
2015-04-16,32.355,32.37,31.825,31.89,1228500,30.9358
2015-04-15,32.10,33.06,32.035,32.385,1568700,31.416
2015-04-14,32.22,32.38,31.915,32.12,1229900,31.159
2015-04-13,32.57,32.84,32.315,32.37,1096800,31.4015
2015-04-10,32.285,32.57,32.12,32.57,1389900,31.5955
2015-04-09,31.60,32.32,31.525,32.125,1263300,31.1638
2015-04-08,31.40,31.78,31.275,31.45,1484100,30.509
2015-04-07,31.38,31.395,30.905,31.395,1444000,30.4557
2015-04-06,30.96,30.96,30.96,30.96,000,30.0337
2015-04-03,30.96,30.96,30.96,30.96,000,30.0337
2015-04-02,30.55,31.275,30.50,30.96,1732100,30.0337
2015-04-01,30.215,30.725,30.06,30.51,1482200,29.5971
2015-03-31,30.73,30.76,30.305,30.41,1253700,29.5001
2015-03-30,30.40,30.94,30.35,30.725,1548800,29.8057
2015-03-27,30.115,30.38,29.83,30.345,1850000,29.4371
2015-03-26,29.90,30.015,29.27,29.93,2582400,29.0345
2015-03-25,30.40,30.58,30.075,30.22,1705000,29.3158
2015-03-24,30.43,30.845,30.08,30.355,2144100,29.4468
2015-03-23,31.15,31.15,30.27,30.59,1787800,29.6747
2015-03-20,31.05,31.245,30.445,31.13,5475000,30.1986
2015-03-19,32.25,32.35,30.67,30.975,4139300,30.0482
2015-03-18,31.985,32.355,31.52,32.14,3034000,31.1784
2015-03-17,33.23,33.455,31.82,31.855,2573800,30.9019
2015-03-16,32.00,33.075,31.915,32.84,3136900,31.8574
2015-03-13,32.32,32.875,31.08,31.515,3730000,30.5721
2015-03-12,30.30,32.175,30.20,31.87,6917700,30.9164
2015-03-11,29.17,29.86,29.11,29.66,2055200,28.7726
