Date,Open,High,Low,Close,Volume,Adj Close
2015-05-26,98.50,98.93,96.75,97.05,2350500,97.05
2015-05-25,98.15,98.15,98.15,98.15,000,98.15
2015-05-22,98.11,98.40,97.70,98.15,1490400,98.15
2015-05-21,97.47,98.44,97.03,98.31,1606700,98.31
2015-05-20,98.18,98.36,97.37,98.02,1550500,98.02
2015-05-19,97.07,98.56,97.01,97.99,2401900,97.99
2015-05-18,95.82,96.89,95.17,96.48,1751200,96.48
2015-05-15,96.73,97.36,95.25,95.88,2828300,95.88
2015-05-14,94.00,96.71,93.55,96.35,2354400,96.35
2015-05-13,96.30,97.49,94.13,94.56,3188100,94.56
2015-05-12,95.79,96.48,94.91,95.85,2648800,95.85
2015-05-11,96.69,97.12,96.40,96.75,2000200,96.75
2015-05-08,96.24,97.31,94.26,97.11,3286100,97.11
2015-05-07,95.00,95.92,94.05,95.36,3597800,95.36
2015-05-06,95.90,97.50,95.54,96.85,2812500,96.85
2015-05-05,98.17,99.18,96.04,96.24,2820700,96.24
2015-05-04,97.70,99.24,96.57,98.53,1682000,98.53
2015-05-01,97.51,97.51,97.51,97.51,000,97.51
2015-04-30,96.90,98.28,94.02,97.51,3709600,97.51
2015-04-29,100.95,101.85,97.49,97.49,3351900,97.49
2015-04-28,101.05,102.75,100.85,101.25,2260400,101.25
2015-04-27,99.56,102.00,98.58,102.00,2187300,102.00
2015-04-24,98.56,99.90,98.12,99.33,2092600,99.33
2015-04-23,99.35,100.00,97.54,98.28,3205300,98.28
2015-04-22,100.45,101.10,99.19,99.70,2027900,99.70
2015-04-21,101.00,102.00,100.55,100.55,1663200,100.55
2015-04-20,99.16,100.80,99.05,100.65,1538400,100.65
2015-04-17,100.75,101.25,98.76,98.95,3701400,98.95
2015-04-16,102.95,103.05,101.25,101.45,1835200,101.45
2015-04-15,102.50,104.20,102.25,103.45,1664700,103.45
2015-04-14,103.10,103.55,102.20,102.50,1299400,102.50
2015-04-13,103.15,104.00,102.85,103.65,1254000,103.65
2015-04-10,101.90,103.45,101.45,103.45,1881400,103.45
2015-04-09,101.35,101.55,100.90,101.45,1079400,101.45
2015-04-08,101.80,102.45,101.15,101.15,1287400,101.15
2015-04-07,101.95,102.45,101.55,102.15,1736000,102.15
2015-04-06,100.85,100.85,100.85,100.85,000,100.85
