Date,Open,High,Low,Close,Volume,Adj Close
2015-05-26,230.70,232.90,225.45,226.35,845800,226.35
2015-05-25,229.95,229.95,229.95,229.95,000,229.95
2015-05-22,230.30,231.30,228.05,229.95,638100,229.95
2015-05-21,232.30,232.35,227.25,230.50,956300,230.50
2015-05-20,233.00,234.80,231.10,232.60,767800,232.60
2015-05-19,225.25,233.85,225.00,233.20,1744700,233.20
2015-05-18,216.25,224.05,215.50,222.35,1397900,222.35
2015-05-15,222.00,222.65,213.90,215.70,1256600,215.70
2015-05-14,216.70,221.30,213.40,220.85,745000,220.85
2015-05-13,221.90,223.20,216.60,218.10,1150200,218.10
2015-05-12,226.80,226.95,219.60,220.55,1597000,220.55
2015-05-11,231.45,231.80,226.90,227.30,947300,227.30
2015-05-08,228.55,232.00,225.75,232.00,1360100,232.00
2015-05-07,219.50,226.80,219.10,225.00,1215900,225.00
2015-05-06,225.40,226.45,216.45,220.80,1887700,220.80
2015-05-05,230.00,235.65,227.65,228.50,1458500,223.64
2015-05-04,232.00,233.05,227.40,230.85,1123500,225.94
2015-05-01,231.45,231.45,231.45,231.45,000,226.53
2015-04-30,230.80,234.25,227.65,231.45,1461100,226.53
2015-04-29,245.50,245.50,229.45,230.75,1833300,225.84
2015-04-28,248.75,248.75,240.15,240.30,1248600,235.19
2015-04-27,243.40,245.45,239.40,245.45,2295300,240.23
2015-04-24,231.70,234.70,229.30,233.05,1433400,228.09
2015-04-23,227.95,229.25,223.95,228.55,1610900,223.69
2015-04-22,228.00,230.20,225.40,226.65,1388300,221.83
2015-04-21,231.50,232.40,227.55,228.00,1930700,223.15
2015-04-20,235.75,237.85,230.30,230.80,1407600,225.89
2015-04-17,237.10,243.80,234.50,235.00,1727300,230.00
2015-04-16,243.65,244.00,237.35,237.65,1222300,232.60
2015-04-15,247.40,248.75,242.55,242.70,979100,237.54
2015-04-14,248.00,249.00,244.90,246.45,876700,241.21
2015-04-13,247.80,251.35,247.00,248.65,1030100,243.36
2015-04-10,250.60,254.50,248.35,253.20,943600,247.81
2015-04-09,246.85,249.70,244.90,249.60,801000,244.29
2015-04-08,244.95,245.25,241.20,244.35,799900,239.15
2015-04-07,246.70,246.70,243.45,244.70,746700,239.50
2015-04-06,243.80,243.80,243.80,243.80,000,238.61
2015-04-03,243.80,243.80,243.80,243.80,000,238.61
2015-04-02,244.65,245.75,242.65,243.80,704400,238.61
2015-04-01,246.60,248.10,243.20,244.65,1574400,239.45
2015-03-31,250.00,250.70,245.15,247.85,984400,242.58
2015-03-30,245.60,249.90,244.75,249.90,774200,244.58
2015-03-27,246.00,247.90,241.50,244.60,1162100,239.40
2015-03-26,240.45,243.80,237.05,243.30,1593300,238.13
2015-03-25,246.00,248.90,243.70,244.00,900100,238.81
2015-03-24,239.80,246.20,236.60,245.30,1103000,240.08
2015-03-23,249.70,249.80,240.55,240.80,1237400,235.68
2015-03-20,248.30,252.25,246.90,250.05,2024000,244.73
2015-03-19,244.50,248.50,241.40,248.00,1208000,242.73
2015-03-18,254.50,255.85,239.55,244.50,2110400,239.30
2015-03-17,259.50,262.45,249.55,252.45,2288100,247.08
2015-03-16,249.35,256.00,249.05,255.20,1443100,249.77
2015-03-13,243.00,247.75,241.75,247.75,1009900,242.48
2015-03-12,243.15,243.65,238.35,241.40,1265900,236.27
2015-03-11,233.50,243.40,232.90,242.25,1559100,237.10
2015-03-10,233.10,233.60,228.40,231.30,1020300,226.38
2015-03-09,228.80,232.20,226.75,232.20,988800,227.26
2015-03-06,226.80,229.85,225.75,229.85,999400,224.96
2015-03-05,225.80,226.80,223.45,225.65,972700,220.85
2015-03-04,222.80,224.30,217.35,224.20,1113800,219.43
2015-03-03,227.45,227.45,220.45,221.60,920200,216.89
2015-03-02,227.00,229.50,225.05,227.00,1190900,222.17
2015-02-27,225.50,228.55,211.65,225.50,2390000,220.70
2015-02-26,222.50,224.95,222.50,224.90,800800,220.12
2015-02-25,226.10,227.00,221.40,223.00,987500,218.26
2015-02-24,228.10,229.00,224.15,226.10,1009500,221.29
2015-02-23,227.50,229.10,227.00,228.65,920600,223.79
2015-02-20,222.50,226.40,222.05,225.00,1603300,220.21
