INDEX|COMPANY|PRICE|SYMBOL|IDENTIFIER|TYPE|DATE|VOLUME
GDAXI|ADIDAS N|70.839996|ADS.DE|1433420307|equity|2015-04-04T12:18:27+0000|539738
GDAXI|ALLIANZ N|142.149994|ALV.DE|1433420301|equity|2015-04-04T12:18:21+0000|754166
GDAXI|BASF N|83.099998|BAS.DE|1433420306|equity|2015-04-04T12:18:26+0000|1541196
GDAXI|BAYER N|127.400002|BAYN.DE|1433420304|equity|2015-04-04T12:18:24+0000|791248
GDAXI|BEIERSDORF|80.500000|BEI.DE|1433420304|equity|2015-04-04T12:18:24+0000|146280
GDAXI|BMW|99.669998|BMW.DE|1433420309|equity|2015-04-04T12:18:29+0000|946387
GDAXI|COMMERZBANK|12.285000|CBK.DE|1433420301|equity|2015-04-04T12:18:21+0000|2780638
GDAXI|CONTINENTAL |207.199997|CON.DE|1433420306|equity|2015-04-04T12:18:26+0000|234786
GDAXI|DAIMLER N|81.919998|DAI.DE|1433420306|equity|2015-04-04T12:18:26+0000|2285916
GDAXI|DEUTSCHE BOERSE N|74.010002|DB1.DE|1433420306|equity|2015-04-04T12:18:26+0000|306882
GDAXI|DEUTSCHE BANK N|27.980000|DBK.DE|1433420286|equity|2015-04-04T12:18:06+0000|2703040
GDAXI|DEUTSCHE POST N|26.584999|DPW.DE|1433420304|equity|2015-04-04T12:18:24+0000|1952239
GDAXI|DEUTSCHE TELEKOM N|15.815000|DTE.DE|1433420309|equity|2015-04-04T12:18:29+0000|13988847
GDAXI|E.ON N|13.250000|EOAN.DE|1433420307|equity|2015-04-04T12:18:27+0000|6524302
GDAXI|FRESENIUS MED CARE|77.510002|FME.DE|1433420305|equity|2015-04-04T12:18:25+0000|408631
GDAXI|FRESENIUS|56.669998|FRE.DE|1433420309|equity|2015-04-04T12:18:29+0000|356723
GDAXI|HEIDELBERGCEMENT|72.449997|HEI.DE|1433420305|equity|2015-04-04T12:18:25+0000|268133
GDAXI|HENKEL VZ|107.400002|HEN3.DE|1433420289|equity|2015-04-04T12:18:09+0000|162248
GDAXI|INFINEON TECHNOLO N|11.765000|IFX.DE|1433420294|equity|2015-04-04T12:18:14+0000|2172601
GDAXI|DT.LUFTHANSA N|12.415000|LHA.DE|1433420305|equity|2015-04-04T12:18:25+0000|1772042
GDAXI|LINDE|169.949997|LIN.DE|1433420308|equity|2015-04-04T12:18:28+0000|234635
GDAXI|LANXESS|49.544998|LXS.DE|1433420262|equity|2015-04-04T12:17:42+0000|178594
GDAXI|MERCK|93.730003|MRK.DE|1433420308|equity|2015-04-04T12:18:28+0000|293918
GDAXI|MUENCH RUECKVERS N|165.600006|MUV2.DE|1433420284|equity|2015-04-04T12:18:04+0000|502687
GDAXI|RWE |20.910000|RWE.DE|1433420301|equity|2015-04-04T12:18:21+0000|3799105
GDAXI|SAP|66.589996|SAP.DE|1433420294|equity|2015-04-04T12:18:14+0000|1175350
GDAXI|K+S N|28.695000|SDF.DE|1433420266|equity|2015-04-04T12:17:46+0000|643040
GDAXI|SIEMENS N|95.800003|SIE.DE|1433420290|equity|2015-04-04T12:18:10+0000|1173088
GDAXI|THYSSENKRUPP |24.190001|TKA.DE|1433420260|equity|2015-04-04T12:17:40+0000|639351
GDAXI|VOLKSWAGEN VZ|216.149994|VOW3.DE|1433420306|equity|2015-04-04T12:18:26+0000|524007
