More Info|Industry: Aluminum |Basic Materials|Aluminum
A18.SI|AEI Corp Ltd |Basic Materials|Aluminum
ALCO.AT|Alco Hellas SA |Basic Materials|Aluminum
AA.BA|Alcoa Inc |Basic Materials|Aluminum
AA.MX|Alcoa Inc |Basic Materials|Aluminum
AAI.AX|Alcoa Inc |Basic Materials|Aluminum
ALU.DE|Alcoa Inc |Basic Materials|Aluminum
AA|Alcoa Inc. |Basic Materials|Aluminum
ALUA.BA|Aluar Aluminio Argentino |Basic Materials|Aluminum
ALUMECO.BO|Alumeco India Extrusion Ltd |Basic Materials|Aluminum
ALMY.AT|Alumil |Basic Materials|Aluminum
AWC.AX|Alumina Ltd |Basic Materials|Aluminum
WMC.DE|Alumina Ltd |Basic Materials|Aluminum
WMC1.DE|Alumina Ltd |Basic Materials|Aluminum
ACHN.MX|Aluminum Corp of China |Basic Materials|Aluminum
AOC.DE|Aluminum Corp of China |Basic Materials|Aluminum
AOCA.DE|Aluminum Corp of China |Basic Materials|Aluminum
2600.HK|Aluminum Corporation |Basic Materials|Aluminum
K3HD.SI|Aluminum Corporation |Basic Materials|Aluminum
ACH|Aluminum Corporation Of China |Basic Materials|Aluminum
ALU.V|Anglo Aluminum Corporation |Basic Materials|Aluminum
ABX.AX|Australian Bauxite Ltd |Basic Materials|Aluminum
ABZ.AX|Australian Bauxite Ltd |Basic Materials|Aluminum
4B4.DE|Bauxite Resources Ltd |Basic Materials|Aluminum
BAU.AX|Bauxite Resources Ltd |Basic Materials|Aluminum
BHRKALM.BO|Bhoruka Aluminium Ltd |Basic Materials|Aluminum
CAA.AX|Capral Ltd |Basic Materials|Aluminum
EY3.DE|Century Aluminum Co |Basic Materials|Aluminum
CENX|Century Aluminum Co. |Basic Materials|Aluminum
CENTEXT.NS|Century Extrusions Ltd |Basic Materials|Aluminum
CENTEXTR.BO|Century Extrusions Ltd |Basic Materials|Aluminum
C92.SI|China Haida Ltd |Basic Materials|Aluminum
CO0.DE|China Haida Ltd |Basic Materials|Aluminum
1333.HK|China Zhongwang |Basic Materials|Aluminum
0CZ.DE|China Zhongwang Holdings Ltd |Basic Materials|Aluminum
2302.HK|CNNC International Ltd. |Basic Materials|Aluminum
UAS.PA|COIL NV |Basic Materials|Aluminum
ELBA.AT|Elval Hellenic Aluminium |Basic Materials|Aluminum
ELL.DE|Elval Hellenic Aluminium |Basic Materials|Aluminum
GALADA.BO|Galada Power |Basic Materials|Aluminum
GUJFOIL.BO|Gujarat Foils Ltd |Basic Materials|Aluminum
HINDALUMI.BO|Hind Aluminium Industries Ltd |Basic Materials|Aluminum
HINDALCO.BO|Hindalco Industries Ltd |Basic Materials|Aluminum
HINDALCO.NS|Hindalco Industries Ltd |Basic Materials|Aluminum
4H6.DE|Hulamin Ltd |Basic Materials|Aluminum
KLU1.DE|Kaiser Aluminum Corp |Basic Materials|Aluminum
KALU|Kaiser Aluminum Corporation |Basic Materials|Aluminum
C4P.SI|LH Group Ltd |Basic Materials|Aluminum
MANALU.NS|Maan Aluminium Ltd |Basic Materials|Aluminum
MANALUM.BO|Maan Aluminium Ltd |Basic Materials|Aluminum
4MH.DE|MHM Metals Ltd |Basic Materials|Aluminum
MHM.AX|MHM Metals Ltd |Basic Materials|Aluminum
1021.HK|Midas Holdings Limited |Basic Materials|Aluminum
5EN.SI|Midas Holdings Ltd |Basic Materials|Aluminum
MI2.DE|Midas Holdings Ltd |Basic Materials|Aluminum
NATIONALU.NS|National Aluminium |Basic Materials|Aluminum
NALCO.BO|National Aluminium Co Ltd |Basic Materials|Aluminum
NIRAVCOM.BO|Nirav Commercials Ltd |Basic Materials|Aluminum
NAF.DE|Noranda Aluminum Holding Corp |Basic Materials|Aluminum
NOR|Noranda Aluminum Holding Corp. |Basic Materials|Aluminum
NHY.L|Norsk Hydro ASA |Basic Materials|Aluminum
NHYFUT.OL|Norsk Hydro ASA |Basic Materials|Aluminum
NHYO.ST|Norsk Hydro ASA |Basic Materials|Aluminum
NOH1.DE|Norsk Hydro ASA |Basic Materials|Aluminum
NOHA.DE|Norsk Hydro ASA |Basic Materials|Aluminum
1220.HK|Ocean Grand Holdings, Ltd. |Basic Materials|Aluminum
ORT.TO|Orbite Aluminae Inc |Basic Materials|Aluminum
PGFOILQ.BO|PG Foils Ltd |Basic Materials|Aluminum
RRP.AX|Realm Resources Ltd |Basic Materials|Aluminum
SACHEMT.BO|Sacheta Metals Ltd |Basic Materials|Aluminum
5SN.DE|Soon Lian Holdings Ltd |Basic Materials|Aluminum
SUDAI.BO|Sudal Industries Ltd |Basic Materials|Aluminum
SYNTHFO.BO|Synthiko Foils Ltd |Basic Materials|Aluminum
2358.TW|Ting Sin Co Ltd |Basic Materials|Aluminum
R6L.DE|United Co Rusal PLC |Basic Materials|Aluminum
R6L1.DE|United Co Rusal PLC |Basic Materials|Aluminum
RUSAL.PA|United Co Rusal PLC |Basic Materials|Aluminum
0486.HK|United Company Rusal PLC |Basic Materials|Aluminum
MN5.SI|XinRen Aluminum Holdings Ltd |Basic Materials|Aluminum
