More Info|Industry: Chemicals - Major Diversified |Basic Materials|Chemicals - Major Diversified
A7Z.DE|A E C I Ltd |Basic Materials|Chemicals - Major Diversified
SHLM|A. Schulman, Inc. |Basic Materials|Chemicals - Major Diversified
AARTIIND.NS|Aarti Industries Ltd |Basic Materials|Chemicals - Major Diversified
ARTIIND.BO|Aarti Industries Ltd |Basic Materials|Chemicals - Major Diversified
ACET|Aceto Corp. |Basic Materials|Chemicals - Major Diversified
ABCIL.BO|Aditya Birla Chemicals |Basic Materials|Chemicals - Major Diversified
ABCIL.NS|Aditya Birla Chemicals |Basic Materials|Chemicals - Major Diversified
ADVPETR-B.BO|Advance Petrochemicals Ltd. |Basic Materials|Chemicals - Major Diversified
IZ8A.DE|African Oxygen Ltd |Basic Materials|Chemicals - Major Diversified
AI.PA|Air Liquide SA |Basic Materials|Chemicals - Major Diversified
AIL.DE|Air Liquide SA |Basic Materials|Chemicals - Major Diversified
AP3.DE|Air Products & Chemicals Inc |Basic Materials|Chemicals - Major Diversified
APD|Air Products & Chemicals Inc. |Basic Materials|Chemicals - Major Diversified
AAS.DE|Airgas Inc |Basic Materials|Chemicals - Major Diversified
ARG|Airgas, Inc. |Basic Materials|Chemicals - Major Diversified
AKSCHEM.BO|AksharChem (India) Ltd |Basic Materials|Chemicals - Major Diversified
ALUFLUOR.BO|Alufluoride Ltd |Basic Materials|Chemicals - Major Diversified
AFPW|AlumiFuel Power Corp. |Basic Materials|Chemicals - Major Diversified
AMNPLST.BO|Amines & Plasticizers Ltd |Basic Materials|Chemicals - Major Diversified
MF5.SI|Anchun International |Basic Materials|Chemicals - Major Diversified
ANDHRAPE.BO|Andhra Petrochemicals Ltd |Basic Materials|Chemicals - Major Diversified
ANDHRASUGAR.BO|Andhra Sugars Ltd |Basic Materials|Chemicals - Major Diversified
ANDHRSUGA.NS|Andhra Sugars Ltd |Basic Materials|Chemicals - Major Diversified
ANO.AX|Antaria Ltd |Basic Materials|Chemicals - Major Diversified
BBJ.DE|Antaria Ltd |Basic Materials|Chemicals - Major Diversified
SHCHOLC.BO|Archit Organosys Ltd |Basic Materials|Chemicals - Major Diversified
ASV.DE|Argex Titanium Inc |Basic Materials|Chemicals - Major Diversified
AKE.PA|Arkema |Basic Materials|Chemicals - Major Diversified
AKENV.PA|Arkema |Basic Materials|Chemicals - Major Diversified
V1S.DE|Arkema |Basic Materials|Chemicals - Major Diversified
ASAA.DE|Asahi Kasei Corp |Basic Materials|Chemicals - Major Diversified
ASAHISONG.NS|Asahi Songwon Colors Ltd |Basic Materials|Chemicals - Major Diversified
ASCL.BO|Asahi Songwon Colors Ltd |Basic Materials|Chemicals - Major Diversified
A1H.DE|Ashland Inc |Basic Materials|Chemicals - Major Diversified
ASH|Ashland Inc. |Basic Materials|Chemicals - Major Diversified
ASHOKALC.BO|Ashok Alcochem Ltd |Basic Materials|Chemicals - Major Diversified
ASINPET.BO|Asian Petroproducts |Basic Materials|Chemicals - Major Diversified
ASTEC.BO|Astec Lifesciences Ltd |Basic Materials|Chemicals - Major Diversified
ASTEC.NS|Astec Lifesciences Ltd |Basic Materials|Chemicals - Major Diversified
