More Info|Industry: Copper |Basic Materials|Copper
ACB.AX|A-Cap Resources Ltd |Basic Materials|Copper
ABCGAS.BO|ABC Gas (International) Ltd |Basic Materials|Copper
ABY.AX|Aditya Birla Minerals Ltd |Basic Materials|Copper
V7N.DE|Aditya Birla Minerals Ltd |Basic Materials|Copper
ADY.AX|Admiralty Resources NL |Basic Materials|Copper
AHS.DE|Admiralty Resources NL |Basic Materials|Copper
5FH.SI|Advance Sct Ltd |Basic Materials|Copper
AQR.AX|Aeon Metals Ltd |Basic Materials|Copper
ACU.L|African Copper PLC |Basic Materials|Copper
ARG.TO|Amerigo Resources Ltd |Basic Materials|Copper
RE8.DE|Amerigo Resources Ltd |Basic Materials|Copper
AXZ.AX|Amex Resources Ltd |Basic Materials|Copper
AHR.AX|Anchor Resources Ltd |Basic Materials|Copper
AVM.V|Anvil Mining Ltd. |Basic Materials|Copper
4AP.DE|Apollo Minerals Ltd |Basic Materials|Copper
AON.AX|Apollo Minerals Ltd |Basic Materials|Copper
38A.DE|Archer Exploration Ltd |Basic Materials|Copper
AXE.AX|Archer Exploration Ltd |Basic Materials|Copper
AXT.AX|Argo Exploration Ltd |Basic Materials|Copper
ARV.AX|Artemis Resources Ltd |Basic Materials|Copper
AHN.AX|Athena Resources Ltd |Basic Materials|Copper
AUK.AX|Augur Resources Ltd |Basic Materials|Copper
NDA.DE|Aurubis AG |Basic Materials|Copper
AL9.DE|Avalon Minerals Ltd |Basic Materials|Copper
AVI.AX|Avalon Minerals Ltd |Basic Materials|Copper
AZS.AX|Azure Minerals Ltd |Basic Materials|Copper
NIC.DE|Azure Minerals Ltd |Basic Materials|Copper
BCU.V|Bell Copper Corporation |Basic Materials|Copper
EYE.AX|Birimian Gold Ltd |Basic Materials|Copper
5SS.DE|Black Oak Minerals Ltd |Basic Materials|Copper
BOK.AX|Black Oak Minerals Ltd |Basic Materials|Copper
SXG.AX|Black Oak Minerals Ltd |Basic Materials|Copper
BLR.AX|Black Range Minerals Ltd |Basic Materials|Copper
BXR.V|Blue River Resources Ltd |Basic Materials|Copper
BOC.AX|Bougainville Copper Ltd |Basic Materials|Copper
BOU1.DE|Bougainville Copper Ltd |Basic Materials|Copper
C6X.DE|Canadian Arrow Mines Ltd |Basic Materials|Copper
CRO.V|Canadian Arrow Mines Ltd |Basic Materials|Copper
DNT.TO|Candente Copper Corp |Basic Materials|Copper
CAE.AX|Cannindah Resources Ltd |Basic Materials|Copper
SWN.AX|Caravel Minerals Ltd |Basic Materials|Copper
III.AX|Carbine Tungsten Ltd |Basic Materials|Copper
CAV.AX|Carnavale Resources Ltd |Basic Materials|Copper
YBB.DE|Carnavale Resources Ltd |Basic Materials|Copper
MAB.AX|Champion Iron Ltd |Basic Materials|Copper
CHZ.AX|Chesser Resources Ltd |Basic Materials|Copper
CYU.AX|Chinalco Yunnan |Basic Materials|Copper
CUU.V|Copper Fox Metals Inc |Basic Materials|Copper
HPU.DE|Copper Fox Metals Inc |Basic Materials|Copper
COQ.DE|Copper Mountain Mining Corp |Basic Materials|Copper
CUM.TO|Copper Mountain Mining Corp |Basic Materials|Copper
COL.V|Copper North Mining Corp |Basic Materials|Copper
CUO.V|Copper One Inc |Basic Materials|Copper
CSE.AX|Copper Strike Ltd |Basic Materials|Copper
5C5.DE|Coppermoly Ltd |Basic Materials|Copper
COY.AX|Coppermoly Ltd |Basic Materials|Copper
XNU.AX|Corazon Mining Ltd |Basic Materials|Copper
CXO.AX|Core Exploration Ltd |Basic Materials|Copper
0985.HK|CST Mining Group Limited |Basic Materials|Copper
CVH3.DE|CST Mining Group Ltd |Basic Materials|Copper
CUBEXTUB.NS|Cubex Tubings Ltd |Basic Materials|Copper
CUBTU.BO|Cubex Tubings Ltd |Basic Materials|Copper
CDU.AX|CuDeco Ltd |Basic Materials|Copper
C1Z.DE|Cypress Development Corp |Basic Materials|Copper
CYP.V|Cypress Development Corp |Basic Materials|Copper
EMG.AX|Emergent Resources Ltd |Basic Materials|Copper
2009.TW|First Copper Technology Co Ltd |Basic Materials|Copper
FXR.AX|Fox Resources Ltd |Basic Materials|Copper
FCX.BA|Freeport-McMoRan Inc |Basic Materials|Copper
FCX.MX|Freeport-McMoRan Inc |Basic Materials|Copper
FCXO34.SA|Freeport-McMoRan Inc |Basic Materials|Copper
FPMB.DE|Freeport-McMoRan Inc |Basic Materials|Copper
FCX|Freeport-McMoRan Inc. |Basic Materials|Copper
GMD.AX|Genesis Minerals Ltd |Basic Materials|Copper
GSC.AX|Global Geoscience Ltd |Basic Materials|Copper
GNI.AX|Global Nickel Investments NL |Basic Materials|Copper
3GM.DE|Goldminex Resources Ltd |Basic Materials|Copper
GMX.AX|Goldminex Resources Ltd |Basic Materials|Copper
GRY.AX|Gryphon Minerals Ltd |Basic Materials|Copper
GMC.AX|Gulf Minerals Corp Ltd |Basic Materials|Copper
GU6.DE|Gulf Minerals Corp Ltd |Basic Materials|Copper
GLM.AX|Gulf Mines Limited |Basic Materials|Copper
GUN.AX|Gunson Resources Ltd |Basic Materials|Copper
HSK.AX|Heemskirk Consolidated Limited |Basic Materials|Copper
C3H1.DE|Highland Copper Co Inc |Basic Materials|Copper
HIG.AX|Highlands Pacific Ltd |Basic Materials|Copper
HLW.DE|Highlands Pacific Ltd |Basic Materials|Copper
HGO.AX|Hillgrove Resources Ltd |Basic Materials|Copper
HIN.DE|Hillgrove Resources Ltd |Basic Materials|Copper
HINDCOPER.BO|Hindustan Copper Ltd |Basic Materials|Copper
HINDCOPPE.NS|Hindustan Copper Ltd |Basic Materials|Copper
IZN.V|Iberian Minerals Corp |Basic Materials|Copper
IMD.AX|Imdex Ltd |Basic Materials|Copper
IRL.AX|India Resources Ltd |Basic Materials|Copper
KME.MI|Intek Group SPA |Basic Materials|Copper
KMER.MI|Intek Group SPA |Basic Materials|Copper
URM.AX|Intercept Minerals Ltd |Basic Materials|Copper
JAG.AX|Jaguar Minerals Limited |Basic Materials|Copper
JAL.AX|Jameson Resources Ltd |Basic Materials|Copper
JRV.AX|Jervois Mining Ltd |Basic Materials|Copper
KAS.AX|Kasbah Resources Ltd |Basic Materials|Copper
KAT.TO|Katanga Mining Ltd |Basic Materials|Copper
K14.SI|Kingboard Copper Foil Hol |Basic Materials|Copper
AEX.AX|Leopard Resources NL |Basic Materials|Copper
LRR.AX|Leopard Resources NL |Basic Materials|Copper
LIWA|Lihua International, Inc. |Basic Materials|Copper
LML.AX|Lincoln Minerals Ltd |Basic Materials|Copper
LTR.AX|Liontown Resources Ltd |Basic Materials|Copper
LSR.AX|Lodestar Minerals Ltd |Basic Materials|Copper
ANM.AX|Magontec Ltd |Basic Materials|Copper
MGY.AX|Malagasy Minerals Ltd |Basic Materials|Copper
MNM.AX|Mantle Mining Corp Ltd |Basic Materials|Copper
LVT.DE|Marathon Resources Ltd |Basic Materials|Copper
MTN.AX|Marathon Resources Ltd |Basic Materials|Copper
MCU.V|Mega Copper Ltd. |Basic Materials|Copper
4MFA.DE|Metals Finance Ltd |Basic Materials|Copper
MFC.AX|Metals Finance Ltd |Basic Materials|Copper
FG5.DE|Metals X Ltd |Basic Materials|Copper
MLX.AX|Metals X Ltd |Basic Materials|Copper
MOD.AX|MOD Resources Ltd |Basic Materials|Copper
NCO.AX|Namibian Copper Nl |Basic Materials|Copper
NCU.TO|Nevada Copper Corp |Basic Materials|Copper
ZYT.DE|Nevada Copper Corp |Basic Materials|Copper
RHM.AX|Nevada Iron Ltd |Basic Materials|Copper
NR4.DE|Nevsun Resources Ltd |Basic Materials|Copper
NSU.TO|Nevsun Resources Ltd |Basic Materials|Copper
NSU|Nevsun Resources Ltd. |Basic Materials|Copper
NRDS|Nord Resources Corp. |Basic Materials|Copper
NMI.AX|Northern Mining Ltd |Basic Materials|Copper
3O1.DE|Orocobre Ltd |Basic Materials|Copper
ORE.AX|Orocobre Ltd |Basic Materials|Copper
ORL.TO|Orocobre Ltd |Basic Materials|Copper
OXR.DE|Oz Minerals Ltd |Basic Materials|Copper
OZL.AX|Oz Minerals Ltd |Basic Materials|Copper
PFM.AX|Pacific Mining Ltd |Basic Materials|Copper
PSF.AX|Pacific Ore Ltd |Basic Materials|Copper
PB4.DE|PanAust Ltd |Basic Materials|Copper
PNA.AX|PanAust Ltd |Basic Materials|Copper
PAN.AX|Panoramic Resources Ltd |Basic Materials|Copper
YM1.DE|Panoramic Resources Ltd |Basic Materials|Copper
BAUH514.SA|Paranapanema SA |Basic Materials|Copper
PEK.AX|Peak Resources Ltd |Basic Materials|Copper
PUN.AX|Pegasus Metals Ltd |Basic Materials|Copper
PNX.AX|Phoenix Copper Ltd |Basic Materials|Copper
PIO.AX|Pioneer Resources Ltd |Basic Materials|Copper
TRH.AX|Potash Minerals Ltd |Basic Materials|Copper
PRECWIRE.BO|Precision Wires India Ltd |Basic Materials|Copper
PRECWIRE.NS|Precision Wires India Ltd |Basic Materials|Copper
QMN.AX|Queensland Mining Corp Ltd |Basic Materials|Copper
C5W.DE|Ram Resources Ltd |Basic Materials|Copper
RMR.AX|Ram Resources Ltd |Basic Materials|Copper
RDS.AX|Redstone Resources Ltd |Basic Materials|Copper
RLC.AX|Reedy Lagoon Corp Ltd |Basic Materials|Copper
RMI.AX|Resource Mining Corp Ltd |Basic Materials|Copper
RXM.AX|Rex Minerals Ltd |Basic Materials|Copper
RMG.AX|RMG Ltd |Basic Materials|Copper
RBR.AX|Rubicon Resources Ltd |Basic Materials|Copper
S2Z.DE|Sandfire Resources NL |Basic Materials|Copper
SFR.AX|Sandfire Resources NL |Basic Materials|Copper
SRR.AX|Shaw River Manganese Ltd |Basic Materials|Copper
NSV.V|Shoshoni Gold Ltd |Basic Materials|Copper
3SV.DE|Sinovus Mining Ltd |Basic Materials|Copper
SNV.AX|Sinovus Mining Ltd |Basic Materials|Copper
PCU.DE|Southern Copper Corp |Basic Materials|Copper
SCCO.MX|Southern Copper Corp |Basic Materials|Copper
SCCO|Southern Copper Corp. |Basic Materials|Copper
SRZ.AX|Stellar Resources Ltd |Basic Materials|Copper
SHE.AX|Stonehenge Metals Ltd |Basic Materials|Copper
SHE.DE|Stonehenge Metals Ltd |Basic Materials|Copper
RX5.DE|Summit Resources Ltd |Basic Materials|Copper
SMM.AX|Summit Resources Ltd |Basic Materials|Copper
SPQ.AX|Superior Resources Ltd |Basic Materials|Copper
3OV.DE|Syndicated Metals Ltd |Basic Materials|Copper
SMD.AX|Syndicated Metals Ltd |Basic Materials|Copper
SYR.AX|Syrah Resources Ltd |Basic Materials|Copper
TAS.AX|Tasman Resources Limited |Basic Materials|Copper
T2A.DE|Terramin Australia Ltd |Basic Materials|Copper
TZN.AX|Terramin Australia Ltd |Basic Materials|Copper
RH8.DE|Tiger Resources Ltd |Basic Materials|Copper
TGS.AX|Tiger Resources Ltd |Basic Materials|Copper
TRM.AX|Truscott Mining Corp Ltd |Basic Materials|Copper
TVI.TO|TVI Pacific Inc |Basic Materials|Copper
TVP.DE|TVI Pacific Inc |Basic Materials|Copper
VMS.AX|Venture Minerals Ltd |Basic Materials|Copper
WCP.AX|WCP Resources Ltd |Basic Materials|Copper
WTI.L|Weatherly International PLC |Basic Materials|Copper
WRN.TO|Western Copper Corporation |Basic Materials|Copper
WPG.AX|WPG Resources Ltd |Basic Materials|Copper
MLZAM.PA|ZCCM Investments Holdings PLC |Basic Materials|Copper
ZCC.L|ZCCM Investments Holdings PLC |Basic Materials|Copper
ZCB.DE|Zenith Minerals Ltd |Basic Materials|Copper
ZNC.AX|Zenith Minerals Ltd |Basic Materials|Copper
DDD.AX|3D Resources Ltd |Basic Materials|Copper
