More Info|Industry: Independent Oil & Gas |Basic Materials|Independent Oil & Gas
ABU.V|Abenteuer Resources Corp |Basic Materials|Independent Oil & Gas
ABL.V|Abington Resources Ltd |Basic Materials|Independent Oil & Gas
AXO.DE|Abraxas Petroleum Corp |Basic Materials|Independent Oil & Gas
AXAS|Abraxas Petroleum Corp. |Basic Materials|Independent Oil & Gas
NXI.DE|Activa resources AG |Basic Materials|Independent Oil & Gas
0AM.DE|Adira Energy Ltd |Basic Materials|Independent Oil & Gas
9SA.DE|Advantage Oil & Gas Ltd |Basic Materials|Independent Oil & Gas
AAV.TO|Advantage Oil & Gas Ltd |Basic Materials|Independent Oil & Gas
ADX.AX|ADX Energy Ltd |Basic Materials|Independent Oil & Gas
GHU.DE|ADX Energy Ltd |Basic Materials|Independent Oil & Gas
A2J.DE|Afren PLC |Basic Materials|Independent Oil & Gas
AFR.L|Afren PLC |Basic Materials|Independent Oil & Gas
AOI.ST|Africa Oil Corp |Basic Materials|Independent Oil & Gas
AOI.TO|Africa Oil Corp |Basic Materials|Independent Oil & Gas
31A.DE|Alberta Oilsands Inc |Basic Materials|Independent Oil & Gas
AOS.V|Alberta Oilsands Inc |Basic Materials|Independent Oil & Gas
ALK.L|Alkane Energy PLC |Basic Materials|Independent Oil & Gas
ALOD|Allied Resources Inc. |Basic Materials|Independent Oil & Gas
ATI.V|Altai Resources Inc |Basic Materials|Independent Oil & Gas
ALTX|Altex Industries Inc. |Basic Materials|Independent Oil & Gas
AKC.DE|Altima Resources Ltd |Basic Materials|Independent Oil & Gas
ARH.V|Altima Resources Ltd |Basic Materials|Independent Oil & Gas
ALV.V|Alvopetro Energy Ltd |Basic Materials|Independent Oil & Gas
AMR.V|Amarok Energy Inc |Basic Materials|Independent Oil & Gas
AMZG|American Eagle Energy Corporat |Basic Materials|Independent Oil & Gas
AEDC|American Energy Development Co |Basic Materials|Independent Oil & Gas
AOW.AX|American Patriot Oil & Gas Ltd |Basic Materials|Independent Oil & Gas
AAPH|American Petro-hunter Inc. |Basic Materials|Independent Oil & Gas
ASEN|American Standard Energy Corp. |Basic Materials|Independent Oil & Gas
97A.DE|Americas Petrogas Inc |Basic Materials|Independent Oil & Gas
BOE.V|Americas Petrogas Inc |Basic Materials|Independent Oil & Gas
AMER.L|Amerisur Resources PLC |Basic Materials|Independent Oil & Gas
GGM.DE|Amerisur Resources PLC |Basic Materials|Independent Oil & Gas
AEX.L|Aminex PLC |Basic Materials|Independent Oil & Gas
AAZ.DE|Anadarko Petroleum Corp |Basic Materials|Independent Oil & Gas
