More Info|Industry: Major Integrated Oil & Gas |Basic Materials|Major Integrated Oil & Gas
4AE.DE|Aegean Marine Petroleum |Basic Materials|Major Integrated Oil & Gas
ANW|Aegean Marine Petroleum Networ |Basic Materials|Major Integrated Oil & Gas
BP|BP plc |Basic Materials|Major Integrated Oil & Gas
BP.L|BP PLC |Basic Materials|Major Integrated Oil & Gas
BPE.DE|BP PLC |Basic Materials|Major Integrated Oil & Gas
BPE5.DE|BP PLC |Basic Materials|Major Integrated Oil & Gas
BPN.MX|BP PLC |Basic Materials|Major Integrated Oil & Gas
BSU.DE|BP PLC |Basic Materials|Major Integrated Oil & Gas
CAIRN.BO|Cairn India Ltd |Basic Materials|Major Integrated Oil & Gas
CAIRN.NS|Cairn India Ltd |Basic Materials|Major Integrated Oil & Gas
CTI.V|Caiterra International |Basic Materials|Major Integrated Oil & Gas
COS.TO|Canadian Oil Sands Ltd |Basic Materials|Major Integrated Oil & Gas
EFFN.ST|Cassandra Oil AB |Basic Materials|Major Integrated Oil & Gas
CVE.TO|Cenovus Energy Inc |Basic Materials|Major Integrated Oil & Gas
CXD.DE|Cenovus Energy Inc |Basic Materials|Major Integrated Oil & Gas
CHV.DE|Chevron Corp |Basic Materials|Major Integrated Oil & Gas
CHVX34.SA|Chevron Corp |Basic Materials|Major Integrated Oil & Gas
CVX.BA|Chevron Corp |Basic Materials|Major Integrated Oil & Gas
CVX.MX|Chevron Corp |Basic Materials|Major Integrated Oil & Gas
CVX|Chevron Corporation |Basic Materials|Major Integrated Oil & Gas
CHU.DE|China Petroleum |Basic Materials|Major Integrated Oil & Gas
CHUA.DE|China Petroleum |Basic Materials|Major Integrated Oil & Gas
SNP.BA|China Petroleum |Basic Materials|Major Integrated Oil & Gas
SNP.L|China Petroleum |Basic Materials|Major Integrated Oil & Gas
0386.HK|China Petroleum & Chemica |Basic Materials|Major Integrated Oil & Gas
SNP|China Petroleum & Chemical Cor |Basic Materials|Major Integrated Oil & Gas
C8O.DE|Connacher Oil and Gas Ltd |Basic Materials|Major Integrated Oil & Gas
