More Info|Industry: Oil & Gas Equipment & Services |Basic Materials|Oil & Gas Equipment & Services
ADNY|Adino Energy Corporation |Basic Materials|Oil & Gas Equipment & Services
5IA.SI|Advanced Holdings Ltd |Basic Materials|Oil & Gas Equipment & Services
AKSO.OL|Akastor ASA |Basic Materials|Oil & Gas Equipment & Services
AKSOO.ST|Akastor ASA |Basic Materials|Oil & Gas Equipment & Services
KY7.DE|Akastor ASA |Basic Materials|Oil & Gas Equipment & Services
ALPHAGEO.BO|Alphageo India Ltd |Basic Materials|Oil & Gas Equipment & Services
ALPHAGEO.NS|Alphageo India Ltd |Basic Materials|Oil & Gas Equipment & Services
AMEC.L|Amec Foster Wheeler PLC |Basic Materials|Oil & Gas Equipment & Services
AQ4.DE|Amec Foster Wheeler PLC |Basic Materials|Oil & Gas Equipment & Services
AMRR|American Metals Recovery and R |Basic Materials|Oil & Gas Equipment & Services
AF0.DE|Andatee China Marine |Basic Materials|Oil & Gas Equipment & Services
AMCF|Andatee China Marine Fuel Serv |Basic Materials|Oil & Gas Equipment & Services
TJO.DE|Anhui Tianda Oil Pipe Co Ltd |Basic Materials|Oil & Gas Equipment & Services
0839.HK|Anhui Tianda Oil Pipe Co. |Basic Materials|Oil & Gas Equipment & Services
3337.HK|Anton Oilfield Services Group |Basic Materials|Oil & Gas Equipment & Services
5AO.DE|Anton Oilfield Services Group |Basic Materials|Oil & Gas Equipment & Services
AOL.L|Atlas Dev & Support Servs |Basic Materials|Oil & Gas Equipment & Services
BHI.MX|Baker Hughes Inc |Basic Materials|Oil & Gas Equipment & Services
BHU.DE|Baker Hughes Inc |Basic Materials|Oil & Gas Equipment & Services
BHI|Baker Hughes Incorporated |Basic Materials|Oil & Gas Equipment & Services
568.SI|Baker Technology Ltd |Basic Materials|Oil & Gas Equipment & Services
B8J1.DE|Basic Energy Services Inc |Basic Materials|Oil & Gas Equipment & Services
BAS|Basic Energy Services, Inc. |Basic Materials|Oil & Gas Equipment & Services
5MC.SI|Beng Kuang Marine Ltd |Basic Materials|Oil & Gas Equipment & Services
B8D.DE|Boart Longyear Ltd |Basic Materials|Oil & Gas Equipment & Services
BLY.AX|Boart Longyear Ltd |Basic Materials|Oil & Gas Equipment & Services
GBB.PA|Bourbon SA |Basic Materials|Oil & Gas Equipment & Services
GSH.DE|Bourbon SA |Basic Materials|Oil & Gas Equipment & Services
F9D.SI|Boustead Singapore Ltd |Basic Materials|Oil & Gas Equipment & Services
BRY.TO|Bri-Chem Corp |Basic Materials|Oil & Gas Equipment & Services
BRY.TO|Bri-Chem Corporation |Basic Materials|Oil & Gas Equipment & Services
OF1.DE|Bristow Group Inc |Basic Materials|Oil & Gas Equipment & Services
BRS|Bristow Group, Inc. |Basic Materials|Oil & Gas Equipment & Services
BWO.OL|BW Offshore Ltd |Basic Materials|Oil & Gas Equipment & Services
CJES|C&J Energy Services, Ltd. |Basic Materials|Oil & Gas Equipment & Services
5CF.DE|Calfrac Well Services Ltd |Basic Materials|Oil & Gas Equipment & Services
