More Info|Industry: Oil & Gas Refining & Marketing |Basic Materials|Oil & Gas Refining & Marketing
AE|Adams Resources & Energy Inc. |Basic Materials|Oil & Gas Refining & Marketing
A2U.DE|Alon USA Energy Inc |Basic Materials|Oil & Gas Refining & Marketing
ALJ|Alon USA Energy, Inc. |Basic Materials|Oil & Gas Refining & Marketing
ALDW|Alon USA Partners, LP |Basic Materials|Oil & Gas Refining & Marketing
5AU.SI|AP Oil International Ltd |Basic Materials|Oil & Gas Refining & Marketing
ARW.AX|Australian Renewable Fuels Ltd |Basic Materials|Oil & Gas Refining & Marketing
D7I.DE|BDI - Bioenergy |Basic Materials|Oil & Gas Refining & Marketing
BPCL.BO|Bharat Petroleum Corp Ltd |Basic Materials|Oil & Gas Refining & Marketing
BPCL.NS|Bharat Petroleum Corp Ltd |Basic Materials|Oil & Gas Refining & Marketing
BX.TO|BIOX Corp |Basic Materials|Oil & Gas Refining & Marketing
BMI.DE|BP Prudhoe Bay Royalty Trust |Basic Materials|Oil & Gas Refining & Marketing
BPT|BP Prudhoe Bay Royalty Trust |Basic Materials|Oil & Gas Refining & Marketing
FIQT.DE|Brightoil Petroleum |Basic Materials|Oil & Gas Refining & Marketing
CALSREF.BO|Cals Refineries Ltd |Basic Materials|Oil & Gas Refining & Marketing
CLZ.DE|Caltex Australia Ltd |Basic Materials|Oil & Gas Refining & Marketing
CTX.AX|Caltex Australia Ltd |Basic Materials|Oil & Gas Refining & Marketing
C1A.DE|Calumet Specialty |Basic Materials|Oil & Gas Refining & Marketing
CLMT|Calumet Specialty Products Par |Basic Materials|Oil & Gas Refining & Marketing
CHENNPETR.NS|Chennai Petroleum Corp Ltd |Basic Materials|Oil & Gas Refining & Marketing
CHENNPETRO.BO|Chennai Petroleum Corp Ltd |Basic Materials|Oil & Gas Refining & Marketing
G92.SI|China Aviation Oil |Basic Materials|Oil & Gas Refining & Marketing
VZ8.DE|China Aviation Oil |Basic Materials|Oil & Gas Refining & Marketing
0384.HK|China Gas Holdings Ltd. |Basic Materials|Oil & Gas Refining & Marketing
GPI1.DE|China Oil And Gas Group Ltd |Basic Materials|Oil & Gas Refining & Marketing
