More Info|Industry: Specialty Chemicals |Basic Materials|Specialty Chemicals
HKFINCHQ.BO|Adi Finechem Ltd |Basic Materials|Specialty Chemicals
ADMT|ADM Tronics Unlimited Inc. |Basic Materials|Specialty Chemicals
DW5.DE|AE Biofuels, Inc. |Basic Materials|Specialty Chemicals
AMTX|Aemetis, Inc. |Basic Materials|Specialty Chemicals
AGARIND.BO|Agarwal Industrial Corp Ltd |Basic Materials|Specialty Chemicals
0AW.DE|Air Water Inc. |Basic Materials|Specialty Chemicals
AKZOINDIA.NS|Akzo Nobel India Ltd |Basic Materials|Specialty Chemicals
ICI.BO|Akzo Nobel India Ltd |Basic Materials|Specialty Chemicals
AKU.DE|Akzo Nobel NV |Basic Materials|Specialty Chemicals
AMC.DE|Albemarle Corp |Basic Materials|Specialty Chemicals
ALB|Albemarle Corporation |Basic Materials|Specialty Chemicals
ALB.TO|Albemarle Corporation |Basic Materials|Specialty Chemicals
AJX.AX|Alexium International Gro |Basic Materials|Specialty Chemicals
E7T.DE|Alexium International Gro |Basic Materials|Specialty Chemicals
ALFAA.MX|Alfa, S.A.B. de C.V. |Basic Materials|Specialty Chemicals
G4L.DE|Alfa, S.A.B. de C.V. |Basic Materials|Specialty Chemicals
ALKALI.BO|Alkali Metals Ltd |Basic Materials|Specialty Chemicals
ALKALI.NS|Alkali Metals Ltd |Basic Materials|Specialty Chemicals
ALKYLAM.BO|Alkyl Amines Chemicals Ltd |Basic Materials|Specialty Chemicals
ALKYLAMIN.NS|Alkyl Amines Chemicals Ltd |Basic Materials|Specialty Chemicals
AFSE|All Energy Corp. |Basic Materials|Specialty Chemicals
ALTI|Altair Nanotechnologies, Inc. |Basic Materials|Specialty Chemicals
AMAL.BO|Amal Ltd |Basic Materials|Specialty Chemicals
AMRS|Amyris, Inc. |Basic Materials|Specialty Chemicals
AGM.L|Applied Graphene Materials PLC |Basic Materials|Specialty Chemicals
ACRB|Asia Carbon Industries, Inc. |Basic Materials|Specialty Chemicals
ASIANPAIN.NS|Asian Paints Ltd. |Basic Materials|Specialty Chemicals
ASIANPAINT.BO|Asian Paints Ltd. |Basic Materials|Specialty Chemicals
AAT.V|ATI Airtest Technologies Inc. |Basic Materials|Specialty Chemicals
AVRW|Aventine Renewable Energy Hold |Basic Materials|Specialty Chemicals
AXTA|Axalta Coating Systems Ltd. |Basic Materials|Specialty Chemicals
AXELPOLY.BO|Axel Polymers Ltd |Basic Materials|Specialty Chemicals
BAGADIA.BO|Bagadia Colourchem Ltd |Basic Materials|Specialty Chemicals
BALAMINES.NS|Balaji Amines Limited |Basic Materials|Specialty Chemicals
BALAJIAM.BO|Balaji Amines Ltd |Basic Materials|Specialty Chemicals
BERGEPAIN.NS|Berger Paints India Ltd |Basic Materials|Specialty Chemicals
BERGEPAINT.BO|Berger Paints India Ltd |Basic Materials|Specialty Chemicals
BHAGERIA.BO|Bhageria Dye Chem Ltd |Basic Materials|Specialty Chemicals
ON.MI|Bio-on SpA |Basic Materials|Specialty Chemicals
BFLS|Biofuels Power Corporation |Basic Materials|Specialty Chemicals
BONU|BioNeutral Group, Inc. |Basic Materials|Specialty Chemicals
BLACKROSE.BO|Black Rose Industries Ltd |Basic Materials|Specialty Chemicals
BLGA|BlastGard International Inc. |Basic Materials|Specialty Chemicals
0963.HK|Bloomage BioTechnology |Basic Materials|Specialty Chemicals
BFRE|BlueFire Renewables, Inc. |Basic Materials|Specialty Chemicals
BODALCHEM.BO|Bodal Chemicals Ltd |Basic Materials|Specialty Chemicals
BORAX.BO|Borax Morarji Ltd |Basic Materials|Specialty Chemicals
BNR.DE|Brenntag AG |Basic Materials|Specialty Chemicals
CJGEL.BO|C J Gelatine Products Ltd |Basic Materials|Specialty Chemicals
CBT.DE|Cabot Corp |Basic Materials|Specialty Chemicals
CBT|Cabot Corporation |Basic Materials|Specialty Chemicals
CLKTF|CalciTech Ltd. |Basic Materials|Specialty Chemicals
CLKTF|CalciTech Ltd. |Basic Materials|Specialty Chemicals
CNO.V|California Nanotech |Basic Materials|Specialty Chemicals
CAMEXLTD.BO|Camex Ltd |Basic Materials|Specialty Chemicals
CAMLNFINE.BO|Camlin Fine Sciences Ltd |Basic Materials|Specialty Chemicals
CUS.TO|Canexus Corp |Basic Materials|Specialty Chemicals
CASTROL.BO|Castrol India Ltd. |Basic Materials|Specialty Chemicals
CASTROL.NS|Castrol India Ltd. |Basic Materials|Specialty Chemicals
1713.TW|Cathay Chemical Works Inc |Basic Materials|Specialty Chemicals
D2V.SI|Changtian Plastic & Chemi |Basic Materials|Specialty Chemicals
0951.HK|Chaowei Power Holdings Ltd. |Basic Materials|Specialty Chemicals
CHEMBOND.BO|Chembond Chemicals Ltd |Basic Materials|Specialty Chemicals
CHEMALK.BO|Chemfab Alkalies Ltd |Basic Materials|Specialty Chemicals
CHEMFALKA.NS|Chemfab Alkalies Ltd |Basic Materials|Specialty Chemicals
CHE-UN.TO|Chemtrade Logistics |Basic Materials|Specialty Chemicals
CHMT|Chemtura Corporation |Basic Materials|Specialty Chemicals
1314.TW|China Petrochemical Dev |Basic Materials|Specialty Chemicals
2198.HK|China Sanjiang Fine |Basic Materials|Specialty Chemicals
51C.DE|Chr Hansen Holding AS |Basic Materials|Specialty Chemicals
