More Info|Industry: Auto Parts |Consumer Goods|Auto Parts
ACW|Accuride Corp. |Consumer Goods|Auto Parts
A01.SI|Acma Ltd |Consumer Goods|Auto Parts
AAX.DE|Acma Ltd |Consumer Goods|Auto Parts
ABV.AX|Advanced Braking Technolo |Consumer Goods|Auto Parts
AKN.DE|Aisin Seiki Co., Ltd. |Consumer Goods|Auto Parts
ALSN|Allison Transmission Holdings, |Consumer Goods|Auto Parts
AE2.DE|Alpine Electronics Inc |Consumer Goods|Auto Parts
AMA.AX|AMA Group Ltd |Consumer Goods|Auto Parts
AXL|American Axle & Manufacturing |Consumer Goods|Auto Parts
AYA.DE|American Axle & Mfg Hldgs |Consumer Goods|Auto Parts
AMFORG.BO|Amforge Industries Ltd |Consumer Goods|Auto Parts
AMTEKAUTO.BO|Amtek Auto Ltd |Consumer Goods|Auto Parts
AMTEKAUTO.NS|Amtek Auto Ltd |Consumer Goods|Auto Parts
AMTEKIN.BO|Amtek India Ltd |Consumer Goods|Auto Parts
AMTEKINDI.NS|Amtek India Ltd |Consumer Goods|Auto Parts
ANGAUTO.BO|ANG Industries Ltd |Consumer Goods|Auto Parts
ANGIND.NS|ANG Industries Ltd |Consumer Goods|Auto Parts
ARTET.PA|Artea SA |Consumer Goods|Auto Parts
MEDE.PA|Artea SA |Consumer Goods|Auto Parts
ASAHI.BO|Asahi India Glass Ltd |Consumer Goods|Auto Parts
ASAHIINDI.NS|Asahi India Glass Ltd |Consumer Goods|Auto Parts
ASJ.DE|Astra International Tbk |Consumer Goods|Auto Parts
AUTOIND.BO|Autoline Industries Ltd |Consumer Goods|Auto Parts
AUTOIND.NS|Autoline Industries Ltd |Consumer Goods|Auto Parts
AUTOLITE.BO|Autolite (India) Ltd |Consumer Goods|Auto Parts
AUTOLITIND.NS|Autolite (India) Ltd |Consumer Goods|Auto Parts
ALIV-SDB.ST|Autoliv Inc |Consumer Goods|Auto Parts
LIV.DE|Autoliv Inc |Consumer Goods|Auto Parts
LIVS.DE|Autoliv Inc |Consumer Goods|Auto Parts
ALV|Autoliv, Inc. |Consumer Goods|Auto Parts
ACGL.BO|Automobile Corp of GOA Ltd |Consumer Goods|Auto Parts
AM.TO|Automodular Corp |Consumer Goods|Auto Parts
AUTOAXLES.BO|Automotive Axles Ltd |Consumer Goods|Auto Parts
AUTOAXLES.NS|Automotive Axles Ltd |Consumer Goods|Auto Parts
ASAL.BO|Automotive Stampings |Consumer Goods|Auto Parts
ASAL.NS|Automotive Stampings |Consumer Goods|Auto Parts
ATAR|Avatar Ventures Corp. |Consumer Goods|Auto Parts
BANCO.BO|Banco Products India Ltd |Consumer Goods|Auto Parts
BANCOINDI.NS|Banco Products India Ltd |Consumer Goods|Auto Parts
BKS3.DE|BBS Kraftfahrzeugtechnik AG |Consumer Goods|Auto Parts
BDT.DE|Bertrandt AG |Consumer Goods|Auto Parts
BHARATFOR.NS|Bharat Forge Ltd |Consumer Goods|Auto Parts
BHARATFORG.BO|Bharat Forge Ltd |Consumer Goods|Auto Parts
BHARATGE.BO|Bharat Gears Ltd |Consumer Goods|Auto Parts
BHARATGEA.NS|Bharat Gears Ltd |Consumer Goods|Auto Parts
BHARATSE.BO|Bharat Seats Ltd |Consumer Goods|Auto Parts
