More Info|Industry: Food - Major Diversified |Consumer Goods|Food - Major Diversified
AAK.ST|AAK AB |Consumer Goods|Food - Major Diversified
ADFFOODQ.BO|ADF Foods Ltd |Consumer Goods|Food - Major Diversified
ADFFOODS.NS|ADF Foods Ltd |Consumer Goods|Food - Major Diversified
OEL.DE|ADM Hamburg AG |Consumer Goods|Food - Major Diversified
AGROTECHFO.BO|Agro Tech Foods Ltd |Consumer Goods|Food - Major Diversified
ATFL.NS|Agro Tech Foods Ltd |Consumer Goods|Food - Major Diversified
1217.TW|Agv Products Corp |Consumer Goods|Food - Major Diversified
AJANTSOY.BO|Ajanta Soya Ltd |Consumer Goods|Food - Major Diversified
AJI.DE|Ajinomoto Co Inc |Consumer Goods|Food - Major Diversified
A50.DE|American Lorain Corp |Consumer Goods|Food - Major Diversified
ANFI|Amira Nature Foods Ltd. |Consumer Goods|Food - Major Diversified
AMRITCORP.BO|Amrit Corp Ltd |Consumer Goods|Food - Major Diversified
ANP.L|Anpario PLC |Consumer Goods|Food - Major Diversified
AHFP|Artisanal Brands, Inc. |Consumer Goods|Food - Major Diversified
YZA.DE|Aryzta AG |Consumer Goods|Food - Major Diversified
0841.HK|Asia Cassava Reso HLD |Consumer Goods|Food - Major Diversified
0ACS.DE|Asia Cassava Resources |Consumer Goods|Food - Major Diversified
ABF.L|Associated British Foods PLC |Consumer Goods|Food - Major Diversified
AFO1.DE|Associated British Foods PLC |Consumer Goods|Food - Major Diversified
AFO2.DE|Associated British Foods PLC |Consumer Goods|Food - Major Diversified
1717.HK|Ausnutria Dairy |Consumer Goods|Food - Major Diversified
6AH.DE|Ausnutria Dairy Corp Ltd |Consumer Goods|Food - Major Diversified
AUSS.OL|Austevoll Seafood ASA |Consumer Goods|Food - Major Diversified
Z85.DE|Austevoll Seafood ASA |Consumer Goods|Food - Major Diversified
AVANTI.NS|Avanti Feeds Ltd |Consumer Goods|Food - Major Diversified
AVANTIFE.BO|Avanti Feeds Ltd |Consumer Goods|Food - Major Diversified
AVTNPL.BO|AVT Natural Products Ltd. |Consumer Goods|Food - Major Diversified
AVTNPL.NS|AVT Natural Products Ltd. |Consumer Goods|Food - Major Diversified
BAMBINO.BO|Bambino Agro Industries Ltd |Consumer Goods|Food - Major Diversified
BGA.AX|Bega Cheese Ltd |Consumer Goods|Food - Major Diversified
BAL.AX|Bellamy's Australia Ltd |Consumer Goods|Food - Major Diversified
BTHR|Big Three Restaurants, Inc. |Consumer Goods|Food - Major Diversified
BDU.DE|Bonduelle |Consumer Goods|Food - Major Diversified
BON.PA|Bonduelle |Consumer Goods|Food - Major Diversified
BGJ.DE|Bongrain |Consumer Goods|Food - Major Diversified
BH.PA|Bongrain |Consumer Goods|Food - Major Diversified
BAZA35.SA|BRF SA |Consumer Goods|Food - Major Diversified
BRFSN.MX|BRF SA |Consumer Goods|Food - Major Diversified
P5Y.DE|BRF SA |Consumer Goods|Food - Major Diversified
BRITANNIA.BO|Britannia Industries Ltd |Consumer Goods|Food - Major Diversified
BRITANNIA.NS|Britannia Industries Ltd |Consumer Goods|Food - Major Diversified
BUG.AX|Buderim Ginger Ltd |Consumer Goods|Food - Major Diversified
CM2.DE|Cal-Maine Foods Inc |Consumer Goods|Food - Major Diversified
CALM|Cal-Maine Foods, Inc. |Consumer Goods|Food - Major Diversified
