More Info|Industry: Closed-End Fund - Equity |Financial|Closed-End Fund - Equity
NFJ|AllianzGI NFJ Dividend, Intere |Financial|Closed-End Fund - Equity
BGR|BlackRock Energy and Resources |Financial|Closed-End Fund - Equity
CII|BlackRock Enhanced Capital and |Financial|Closed-End Fund - Equity
BDJ|BlackRock Enhanced Equity Divi |Financial|Closed-End Fund - Equity
BME|BlackRock Health Sciences Trus |Financial|Closed-End Fund - Equity
BIF|Boulder Growth & Income Fund I |Financial|Closed-End Fund - Equity
CHW|Calamos Global Dynamic Income |Financial|Closed-End Fund - Equity
CGO|Calamos Global Total Return Fu |Financial|Closed-End Fund - Equity
CPTA|Capitala Finance Corp. |Financial|Closed-End Fund - Equity
UTF|Cohen & Steers Infrastructure |Financial|Closed-End Fund - Equity
RQI|Cohen & Steers Quality Income |Financial|Closed-End Fund - Equity
RFI|Cohen & Steers Total Return Re |Financial|Closed-End Fund - Equity
FXE|CurrencyShares Euro Trust |Financial|Closed-End Fund - Equity
FXY|CurrencyShares Japanese Yen Tr |Financial|Closed-End Fund - Equity
CYB.TO|Cybex International Inc. |Financial|Closed-End Fund - Equity
DDF|Delaware Investments Dividend |Financial|Closed-End Fund - Equity
DNI|Dividend and Income Fund |Financial|Closed-End Fund - Equity
DNP|DNP Select Income Fund Inc. |Financial|Closed-End Fund - Equity
EOI|Eaton Vance Enhanced Equity In |Financial|Closed-End Fund - Equity
EOS|Eaton Vance Enhanced Equity In |Financial|Closed-End Fund - Equity
EVT|Eaton Vance Tax-Advantaged Div |Financial|Closed-End Fund - Equity
ETG|Eaton Vance Tax-Advantaged Glo |Financial|Closed-End Fund - Equity
ETO|Eaton Vance Tax-Advantaged Glo |Financial|Closed-End Fund - Equity
ETB|Eaton Vance Tax-Managed Buy-Wr |Financial|Closed-End Fund - Equity
ETV|Eaton Vance Tax-Managed Buy-Wr |Financial|Closed-End Fund - Equity
ETY|Eaton Vance Tax-Managed Divers |Financial|Closed-End Fund - Equity
ONEQ|Fidelity Commonwealth Trust - |Financial|Closed-End Fund - Equity
FMO|Fiduciary/Claymore MLP Opportu |Financial|Closed-End Fund - Equity
FFA|First Trust Enhanced Equity In |Financial|Closed-End Fund - Equity
FBT|First Trust Exchange-Traded Fu |Financial|Closed-End Fund - Equity
FVL|First Trust Exchange-Traded Fu |Financial|Closed-End Fund - Equity
FEO|First Trust/Aberdeen Emerging |Financial|Closed-End Fund - Equity
FULL|Full Circle Capital Corporatio |Financial|Closed-End Fund - Equity
GCV|Gabelli Convertible & Income S |Financial|Closed-End Fund - Equity
GDV|Gabelli Dividend & Income Trus |Financial|Closed-End Fund - Equity
GAB|Gabelli Equity Trust, Inc. |Financial|Closed-End Fund - Equity
GGT|Gabelli Multimedia Trust Inc. |Financial|Closed-End Fund - Equity
GUT|Gabelli Utility Trust |Financial|Closed-End Fund - Equity
GAM|General American Investors Com |Financial|Closed-End Fund - Equity
GSVC|GSV Capital Corp. |Financial|Closed-End Fund - Equity
GPM|Guggenheim Enhanced Equity Inc |Financial|Closed-End Fund - Equity
GPM.V|Guggenheim Enhanced Equity Inc |Financial|Closed-End Fund - Equity
GGE|Guggenheim Enhanced Equity Str |Financial|Closed-End Fund - Equity
HQH|H&Q Healthcare Investors |Financial|Closed-End Fund - Equity
HQL|H&Q Life Sciences Investors |Financial|Closed-End Fund - Equity
IAU|iShares Gold Trust |Financial|Closed-End Fund - Equity
GSG|iShares S&P GSCI Commodity Ind |Financial|Closed-End Fund - Equity
SL.V|iShares Silver Trust |Financial|Closed-End Fund - Equity
SLV.V|iShares Silver Trust |Financial|Closed-End Fund - Equity
ICF|iShares Trust - iShares Cohen |Financial|Closed-End Fund - Equity
IJH|iShares Trust - iShares Core S |Financial|Closed-End Fund - Equity
IJR|iShares Trust - iShares Core S |Financial|Closed-End Fund - Equity
ITOT|iShares Trust - iShares Core S |Financial|Closed-End Fund - Equity
IVV|iShares Trust - iShares Core S |Financial|Closed-End Fund - Equity
IUSG|iShares Trust - iShares Core U |Financial|Closed-End Fund - Equity
IUSV|iShares Trust - iShares Core U |Financial|Closed-End Fund - Equity
IYY|iShares Trust - iShares Dow Jo |Financial|Closed-End Fund - Equity
IXC|iShares Trust - iShares Global |Financial|Closed-End Fund - Equity
IXG|iShares Trust - iShares Global |Financial|Closed-End Fund - Equity
IXJ|iShares Trust - iShares Global |Financial|Closed-End Fund - Equity
IXN|iShares Trust - iShares Global |Financial|Closed-End Fund - Equity
IXP|iShares Trust - iShares Global |Financial|Closed-End Fund - Equity
JKD|iShares Trust - iShares Mornin |Financial|Closed-End Fund - Equity
JKE|iShares Trust - iShares Mornin |Financial|Closed-End Fund - Equity
JKF|iShares Trust - iShares Mornin |Financial|Closed-End Fund - Equity
JKG|iShares Trust - iShares Mornin |Financial|Closed-End Fund - Equity
JKH|iShares Trust - iShares Mornin |Financial|Closed-End Fund - Equity
JKJ|iShares Trust - iShares Mornin |Financial|Closed-End Fund - Equity
JKK|iShares Trust - iShares Mornin |Financial|Closed-End Fund - Equity
JKL|iShares Trust - iShares Mornin |Financial|Closed-End Fund - Equity
IBB|iShares Trust - iShares Nasdaq |Financial|Closed-End Fund - Equity
IGE|iShares Trust - iShares North |Financial|Closed-End Fund - Equity
IGM|iShares Trust - iShares North |Financial|Closed-End Fund - Equity
IGN|iShares Trust - iShares North |Financial|Closed-End Fund - Equity
IGV|iShares Trust - iShares North |Financial|Closed-End Fund - Equity
SOXX|iShares Trust - iShares PHLX S |Financial|Closed-End Fund - Equity
IWB|iShares Trust - iShares Russel |Financial|Closed-End Fund - Equity
IWD|iShares Trust - iShares Russel |Financial|Closed-End Fund - Equity
IWF|iShares Trust - iShares Russel |Financial|Closed-End Fund - Equity
IWM|iShares Trust - iShares Russel |Financial|Closed-End Fund - Equity
IWN|iShares Trust - iShares Russel |Financial|Closed-End Fund - Equity
IWO|iShares Trust - iShares Russel |Financial|Closed-End Fund - Equity
IWP|iShares Trust - iShares Russel |Financial|Closed-End Fund - Equity
IWR|iShares Trust - iShares Russel |Financial|Closed-End Fund - Equity
IWS|iShares Trust - iShares Russel |Financial|Closed-End Fund - Equity
IWV|iShares Trust - iShares Russel |Financial|Closed-End Fund - Equity
OEF|iShares Trust - iShares S&P 10 |Financial|Closed-End Fund - Equity
IVE|iShares Trust - iShares S&P 50 |Financial|Closed-End Fund - Equity
IVW|iShares Trust - iShares S&P 50 |Financial|Closed-End Fund - Equity
IJJ|iShares Trust - iShares S&P Mi |Financial|Closed-End Fund - Equity
IJK|iShares Trust - iShares S&P Mi |Financial|Closed-End Fund - Equity
IJS|iShares Trust - iShares S&P Sm |Financial|Closed-End Fund - Equity
IJT|iShares Trust - iShares S&P Sm |Financial|Closed-End Fund - Equity
DVY|iShares Trust - iShares Select |Financial|Closed-End Fund - Equity
IYT|iShares Trust - iShares Transp |Financial|Closed-End Fund - Equity
IYM|iShares Trust - iShares U.S. B |Financial|Closed-End Fund - Equity
IYC|iShares Trust - iShares U.S. C |Financial|Closed-End Fund - Equity
IYK|iShares Trust - iShares U.S. C |Financial|Closed-End Fund - Equity
IYE|iShares Trust - iShares U.S. E |Financial|Closed-End Fund - Equity
IYF|iShares Trust - iShares U.S. F |Financial|Closed-End Fund - Equity
IYG|iShares Trust - iShares U.S. F |Financial|Closed-End Fund - Equity
IYH|iShares Trust - iShares U.S. H |Financial|Closed-End Fund - Equity
IYJ|iShares Trust - iShares U.S. I |Financial|Closed-End Fund - Equity
IYR|iShares Trust - iShares U.S. R |Financial|Closed-End Fund - Equity
IYW|iShares Trust - iShares U.S. T |Financial|Closed-End Fund - Equity
IYZ|iShares Trust - iShares U.S. T |Financial|Closed-End Fund - Equity
IDU|iShares Trust - iShares U.S. U |Financial|Closed-End Fund - Equity
BTO|John Hancock Financial Opportu |Financial|Closed-End Fund - Equity
KYE|Kayne Anderson Energy Total Re |Financial|Closed-End Fund - Equity
KYN|Kayne Anderson MLP Investment |Financial|Closed-End Fund - Equity
USA|Liberty All Star Equity Fund |Financial|Closed-End Fund - Equity
ASG|Liberty All Star Growth Fund I |Financial|Closed-End Fund - Equity
SCD|LMP Capital and Income Fund In |Financial|Closed-End Fund - Equity
RIT|LMP Real Estate Income Fund In |Financial|Closed-End Fund - Equity
MFD|Macquarie/First Trust Global I |Financial|Closed-End Fund - Equity
MCN|Madison Covered Call & Equity |Financial|Closed-End Fund - Equity
MSP|Madison Strategic Sector Premi |Financial|Closed-End Fund - Equity
MOO|Market Vectors ETF Trust - Mar |Financial|Closed-End Fund - Equity
MCC|Medley Capital Corporation |Financial|Closed-End Fund - Equity
MCC.V|Medley Capital Corporation |Financial|Closed-End Fund - Equity
JDD|Nuveen Diversified Dividend & |Financial|Closed-End Fund - Equity
NOM|Nuveen Missouri Premium Income |Financial|Closed-End Fund - Equity
JTA|Nuveen Tax Advantaged Total Re |Financial|Closed-End Fund - Equity
JTD|Nuveen Tax-Advantaged Dividend |Financial|Closed-End Fund - Equity
PEO|Petroleum & Resources Corporat |Financial|Closed-End Fund - Equity
DBC|PowerShares DB Commodity Index |Financial|Closed-End Fund - Equity
DBA|PowerShares DB Multi-Sector Co |Financial|Closed-End Fund - Equity
DBB|PowerShares DB Multi-Sector Co |Financial|Closed-End Fund - Equity
DBE|PowerShares DB Multi-Sector Co |Financial|Closed-End Fund - Equity
DBO|PowerShares DB Multi-Sector Co |Financial|Closed-End Fund - Equity
DBP|PowerShares DB Multi-Sector Co |Financial|Closed-End Fund - Equity
DBS|PowerShares DB Multi-Sector Co |Financial|Closed-End Fund - Equity
DGL|PowerShares DB Multi-Sector Co |Financial|Closed-End Fund - Equity
PWC|PowerShares Exchange Traded Fu |Financial|Closed-End Fund - Equity
PXE|PowerShares Exchange Traded Fu |Financial|Closed-End Fund - Equity
PXMG|PowerShares Exchange Traded Fu |Financial|Closed-End Fund - Equity
PBE|PowerShares Exchange-Traded Fu |Financial|Closed-End Fund - Equity
PBJ|PowerShares Exchange-Traded Fu |Financial|Closed-End Fund - Equity
PBS|PowerShares Exchange-Traded Fu |Financial|Closed-End Fund - Equity
PBW|PowerShares Exchange-Traded Fu |Financial|Closed-End Fund - Equity
PEJ|PowerShares Exchange-Traded Fu |Financial|Closed-End Fund - Equity
PEY|PowerShares Exchange-Traded Fu |Financial|Closed-End Fund - Equity
PFM|PowerShares Exchange-Traded Fu |Financial|Closed-End Fund - Equity
PJP|PowerShares Exchange-Traded Fu |Financial|Closed-End Fund - Equity
PKB|PowerShares Exchange-Traded Fu |Financial|Closed-End Fund - Equity
PMR|PowerShares Exchange-Traded Fu |Financial|Closed-End Fund - Equity
PPA|PowerShares Exchange-Traded Fu |Financial|Closed-End Fund - Equity
PSI|PowerShares Exchange-Traded Fu |Financial|Closed-End Fund - Equity
PSJ|PowerShares Exchange-Traded Fu |Financial|Closed-End Fund - Equity
PUI|PowerShares Exchange-Traded Fu |Financial|Closed-End Fund - Equity
PWB|PowerShares Exchange-Traded Fu |Financial|Closed-End Fund - Equity
PWV|PowerShares Exchange-Traded Fu |Financial|Closed-End Fund - Equity
PXJ|PowerShares Exchange-Traded Fu |Financial|Closed-End Fund - Equity
PXMV|PowerShares Exchange-Traded Fu |Financial|Closed-End Fund - Equity
PXQ|PowerShares Exchange-Traded Fu |Financial|Closed-End Fund - Equity
PXSG|PowerShares Exchange-Traded Fu |Financial|Closed-End Fund - Equity
PXSV|PowerShares Exchange-Traded Fu |Financial|Closed-End Fund - Equity
PZI|PowerShares Exchange-Traded Fu |Financial|Closed-End Fund - Equity
QQQ|PowerShares QQQ Trust, Series |Financial|Closed-End Fund - Equity
UTG|Reaves Utility Income Fund |Financial|Closed-End Fund - Equity
RIF|RMR Real Estate Income Fund |Financial|Closed-End Fund - Equity
FUND|Royce Focus Trust, Inc. |Financial|Closed-End Fund - Equity
RMT|Royce Micro-Cap Trust, Inc. |Financial|Closed-End Fund - Equity
RVT|Royce Value Trust Inc. |Financial|Closed-End Fund - Equity
RSP|Rydex ETF Trust - Guggenheim S |Financial|Closed-End Fund - Equity
SOR|Source Capital, Inc. |Financial|Closed-End Fund - Equity
DIA|SPDR Dow Jones Industrial Aver |Financial|Closed-End Fund - Equity
GLD|SPDR Gold Trust |Financial|Closed-End Fund - Equity
SPY|SPDR S&P 500 ETF Trust |Financial|Closed-End Fund - Equity
