More Info|Industry: Closed-End Fund - Foreign |Financial|Closed-End Fund - Foreign
GCH|Aberdeen Greater China Fund, I |Financial|Closed-End Fund - Foreign
JEQ|Aberdeen Japan Equity Fund, In |Financial|Closed-End Fund - Foreign
SGF|Aberdeen Singapore Fund, Inc. |Financial|Closed-End Fund - Foreign
AGD|Alpine Global Dynamic Dividend |Financial|Closed-End Fund - Foreign
AWP|Alpine Global Premier Properti |Financial|Closed-End Fund - Foreign
AOD|Alpine Total Dynamic Dividend |Financial|Closed-End Fund - Foreign
BOE|BlackRock Global Opportunities |Financial|Closed-End Fund - Foreign
BGY|Blackrock International Growth |Financial|Closed-End Fund - Foreign
ADRD|BLDRS Index Funds Trust - BLDR |Financial|Closed-End Fund - Foreign
ADRE|BLDRS Index Funds Trust - BLDR |Financial|Closed-End Fund - Foreign
ADRU|BLDRS Index Funds Trust - BLDR |Financial|Closed-End Fund - Foreign
IGR|CBRE Clarion Global Real Estat |Financial|Closed-End Fund - Foreign
E.TO|Eaton Vance Tax-Advantaged Glo |Financial|Closed-End Fund - Foreign
ETW|Eaton Vance Tax-Managed Global |Financial|Closed-End Fund - Foreign
IGA|ING Global Advantage and Premi |Financial|Closed-End Fund - Foreign
IGD|ING Global Equity Dividend and |Financial|Closed-End Fund - Foreign
FXI|iShares Trust - iShares China |Financial|Closed-End Fund - Foreign
IEV|iShares Trust - iShares Europe |Financial|Closed-End Fund - Foreign
IOO|iShares Trust - iShares Global |Financial|Closed-End Fund - Foreign
ITF|iShares Trust - iShares Japan |Financial|Closed-End Fund - Foreign
ILF|iShares Trust - iShares Latin |Financial|Closed-End Fund - Foreign
EFA|iShares Trust - iShares MSCI E |Financial|Closed-End Fund - Foreign
EWA|iShares, Inc. - iShares MSCI A |Financial|Closed-End Fund - Foreign
EWO|iShares, Inc. - iShares MSCI A |Financial|Closed-End Fund - Foreign
EWK|iShares, Inc. - iShares MSCI B |Financial|Closed-End Fund - Foreign
EWZ|iShares, Inc. - iShares MSCI B |Financial|Closed-End Fund - Foreign
EWC|iShares, Inc. - iShares MSCI C |Financial|Closed-End Fund - Foreign
EEM|iShares, Inc. - iShares MSCI E |Financial|Closed-End Fund - Foreign
EZU|iShares, Inc. - iShares MSCI E |Financial|Closed-End Fund - Foreign
EWQ|iShares, Inc. - iShares MSCI F |Financial|Closed-End Fund - Foreign
EWG|iShares, Inc. - iShares MSCI G |Financial|Closed-End Fund - Foreign
EWH|iShares, Inc. - iShares MSCI H |Financial|Closed-End Fund - Foreign
EWI|iShares, Inc. - iShares MSCI I |Financial|Closed-End Fund - Foreign
EWJ|iShares, Inc. - iShares MSCI J |Financial|Closed-End Fund - Foreign
EWM|iShares, Inc. - iShares MSCI M |Financial|Closed-End Fund - Foreign
EWW|iShares, Inc. - iShares MSCI M |Financial|Closed-End Fund - Foreign
EWN|iShares, Inc. - iShares MSCI N |Financial|Closed-End Fund - Foreign
EPP|iShares, Inc. - iShares MSCI P |Financial|Closed-End Fund - Foreign
EWD|iShares, Inc. - iShares MSCI S |Financial|Closed-End Fund - Foreign
EWL|iShares, Inc. - iShares MSCI S |Financial|Closed-End Fund - Foreign
EWP|iShares, Inc. - iShares MSCI S |Financial|Closed-End Fund - Foreign
EWS|iShares, Inc. - iShares MSCI S |Financial|Closed-End Fund - Foreign
EWY|iShares, Inc. - iShares MSCI S |Financial|Closed-End Fund - Foreign
EZA|iShares, Inc. - iShares MSCI S |Financial|Closed-End Fund - Foreign
EWT|iShares, Inc. - iShares MSCI T |Financial|Closed-End Fund - Foreign
EWU|iShares, Inc. - iShares MSCI U |Financial|Closed-End Fund - Foreign
JOF|Japan Smaller Capitalization F |Financial|Closed-End Fund - Foreign
JFC|JPMorgan China Region Fund, In |Financial|Closed-End Fund - Foreign
KEF|Korea Equity Fund Inc. |Financial|Closed-End Fund - Foreign
LDF|Latin American Discovery Fund |Financial|Closed-End Fund - Foreign
LGI|Lazard Global Total Return and |Financial|Closed-End Fund - Foreign
LOR|Lazard World Dividend & Income |Financial|Closed-End Fund - Foreign
MGU|Macquarie Global Infrastructur |Financial|Closed-End Fund - Foreign
MAY.TO|Malaysia Fund Inc. |Financial|Closed-End Fund - Foreign
APF|Morgan Stanley Asia-Pacific Fu |Financial|Closed-End Fund - Foreign
MSF|Morgan Stanley Emerging Market |Financial|Closed-End Fund - Foreign
IIF|Morgan Stanley India Investmen |Financial|Closed-End Fund - Foreign
GF|New Germany Fund Inc. |Financial|Closed-End Fund - Foreign
PGP|PIMCO Global StocksPLUS & Inco |Financial|Closed-End Fund - Foreign
PGJ|PowerShares Exchange Traded Fu |Financial|Closed-End Fund - Foreign
FEZ|SPDR Index Shares Funds - SPDR |Financial|Closed-End Fund - Foreign
DGT|SPDR Series Trust - SPDR Globa |Financial|Closed-End Fund - Foreign
TDF|Templeton Dragon Fund Inc. |Financial|Closed-End Fund - Foreign
EMF|Templeton Emerging Markets Fun |Financial|Closed-End Fund - Foreign
TRF|Templeton Russia and East Euro |Financial|Closed-End Fund - Foreign
APB|The Asia Pacific Fund, Inc. |Financial|Closed-End Fund - Foreign
CEE|The Central Europe, Russia and |Financial|Closed-End Fund - Foreign
CHN|The China Fund, Inc. |Financial|Closed-End Fund - Foreign
EEA|The European Equity Fund, Inc. |Financial|Closed-End Fund - Foreign
KF|The Korea Fund, Inc. |Financial|Closed-End Fund - Foreign
MXF|The Mexico Fund, Inc. |Financial|Closed-End Fund - Foreign
IRL|The New Ireland Fund, Inc. |Financial|Closed-End Fund - Foreign
