More Info|Industry: Diversified Investments |Financial|Diversified Investments
MABA|American Biogenetic Sciences, |Financial|Diversified Investments
AGOE|Amerigo Energy, Inc. |Financial|Diversified Investments
AMTC|Ameritrans Capital Corp. |Financial|Diversified Investments
APO|Apollo Global Management, LLC |Financial|Diversified Investments
ARCC|Ares Capital Corporation |Financial|Diversified Investments
AUTCF|AutoChina International Ltd. |Financial|Diversified Investments
BSOI|Bison Instruments Inc. |Financial|Diversified Investments
CBOE|CBOE Holdings, Inc. |Financial|Diversified Investments
ESXB|Community Bankers Trust Corpor |Financial|Diversified Investments
CRWE|Crown Equity Holdings Inc. |Financial|Diversified Investments
CYCA|Cytta Corp. |Financial|Diversified Investments
CYCA|Cytta Corp. |Financial|Diversified Investments
DSCY|Discovery Oil Ltd. |Financial|Diversified Investments
DOM|Dominion Resources Black Warri |Financial|Diversified Investments
DMLP|Dorchester Minerals LP |Financial|Diversified Investments
EDRG|Eight Dragons Co. |Financial|Diversified Investments
EQS|Equus Total Return, Inc. |Financial|Diversified Investments
FSIC|FS Investment Corporation |Financial|Diversified Investments
GMEI|Gambit Energy, Inc. |Financial|Diversified Investments
GGN|GAMCO Global Gold, Natural Res |Financial|Diversified Investments
GAIN|Gladstone Investment Corporati |Financial|Diversified Investments
GVHIB|Global Vision Holdings, Inc. |Financial|Diversified Investments
GNGT|Golden Gate Homes, Inc. |Financial|Diversified Investments
GREW|Greenworld Development, Inc. |Financial|Diversified Investments
TINY|Harris & Harris Group, Inc. |Financial|Diversified Investments
ICE|Intercontinental Exchange, Inc |Financial|Diversified Investments
ITDN|Interdyne Co. |Financial|Diversified Investments
IRNS|Ironstone Group Inc. |Financial|Diversified Investments
KABX|Kabe Exploration Inc. |Financial|Diversified Investments
KABX|Kabe Exploration Inc. |Financial|Diversified Investments
KCAP|KCAP Financial, Inc. |Financial|Diversified Investments
LDHL|LD Holdings, Inc. |Financial|Diversified Investments
KHZM|Madison Ave Media, Inc. |Financial|Diversified Investments
MAIN|Main Street Capital Corporatio |Financial|Diversified Investments
MARPS|Marine Petroleum Trust |Financial|Diversified Investments
MCAR|Mercari Communications Group L |Financial|Diversified Investments
MTR|Mesa Royalty Trust |Financial|Diversified Investments
MSB|Mesabi Trust |Financial|Diversified Investments
MCMV|MicroSmart Devices, Inc. |Financial|Diversified Investments
MCMV|MicroSmart Devices, Inc. |Financial|Diversified Investments
MVC|MVC Capital, Inc. |Financial|Diversified Investments
NTUR|Natural Blue Resources, Inc. |Financial|Diversified Investments
NRT|North European Oil Royalty Tru |Financial|Diversified Investments
NEA|Nuveen AMT-Free Municipal Inco |Financial|Diversified Investments
NAD|Nuveen Dividend Advantage Muni |Financial|Diversified Investments
NRK|Nuveen New York AMT-Free Munic |Financial|Diversified Investments
NXK|Nuveen New York Dividend Advan |Financial|Diversified Investments
NNC|Nuveen North Carolina Premium |Financial|Diversified Investments
NPV|Nuveen Virginia Premium Income |Financial|Diversified Investments
ROGI|Radiant Oil & Gas, Inc. |Financial|Diversified Investments
REON|Resolute Oncology Inc. |Financial|Diversified Investments
RHSC|Robertson Global Health Soluti |Financial|Diversified Investments
RBCF|Rubicon Financial Inc. |Financial|Diversified Investments
SBR|Sabine Royalty Trust |Financial|Diversified Investments
SAR|Saratoga Investment Corp. |Financial|Diversified Investments
SGLB|Sigma Labs, Inc. |Financial|Diversified Investments
SLRC|Solar Capital Ltd. |Financial|Diversified Investments
SOPK|SouthPeak Interactive Corp. |Financial|Diversified Investments
SPAG|Spartan Gold Ltd. |Financial|Diversified Investments
SPDL|Spindle, Inc. |Financial|Diversified Investments
STDRD|Standard Drilling, Inc. |Financial|Diversified Investments
SWKH|SWK Holdings Corporation |Financial|Diversified Investments
TELOZ|Tel Offshore Trust |Financial|Diversified Investments
NDAQ|The Nasdaq OMX Group, Inc. |Financial|Diversified Investments
TIRTZ|Tidelands Royalty Trust B |Financial|Diversified Investments
TOMZ|TOMI Environmental Solutions, |Financial|Diversified Investments
TRBD|Turbodyne Technologies, Inc. |Financial|Diversified Investments
VIICQ|Vision Industries, Corp. |Financial|Diversified Investments
ZDVN|Webtradex International Corpor |Financial|Diversified Investments
ZDVN|Webtradex International Corpor |Financial|Diversified Investments
WMDS|WestMountain Distressed Debt, |Financial|Diversified Investments
WILD|Wild Craze, Inc. |Financial|Diversified Investments
WILD|Wild Craze, Inc. |Financial|Diversified Investments
TWFH|24Holdings Inc. |Financial|Diversified Investments
