More Info|Industry: Property Management |Financial|Property Management
SAGA.ST|AB Sagax |Financial|Property Management
AKR|Acadia Realty Trust |Financial|Property Management
AKR.V|Acadia Realty Trust |Financial|Property Management
ACCB.BR|Accentis |Financial|Property Management
CPT.L|Adams PLC |Financial|Property Management
ADL.DE|Adler Real Estate AG |Financial|Property Management
ALADO.PA|Adomos SA |Financial|Property Management
CANN|Advanced Cannabis Solutions, I |Financial|Property Management
CARE.L|Advanced Oncotherapy PLC |Financial|Property Management
AOXY|Advanced Oxygen Technologies I |Financial|Property Management
AEGEK.AT|Aegek SA |Financial|Property Management
ADC|Agree Realty Corp. |Financial|Property Management
AJMERA.BO|Ajmera Realty & Infra |Financial|Property Management
AJMERA.NS|Ajmera Realty & Infra |Financial|Property Management
ALSC3.SA|Aliansce Shopping Centers SA |Financial|Property Management
ALDV.PA|Alliance Developpement |Financial|Property Management
ASTAK.AT|Alpha Astika Akinita SA |Financial|Property Management
ALPH.L|Alpha Pyrenees Trust Ltd |Financial|Property Management
ATPT.L|Alpha Real Trust Ltd |Financial|Property Management
ALPINEHO.BO|Alpine Housing Dev Corp |Financial|Property Management
FROM.PA|Altareit SA |Financial|Property Management
AIF.TO|Altus Group Ltd |Financial|Property Management
ABCP|AmBase Corp. |Financial|Property Management
AMIB|American Boarding Company |Financial|Property Management
AMIBE|American Boarding Company |Financial|Property Management
ARL|American Realty Investors Inc. |Financial|Property Management
AMH2-B.ST|Amhult 2 AB |Financial|Property Management
ANANTRAJ.BO|Anant Raj Ltd |Financial|Property Management
ANANTRAJ.NS|Anant Raj Ltd |Financial|Property Management
ANSALBU.BO|Ansal Buildwell Ltd |Financial|Property Management
ANSALHSG.BO|Ansal Housing |Financial|Property Management
ANSALHSG.NS|Ansal Housing |Financial|Property Management
ANT.BR|Antares Cert |Financial|Property Management
ZANUKCOM.BO|Anukaran Commercial |Financial|Property Management
0519.HK|Applied Development |Financial|Property Management
KNS.DE|AREAL Immobilien und |Financial|Property Management
ARO.L|Arricano Real Estate PLC |Financial|Property Management
ASPL.L|Aseana Properties Ltd |Financial|Property Management
AFA.AX|ASF Group Ltd |Financial|Property Management
ASGGRO.CO|Asgaard Group AS |Financial|Property Management
AGP.L|Asian Growth Properties Ltd |Financial|Property Management
A30.SI|Aspial Corp Ltd |Financial|Property Management
ATEB.BR|Atenor Group |Financial|Property Management
BEAB.BR|Avenue de Beaulieu |Financial|Property Management
A05.SI|AVJennings Ltd |Financial|Property Management
AVJ.AX|AVJennings Ltd |Financial|Property Management
AV7.DE|AVW Immobilien AG |Financial|Property Management
APT.L|AXA Property Trust Ltd |Financial|Property Management
KJ6.DE|Bakrieland Development Tbk |Financial|Property Management
BAS.BR|Basilix/Immo-Basilix |Financial|Property Management
BBX|BBX Capital Corporation |Financial|Property Management
BEJ.DE|Beijing Capital Land Ltd |Financial|Property Management
2868.HK|Beijing Capital Land Ltd. |Financial|Property Management
BKSH|Berkshire Homes, Inc. |Financial|Property Management
BWF.AX|BlackWall Property Funds Ltd |Financial|Property Management
BLVIS.CO|Blue Vision AS |Financial|Property Management
BAUH50.SA|BR Malls Participacoes SA |Financial|Property Management
BAZA50.SA|BR Properties SA |Financial|Property Management
BCRE.L|Brack Capital Real Estate |Financial|Property Management
BRANDREAL.BO|Brand Realty Services Ltd |Financial|Property Management
BAUH9.SA|Brasil Brokers |Financial|Property Management
LND|Brasilagro Companhia Brasileir |Financial|Property Management
BRIGADE.BO|Brigade Enterprises Ltd |Financial|Property Management
BRIGADE.NS|Brigade Enterprises Ltd |Financial|Property Management
BPO-PH.TO|Brookfield Office |Financial|Property Management
BPO-PN.TO|Brookfield Office |Financial|Property Management
BRE.TO|Brookfield Real Estate |Financial|Property Management
MQ4.SI|Bund Center Investment Ltd |Financial|Property Management
QU4B.DE|C C Land Holdings Ltd |Financial|Property Management
1224.HK|C C Land Holdings Ltd. |Financial|Property Management
CNN.L|Caledonian Trust PLC |Financial|Property Management
CAPLI.PA|Capelli |Financial|Property Management
CAPC.L|Capital & Counties Props |Financial|Property Management
0193.HK|Capital Estate Ltd. |Financial|Property Management
CDFF.L|Cardiff Property (The) PLC |Financial|Property Management
SER.BR|Care Property Invest SICAFI SA |Financial|Property Management
CARP.PA|Carpinienne de Participations |Financial|Property Management
CATE.ST|Catena AB |Financial|Property Management
ALCBO.PA|CBo Territoria SA |Financial|Property Management
CBG|CBRE Group, Inc. |Financial|Property Management
D2B.DE|CD Deutsche Eigenheim AG |Financial|Property Management
CHDDLTD.BO|CHD Developers Ltd |Financial|Property Management
CQH3.DE|Cheuk Nang (Holdings) Ltd |Financial|Property Management
0131.HK|Cheuk Nang holdings |Financial|Property Management
0164.HK|China Gamma Group Ltd. |Financial|Property Management
Y34.SI|China Mining International Ltd |Financial|Property Management
1668.HK|China South City Hol |Financial|Property Management
CS4.DE|China South City Holdings Ltd |Financial|Property Management
5534.TW|Chong Hong Construction Co Ltd |Financial|Property Management
CNB.AX|CIC Australia Ltd |Financial|Property Management
P2C.DE|Ciputra Surya Tbk |Financial|Property Management
CKX|CKX Lands Inc. |Financial|Property Management
CLI.L|CLS Holdings PLC |Financial|Property Management
CHO.DE|Comstock Holding Co Inc |Financial|Property Management
CTIO.BA|Consultatio SA |Financial|Property Management
COR.DE|Conwert Immobilien Invest AG |Financial|Property Management
CIC.L|Conygar Investment Co |Financial|Property Management
XCP.V|Coopers Park Corp |Financial|Property Management
CORE-PREF.ST|Corem Property Group AB |Financial|Property Management
CORE.ST|Corem Property Group AB |Financial|Property Management
CSGP|CoStar Group Inc. |Financial|Property Management
