More Info|Industry: REIT - Healthcare Facilities |Financial|REIT - Healthcare Facilities
AGR.L|Assura Group Ltd |Financial|REIT - Healthcare Facilities
AVIVF|Aviv REIT, Inc. |Financial|REIT - Healthcare Facilities
CSH-UN.TO|Chartwell Seniors Housing |Financial|REIT - Healthcare Facilities
AW9U.SI|First Real Estate |Financial|REIT - Healthcare Facilities
F1T.DE|First Real Estate |Financial|REIT - Healthcare Facilities
ACV.SI|Frasers Hospitality Trust |Financial|REIT - Healthcare Facilities
GHC.AX|Generation Healthcare REIT |Financial|REIT - Healthcare Facilities
IHF.AX|Generation Healthcare REIT |Financial|REIT - Healthcare Facilities
HC5.DE|HCP Inc |Financial|REIT - Healthcare Facilities
HCP|HCP, Inc. |Financial|REIT - Healthcare Facilities
HCN|Health Care REIT, Inc. |Financial|REIT - Healthcare Facilities
HCW.DE|Health Care REIT, Inc. |Financial|REIT - Healthcare Facilities
HR6.DE|Healthcare Realty Trust Inc |Financial|REIT - Healthcare Facilities
HR|Healthcare Realty Trust Incorp |Financial|REIT - Healthcare Facilities
HTA|Healthcare Trust of America, I |Financial|REIT - Healthcare Facilities
LTP.DE|LTC Properties Inc |Financial|REIT - Healthcare Facilities
LTC|LTC Properties Inc. |Financial|REIT - Healthcare Facilities
M3P.DE|Medical Properties Trust Inc |Financial|REIT - Healthcare Facilities
MPW|Medical Properties Trust Inc. |Financial|REIT - Healthcare Facilities
MXF.L|MedicX Fund Ltd |Financial|REIT - Healthcare Facilities
WX6.DE|National Health Investors Inc |Financial|REIT - Healthcare Facilities
NHI|National Health Investors Inc. |Financial|REIT - Healthcare Facilities
NWH-UN.TO|Northwest Healthcare |Financial|REIT - Healthcare Facilities
OHI|Omega Healthcare Investors Inc |Financial|REIT - Healthcare Facilities
WX4.DE|Omega Healthcare Investors Inc |Financial|REIT - Healthcare Facilities
C2PU.SI|Parkway Life Real Estate |Financial|REIT - Healthcare Facilities
DOC|Physicians Realty Trust |Financial|REIT - Healthcare Facilities
PHP.L|Primary Health Properties PLC |Financial|REIT - Healthcare Facilities
SBRA|Sabra Health Care REIT, Inc. |Financial|REIT - Healthcare Facilities
SBRA|Sabra Health Care REIT, Inc. |Financial|REIT - Healthcare Facilities
SNF.DE|Senior Housing Properties |Financial|REIT - Healthcare Facilities
SNH|Senior Housing Properties Trus |Financial|REIT - Healthcare Facilities
THRL.L|Target Healthcare REIT Ltd |Financial|REIT - Healthcare Facilities
GEO|The GEO Group, Inc. |Financial|REIT - Healthcare Facilities
WY8.DE|Universal Health Realty |Financial|REIT - Healthcare Facilities
UHT|Universal Health Realty Income |Financial|REIT - Healthcare Facilities
VEN.DE|Ventas Inc |Financial|REIT - Healthcare Facilities
VTR|Ventas, Inc. |Financial|REIT - Healthcare Facilities
IMP.NZ|Vital Healthcare Property |Financial|REIT - Healthcare Facilities
