More Info|Industry: REIT - Industrial |Financial|REIT - Industrial
A17U.SI|Ascendas Real Estate Inv Trust |Financial|REIT - Industrial
S3Z.DE|Ascendas Real Estate Inv Trust |Financial|REIT - Industrial
B9Y.DE|Big Yellow Group PLC |Financial|REIT - Industrial
BYG.L|Big Yellow Group PLC |Financial|REIT - Industrial
BWP.AX|BWP Trust |Financial|REIT - Industrial
A6C.DE|Cache Logistics Trust |Financial|REIT - Industrial
K2LU.SI|Cache Logistics Trust |Financial|REIT - Industrial
J91U.SI|Cambridge Industrial Trust |Financial|REIT - Industrial
CMCT|CIM Commercial Trust Corporati |Financial|REIT - Industrial
A7RU.SI|CitySpring Infrastructure |Financial|REIT - Industrial
CSAL|Communications Sales & Leasing |Financial|REIT - Industrial
CSALV|Communications Sales & Leasing |Financial|REIT - Industrial
CUBE|CubeSmart |Financial|REIT - Industrial
DCF.DE|DCT Industrial Trust Inc |Financial|REIT - Industrial
DCT|DCT Industrial Trust Inc. |Financial|REIT - Industrial
DUR.DE|Duke Realty Corp |Financial|REIT - Industrial
DRE|Duke Realty Corporation |Financial|REIT - Industrial
EGO.DE|EastGroup Properties Inc |Financial|REIT - Industrial
EGP|EastGroup Properties Inc. |Financial|REIT - Industrial
FG8.DE|Extra Space Storage Inc |Financial|REIT - Industrial
EXR|Extra Space Storage Inc. |Financial|REIT - Industrial
F5W.DE|First Industrial Realty |Financial|REIT - Industrial
FR|First Industrial Realty Trust |Financial|REIT - Industrial
GMT.NZ|Goodman Property Trust |Financial|REIT - Industrial
HSTN.L|Hansteen Holdings PLC |Financial|REIT - Industrial
JCAP|Jernigan Capital, Inc. |Financial|REIT - Industrial
JDOGQ|John D. Oil & Gas Co. |Financial|REIT - Industrial
ME8U.SI|Mapletree Industrial Trust |Financial|REIT - Industrial
M44U.SI|Mapletree Logistics Trust |Financial|REIT - Industrial
MR6A.DE|Monmouth Real Estate |Financial|REIT - Industrial
MNR|Monmouth Real Estate Investmen |Financial|REIT - Industrial
MONT.BR|Montea SICAFI SCA |Financial|REIT - Industrial
PLD|Prologis, Inc. |Financial|REIT - Industrial
PSA|Public Storage |Financial|REIT - Industrial
PUP.DE|Public Storage |Financial|REIT - Industrial
QTS|QTS Realty Trust, Inc. |Financial|REIT - Industrial
REXR|Rexford Industrial Realty, Inc |Financial|REIT - Industrial
SAFE.L|Safestore Holdings PLC |Financial|REIT - Industrial
S4VC.DE|Segro PLC |Financial|REIT - Industrial
SGRO.L|Segro PLC |Financial|REIT - Industrial
SOV.DE|Sovran Self Storage Inc |Financial|REIT - Industrial
SSS|Sovran Self Storage Inc. |Financial|REIT - Industrial
STAG|STAG Industrial, Inc. |Financial|REIT - Industrial
TRNO|Terreno Realty Corp. |Financial|REIT - Industrial
T8B.SI|Viva Industrial Trust |Financial|REIT - Industrial
WDP.BR|Warehouses De Pauw |Financial|REIT - Industrial
WEB.BR|Warehouses Estates Belgium |Financial|REIT - Industrial
