More Info|Industry: REIT - Office |Financial|REIT - Office
ACAN.PA|Acanthe DÃ©veloppement |Financial|REIT - Office
ADX.DE|Acanthe DÃ©veloppement |Financial|REIT - Office
A6W.DE|Alexandria Real Estate |Financial|REIT - Office
ARE|Alexandria Real Estate Equitie |Financial|REIT - Office
AP-UN.TO|Allied Properties REIT |Financial|REIT - Office
AOX.DE|ALSTRIA OFFICE REIT AG |Financial|REIT - Office
AJD.AX|Asia Pacific Data Centre Group |Financial|REIT - Office
KPF.NZ|Augusta Capital Ltd |Financial|REIT - Office
BEFB.BR|Befimmo SA |Financial|REIT - Office
VJ6.DE|Befimmo SA |Financial|REIT - Office
WX8.DE|BioMed Realty Trust Inc |Financial|REIT - Office
BMR|BioMed Realty Trust Inc. |Financial|REIT - Office
BXP|Boston Properties Inc. |Financial|REIT - Office
B2X.DE|Brandywine Realty Trust |Financial|REIT - Office
BOX-UN.TO|Brookfield Canada Office |Financial|REIT - Office
BOXC|Brookfield Canada Office Prope |Financial|REIT - Office
C61U.SI|CapitaCommercial Trust |Financial|REIT - Office
CGR.PA|Cegereal |Financial|REIT - Office
D2L.DE|Cegereal |Financial|REIT - Office
CSG|Chambers Street Properties |Financial|REIT - Office
WY5.DE|CIM Commercial Trust Corp |Financial|REIT - Office
CIO|City Office Reit, Inc. |Financial|REIT - Office
CXP|Columbia Property Trust, Inc. |Financial|REIT - Office
COR|CoreSite Realty Corporation |Financial|REIT - Office
OFC|Corporate Office Properties Tr |Financial|REIT - Office
CMW.AX|Cromwell Property Group |Financial|REIT - Office
FQI.DE|Digital Realty Trust Inc |Financial|REIT - Office
DLR|Digital Realty Trust Inc. |Financial|REIT - Office
D8K.DE|Douglas Emmett Inc |Financial|REIT - Office
D-UN.TO|Dundee Real Estate |Financial|REIT - Office
42DA.DE|Dupont Fabros Technology Inc |Financial|REIT - Office
DFT|DuPont Fabros Technology, Inc. |Financial|REIT - Office
ESBA|Empire State Realty OP, L.P. |Financial|REIT - Office
HP5A.DE|Equity Commonwealth |Financial|REIT - Office
FPO|First Potomac Realty Trust |Financial|REIT - Office
FPY.DE|First Potomac Realty Trust |Financial|REIT - Office
FPN.PA|Fonciere Paris Nord |Financial|REIT - Office
SRG.PA|FonciÃ¨re des 6Ã¨me et 7Ã |Financial|REIT - Office
INEA.PA|FonciÃ¨re InÃ©a |Financial|REIT - Office
FSP|Franklin Street Properties Cor |Financial|REIT - Office
WVH.DE|Franklin Street Props |Financial|REIT - Office
A48U.SI|Frasers Commercial Trust |Financial|REIT - Office
ND8U.SI|Frasers Commercial Trust |Financial|REIT - Office
01004T.TW|Fubon No 2 Real Estate |Financial|REIT - Office
GDI.AX|GDI Property Group |Financial|REIT - Office
GOK.DE|Government Properties |Financial|REIT - Office
GOV|Government Properties Income T |Financial|REIT - Office
GYRO|Gyrodyne Co. of America Inc. |Financial|REIT - Office
HQS.DE|Highwoods Properties Inc |Financial|REIT - Office
HIW|Highwoods Properties Inc. |Financial|REIT - Office
HPP|Hudson Pacific Properties, Inc |Financial|REIT - Office
IOF.AX|Investa Office Fund |Financial|REIT - Office
UD1U.SI|IREIT Global |Financial|REIT - Office
JUA.DE|Japan Real Estate Invest |Financial|REIT - Office
K71U.SI|Keppel REIT |Financial|REIT - Office
KRC.DE|Kilroy Realty Corp |Financial|REIT - Office
KRC|Kilroy Realty Corp. |Financial|REIT - Office
LAND.L|Land Securities Group PLC |Financial|REIT - Office
LSU1.DE|Land Securities Group PLC |Financial|REIT - Office
LLZ.DE|Liberty Property Trust |Financial|REIT - Office
LPT|Liberty Property Trust |Financial|REIT - Office
WY4.DE|Mack-Cali Realty Corp |Financial|REIT - Office
CLI|Mack-Cali Realty Corp. |Financial|REIT - Office
MLMAB.PA|Maison Antoine Baud |Financial|REIT - Office
MIGRE.AT|MIG Real Estate R E I C |Financial|REIT - Office
MGR.AX|Mirvac Group |Financial|REIT - Office
MPG|MPG Office Trust, Inc. |Financial|REIT - Office
NYRT|New York REIT, Inc. |Financial|REIT - Office
S4C.DE|Nippon Building Fund Inc |Financial|REIT - Office
O2F.DE|Orix Jreit Inc |Financial|REIT - Office
ORM|Owens Realty Mortgage, Inc. |Financial|REIT - Office
WY7.DE|Parkway Properties Inc |Financial|REIT - Office
PKY|Parkway Properties Inc. |Financial|REIT - Office
PDM|Piedmont Office Realty Trust I |Financial|REIT - Office
APT.NZ|Precinct Properties |Financial|REIT - Office
0808.HK|Prosperity Real Estate |Financial|REIT - Office
RNY.AX|Reckson New York Pro |Financial|REIT - Office
SIR|Select Income REIT |Financial|REIT - Office
01003T.TW|Shin Kong No 1 |Financial|REIT - Office
GEI.DE|SL Green Realty Corp |Financial|REIT - Office
FLY.PA|SociÃ©tÃ© FonciÃ¨re |Financial|REIT - Office
EIFF.PA|Tour Eiffel |Financial|REIT - Office
WRE|Washington Real Estate Investm |Financial|REIT - Office
WRI.DE|Washington REIT |Financial|REIT - Office
ZIF.PA|Zueblin Immobiliere France |Financial|REIT - Office
TGP.AX|360 Capital Group |Financial|REIT - Office
