More Info|Industry: Real Estate Development |Financial|Real Estate Development
E7S.DE|Accentro Real Estate AG |Financial|Real Estate Development
ADQU.SI|Accordia Golf Trust |Financial|Real Estate Development
1442.TW|Advancetek Enterprise Co Ltd |Financial|Real Estate Development
AE.MI|Aedes |Financial|Real Estate Development
AFID.L|AFI Development PLC |Financial|Real Estate Development
AFRB.L|AFI Development PLC |Financial|Real Estate Development
A8P.DE|Agile Property Holdings Ltd |Financial|Real Estate Development
3383.HK|Agile Property Holdings Ltd. |Financial|Real Estate Development
AREALTY.BO|Alchemist Realty Ltd |Financial|Real Estate Development
ALEX|Alexander & Baldwin, Inc. |Financial|Real Estate Development
0056.HK|Allied Properties (HK) Ltd. |Financial|Real Estate Development
ANNAINFRA.BO|Anna Infrastructures Ltd |Financial|Real Estate Development
ANSALAPI.NS|Ansal Properties |Financial|Real Estate Development
ANSALINFR.BO|Ansal Properties |Financial|Real Estate Development
ANTG.BR|Antigoon Invest NV |Financial|Real Estate Development
ARG.NZ|Argosy Property Ltd |Financial|Real Estate Development
ARIHANT.NS|Arihant Foundations & Hou |Financial|Real Estate Development
ARIHFOU.BO|Arihant Foundations & Hou |Financial|Real Estate Development
ARIHSUPER.BO|Arihant Superstructures Ltd |Financial|Real Estate Development
A3E.DE|ARISTON Real Estate AG |Financial|Real Estate Development
ASHIHOU.BO|Ashiana Housing Ltd. |Financial|Real Estate Development
ASD1.DE|Asia Orient Holdings Ltd |Financial|Real Estate Development
0129.HK|Asia Standard |Financial|Real Estate Development
AXI.AX|Axiom Properties Ltd |Financial|Real Estate Development
BNANJEN.BO|B Nanji Enterprises Ltd |Financial|Real Estate Development
BANI.BR|Banimmo |Financial|Real Estate Development
BBI.DE|BBI Buergerliches Brauh |Financial|Real Estate Development
BEK-B.TO|Becker Milk Co Ltd |Financial|Real Estate Development
0588.HK|Beijing North Star |Financial|Real Estate Development
BJ3.DE|Beijing North Star Co Ltd |Financial|Real Estate Development
BAZA13.SA|BHG |Financial|Real Estate Development
BOR.OL|Borgestad ASA |Financial|Real Estate Development
BRI.MI|Brioschi |Financial|Real Estate Development
BAM-A.TO|Brookfield Asset |Financial|Real Estate Development
BAM-PG.TO|Brookfield Asset |Financial|Real Estate Development
BAM-PM.TO|Brookfield Asset |Financial|Real Estate Development
BAM-PR.TO|Brookfield Asset |Financial|Real Estate Development
BAM|Brookfield Asset Management In |Financial|Real Estate Development
BKAA.DE|Brookfield Asset Mgmt |Financial|Real Estate Development
BSD-UN.TO|Brookfield Asset Mgmt |Financial|Real Estate Development
BPY|Brookfield Property Partners L |Financial|Real Estate Development
BRP.TO|Brookfield Residential |Financial|Real Estate Development
BSELINFRA.BO|BSEL Infrastructure Realty Ltd |Financial|Real Estate Development
BSELINFRA.NS|BSEL Infrastructure Realty Ltd |Financial|Real Estate Development
B1W1.DE|Bukit Sembawang Estates Ltd |Financial|Real Estate Development
B61.SI|Bukit Sembawang Estates Ltd |Financial|Real Estate Development
C31.SI|CapitaLand Ltd |Financial|Real Estate Development
PLF.DE|CapitaLand Ltd |Financial|Real Estate Development
CARPD.PA|Carrefour Property Development |Financial|Real Estate Development
CAST.ST|Castellum AB |Financial|Real Estate Development
TEX.DE|Castellum AB |Financial|Real Estate Development
2501.TW|Cathay Real Estate |Financial|Real Estate Development
CDI.NZ|CDL Inv New Zealand |Financial|Real Estate Development
CWP.AX|Cedar Woods Properties Ltd |Financial|Real Estate Development
0832.HK|Central China Real Estate |Financial|Real Estate Development
0355.HK|Century City Int'l |Financial|Real Estate Development
2509.TW|Chainqui Development Co Ltd |Financial|Real Estate Development
3883.HK|China Aoyuan Property |Financial|Real Estate Development
47C.DE|China Aoyuan Property Gro |Financial|Real Estate Development
HGSH|China HGS Real Estate Inc. |Financial|Real Estate Development
4CL.DE|China Housing & Land |Financial|Real Estate Development
CHLN|China Housing and Land Develop |Financial|Real Estate Development
0600.HK|China Infrastructur Int'l |Financial|Real Estate Development
C37.SI|China International |Financial|Real Estate Development
C03.SI|China Merchants Property |Financial|Real Estate Development
4CWA.DE|China New Town Dev |Financial|Real Estate Development
D4N.SI|China New Town Dev |Financial|Real Estate Development
HRH.DE|China Oceanwide Holdings Ltd |Financial|Real Estate Development
CPP.DE|China Overseas Land |Financial|Real Estate Development
ZYW.DE|China Properties Group Ltd |Financial|Real Estate Development
1966.HK|China Property Holdings |Financial|Real Estate Development
1109.HK|China Resources Land Ltd. |Financial|Real Estate Development
B2X.SI|China Yuanbang Property |Financial|Real Estate Development
KOH.DE|China Yuanbang Property |Financial|Real Estate Development
CQ3.DE|Chinese Estates Holdings Ltd |Financial|Real Estate Development
0127.HK|Chinese Estates Holdings Ltd. |Financial|Real Estate Development
CUG.DE|Chuang's China Investments Ltd |Financial|Real Estate Development
0367.HK|Chuang's Consortium Int'l |Financial|Real Estate Development
PUWA.DE|Ciputra Development Tbk |Financial|Real Estate Development
39Z.DE|Ciputra Property Tbk |Financial|Real Estate Development
UKC.L|Coalfield Resources PLC |Financial|Real Estate Development
CGR.DE|Coastal Greenland Ltd |Financial|Real Estate Development
KBU.DE|Colonia Real Estate AG |Financial|Real Estate Development
CIA.MI|Compagnia Immobiliare |Financial|Real Estate Development
CXA-B.TO|Consolidated HCI Holdings Corp |Financial|Real Estate Development
CTO|Consolidated Tomoka Land Co. |Financial|Real Estate Development
JM6.DE|Cooper Minerals Inc. |Financial|Real Estate Development
COUNCODOS.BO|Country Condo's Ltd |Financial|Real Estate Development
NEOCURE.NS|Country Condo's Ltd |Financial|Real Estate Development
2007.HK|Country Garden Holdings |Financial|Real Estate Development
DZJ.DE|Country Garden Holdings Co Ltd |Financial|Real Estate Development
CRZ.DE|CR Capital Real Estate AG |Financial|Real Estate Development
BAZA149.SA|CR2 Empreendimentos |Financial|Real Estate Development
BAUH90.SA|Cyrela Commercial Propert |Financial|Real Estate Development
DSKULKAR.BO|D S Kulkarni Developers Ltd |Financial|Real Estate Development
DSKULKARN.NS|D S Kulkarni Developers Ltd |Financial|Real Estate Development
DWH.DE|Daiwa House Industry Co Ltd |Financial|Real Estate Development
K2M.SI|Debao Property Development Ltd |Financial|Real Estate Development
DWNI.DE|Deutsche Wohnen AG |Financial|Real Estate Development
DVN.AX|Devine Ltd |Financial|Real Estate Development
DHRUVES.BO|Dhruv Estates Ltd |Financial|Real Estate Development
DIC.DE|DIC Asset AG |Financial|Real Estate Development
