More Info|Industry: Regional - Mid-Atlantic Banks |Financial|Regional - Mid-Atlantic Banks
ABTO|AB&T Financial Corp. |Financial|Regional - Mid-Atlantic Banks
ANCX|Access National Corporation |Financial|Regional - Mid-Atlantic Banks
AMNB|American National Bankshares I |Financial|Regional - Mid-Atlantic Banks
ABCB|Ameris Bancorp |Financial|Regional - Mid-Atlantic Banks
ASBB|ASB Bancorp, Inc. |Financial|Regional - Mid-Atlantic Banks
BOCH|Bank of Commerce Holdings |Financial|Regional - Mid-Atlantic Banks
BOMK|Bank of McKenney |Financial|Regional - Mid-Atlantic Banks
BCAR|Bank of the Carolinas Corp. |Financial|Regional - Mid-Atlantic Banks
BOTJ|Bank of the James Financial Gr |Financial|Regional - Mid-Atlantic Banks
BKU|BankUnited, Inc. |Financial|Regional - Mid-Atlantic Banks
BANR|Banner Corporation |Financial|Regional - Mid-Atlantic Banks
BYBK|Bay Bancorp, Inc. |Financial|Regional - Mid-Atlantic Banks
BAYK|Bay Banks of Virginia, Inc. |Financial|Regional - Mid-Atlantic Banks
BMBN|Benchmark Bankshares Inc. |Financial|Regional - Mid-Atlantic Banks
BNCN|BNC Bancorp |Financial|Regional - Mid-Atlantic Banks
BMTC|Bryn Mawr Bank Corp. |Financial|Regional - Mid-Atlantic Banks
BVFL|BV Financial, Inc. |Financial|Regional - Mid-Atlantic Banks
CFFI|C&F Financial Corp. |Financial|Regional - Mid-Atlantic Banks
TYCB|Calvin B. Taylor Bankshares, I |Financial|Regional - Mid-Atlantic Banks
CCBG|Capital City Bank Group Inc. |Financial|Regional - Mid-Atlantic Banks
CDBK|Cardinal Bankshares Corp. |Financial|Regional - Mid-Atlantic Banks
CLBH|Carolina Bank Holdings Inc. |Financial|Regional - Mid-Atlantic Banks
CARO|Carolina Financial Corporation |Financial|Regional - Mid-Atlantic Banks
CART|Carolina Trust Bank |Financial|Regional - Mid-Atlantic Banks
CROL|Carroll Bancorp, Inc. |Financial|Regional - Mid-Atlantic Banks
CEFB|Central Florida State Bank |Financial|Regional - Mid-Atlantic Banks
CHFN|Charter Financial Corporation |Financial|Regional - Mid-Atlantic Banks
CZNC|Citizens & Northern Corp. |Financial|Regional - Mid-Atlantic Banks
CZBT|Citizens Bancorp of Virginia I |Financial|Regional - Mid-Atlantic Banks
CZBS|Citizens Bancshares Corporatio |Financial|Regional - Mid-Atlantic Banks
CZYB|Citizens Community Bank (South |Financial|Regional - Mid-Atlantic Banks
CHCO|City Holding Co. |Financial|Regional - Mid-Atlantic Banks
CNBV|CNB Bancorp Inc. |Financial|Regional - Mid-Atlantic Banks
CBCO|Coastal Banking Company, Inc. |Financial|Regional - Mid-Atlantic Banks
CBAN|Colony Bankcorp Inc. |Financial|Regional - Mid-Atlantic Banks
COB|CommunityOne Bancorp |Financial|Regional - Mid-Atlantic Banks
BVA|Cordia Bancorp Inc. |Financial|Regional - Mid-Atlantic Banks
CTOT|Cornerstone Bancorp. |Financial|Regional - Mid-Atlantic Banks
CUMD|County First Bank |Financial|Regional - Mid-Atlantic Banks
DNBF|DNB Financial Corp. |Financial|Regional - Mid-Atlantic Banks
EGBN|Eagle Bancorp, Inc. |Financial|Regional - Mid-Atlantic Banks
EFSI|Eagle Financial Services Inc. |Financial|Regional - Mid-Atlantic Banks
FMBM|F&M Bank Corp. |Financial|Regional - Mid-Atlantic Banks
FMFG|Farmers & Merchants Bank (Uppe |Financial|Regional - Mid-Atlantic Banks
LION|Fidelity Southern Corporation |Financial|Regional - Mid-Atlantic Banks
FISI|Financial Institutions Inc. |Financial|Regional - Mid-Atlantic Banks
FBNC|First Bancorp |Financial|Regional - Mid-Atlantic Banks
FRBA|First Bank |Financial|Regional - Mid-Atlantic Banks
FCNCA|First Citizens Bancshares Inc. |Financial|Regional - Mid-Atlantic Banks
FCBC|First Community Bancshares, In |Financial|Regional - Mid-Atlantic Banks
SSB|First Financial Holdings, Inc. |Financial|Regional - Mid-Atlantic Banks
FXNC|First National Corp. |Financial|Regional - Mid-Atlantic Banks
FNFG|First Niagara Financial Group |Financial|Regional - Mid-Atlantic Banks
FSRL|First Reliance Bancshares Inc. |Financial|Regional - Mid-Atlantic Banks
FUNC|First United Corporation |Financial|Regional - Mid-Atlantic Banks
FWV|First West Virginia Bancorp In |Financial|Regional - Mid-Atlantic Banks
