More Info|Industry: Long-Term Care Facilities |Healthcare|Long-Term Care Facilities
ADK|AdCare Health Systems, Inc. |Healthcare|Long-Term Care Facilities
ACC.TO|Amica Mature Lifestyles Inc |Healthcare|Long-Term Care Facilities
ARV.NZ|Arvida Group Ltd (NS) |Healthcare|Long-Term Care Facilities
1112.HK|Biostime International |Healthcare|Long-Term Care Facilities
B7S.DE|Brookdale Senior Living Inc |Healthcare|Long-Term Care Facilities
BKD|Brookdale Senior Living Inc. |Healthcare|Long-Term Care Facilities
CSU|Capital Senior Living Corp. |Healthcare|Long-Term Care Facilities
0397.HK|China Gogreen Assets |Healthcare|Long-Term Care Facilities
CIVI|Civitas Solutions, Inc. |Healthcare|Long-Term Care Facilities
HYGEIA.AT|Diagnostic & Therapeutic |Healthcare|Long-Term Care Facilities
DVCR|Diversicare Healthcare Service |Healthcare|Long-Term Care Facilities
EGB.DE|Ensign Group Inc |Healthcare|Long-Term Care Facilities
EVHC|Envision Healthcare Holdings, |Healthcare|Long-Term Care Facilities
EHE.AX|Estia Health Ltd |Healthcare|Long-Term Care Facilities
EXE.TO|Extendicare Inc |Healthcare|Long-Term Care Facilities
FVE|Five Star Quality Care Inc. |Healthcare|Long-Term Care Facilities
FUTU|Future Healthcare of America |Healthcare|Long-Term Care Facilities
GEN|Genesis Healthcare, Inc. |Healthcare|Long-Term Care Facilities
JHC.AX|Japara Healthcare Ltd |Healthcare|Long-Term Care Facilities
LDJ.DE|Kindred Healthcare Inc |Healthcare|Long-Term Care Facilities
KND|Kindred Healthcare Inc. |Healthcare|Long-Term Care Facilities
KWA.V|Kingsway Arms Retirement |Healthcare|Long-Term Care Facilities
LNA.PA|Le Noble Age |Healthcare|Long-Term Care Facilities
LW.TO|Leisureworld Senior Care Corp |Healthcare|Long-Term Care Facilities
LCMD|Life Care Medical Devices Limi |Healthcare|Long-Term Care Facilities
LCMD|Life Care Medical Devices Limi |Healthcare|Long-Term Care Facilities
MDCR|Medicus Homecare Inc. |Healthcare|Long-Term Care Facilities
MET.NZ|Metlifecare Ltd |Healthcare|Long-Term Care Facilities
NHC|National Healthcare Corp. |Healthcare|Long-Term Care Facilities
OPA.DE|Orpea |Healthcare|Long-Term Care Facilities
ORP.PA|Orpea |Healthcare|Long-Term Care Facilities
PNSB.BR|Personalized Nursing |Healthcare|Long-Term Care Facilities
RLC.TO|Regal Lifestyle |Healthcare|Long-Term Care Facilities
REG.AX|Regis Healthcare Ltd |Healthcare|Long-Term Care Facilities
RYM.NZ|Ryman Healthcare Ltd |Healthcare|Long-Term Care Facilities
ENSG|The Ensign Group, Inc. |Healthcare|Long-Term Care Facilities
MLTDS.PA|Villa du Parc |Healthcare|Long-Term Care Facilities
