More Info|Industry: Medical Laboratories & Research |Healthcare|Medical Laboratories & Research
AXS.DE|Abaxis Inc |Healthcare|Medical Laboratories & Research
ABAX|Abaxis, Inc. |Healthcare|Medical Laboratories & Research
AXDX|Accelerate Diagnostics, Inc. |Healthcare|Medical Laboratories & Research
ACCE-B.ST|Accelerator Nordic AB |Healthcare|Medical Laboratories & Research
ADDV.ST|ADDvise Lab Solutions AB |Healthcare|Medical Laboratories & Research
AFF.DE|Affymetrix Inc |Healthcare|Medical Laboratories & Research
AG8.DE|Agilent Technologies Inc |Healthcare|Medical Laboratories & Research
A|Agilent Technologies Inc. |Healthcare|Medical Laboratories & Research
IM5.DE|Alere Inc |Healthcare|Medical Laboratories & Research
ALR|Alere Inc. |Healthcare|Medical Laboratories & Research
AI6N.DE|Alliance HealthCare |Healthcare|Medical Laboratories & Research
AIQ|Alliance Healthcare Services, |Healthcare|Medical Laboratories & Research
ALPH.ST|AlphaHelix Molecular |Healthcare|Medical Laboratories & Research
AMF.TO|Amorfix Life Sciences Ltd |Healthcare|Medical Laboratories & Research
ALOG|Analogic Corporation |Healthcare|Medical Laboratories & Research
AGL.L|ANGLE PLC |Healthcare|Medical Laboratories & Research
BGMD|BG Medicine, Inc. |Healthcare|Medical Laboratories & Research
BUWA.DE|Bio-Rad Laboratories Inc |Healthcare|Medical Laboratories & Research
BIO|Bio-Rad Laboratories, Inc. |Healthcare|Medical Laboratories & Research
BRLI|Bio-Reference Laboratories Inc |Healthcare|Medical Laboratories & Research
BS5.DE|Bioanalytical Systems Inc |Healthcare|Medical Laboratories & Research
BIOC|Biocept, Inc. |Healthcare|Medical Laboratories & Research
BIM.PA|BioMerieux SA |Healthcare|Medical Laboratories & Research
EYW.DE|BioMerieux SA |Healthcare|Medical Laboratories & Research
ALBIO.PA|Biosynex SA |Healthcare|Medical Laboratories & Research
BEAT|BioTelemetry, Inc. |Healthcare|Medical Laboratories & Research
BKD.DE|Bruker Corp |Healthcare|Medical Laboratories & Research
BRKR|Bruker Corporation |Healthcare|Medical Laboratories & Research
CRAD-B.ST|C-Rad AB |Healthcare|Medical Laboratories & Research
COG.L|Cambridge Cognition |Healthcare|Medical Laboratories & Research
CGIX|Cancer Genetics, Inc. |Healthcare|Medical Laboratories & Research
CBIS|Cannabis Science, Inc. |Healthcare|Medical Laboratories & Research
CANL|CannLabs, Inc. |Healthcare|Medical Laboratories & Research
AFX.DE|Carl Zeiss Meditec AG |Healthcare|Medical Laboratories & Research
CEVI.ST|CellaVision AB |Healthcare|Medical Laboratories & Research
XEP.DE|Cepheid |Healthcare|Medical Laboratories & Research
RV6.DE|Charles River |Healthcare|Medical Laboratories & Research
CRL|Charles River Laboratories Int |Healthcare|Medical Laboratories & Research
CHEK|Check-Cap Ltd. |Healthcare|Medical Laboratories & Research
CO|China Cord Blood Corporation |Healthcare|Medical Laboratories & Research
8250.HK|China Natural Investment |Healthcare|Medical Laboratories & Research
CHOKSILA.BO|Choksi Laboratories Ltd |Healthcare|Medical Laboratories & Research
D9Z.DE|Clinica Baviera SA |Healthcare|Medical Laboratories & Research
AZG3.DE|CombiMatrix Corp |Healthcare|Medical Laboratories & Research
CBMX|CombiMatrix Corporation |Healthcare|Medical Laboratories & Research
COV.OL|ContextVision AB |Healthcare|Medical Laboratories & Research
CBAI|Cord Blood America Inc. |Healthcare|Medical Laboratories & Research
P8A.SI|Cordlife Group Ltd |Healthcare|Medical Laboratories & Research
CBAT|Cortronix Biomedical Advanceme |Healthcare|Medical Laboratories & Research
CVD.DE|Covance Inc |Healthcare|Medical Laboratories & Research
CTE.AX|Cryosite Ltd |Healthcare|Medical Laboratories & Research
HQE.DE|Cytosorbents Corp |Healthcare|Medical Laboratories & Research
CTSO|Cytosorbents Corporation |Healthcare|Medical Laboratories & Research
CTSO|Cytosorbents Corporation |Healthcare|Medical Laboratories & Research
CTSO|Cytosorbents Corporation |Healthcare|Medical Laboratories & Research
DC4.DE|DexCom Inc |Healthcare|Medical Laboratories & Research
DXCM|DexCom, Inc. |Healthcare|Medical Laboratories & Research
DDXS|diaDexus, Inc. |Healthcare|Medical Laboratories & Research
BAZA185.SA|Diagnosticos da America SA |Healthcare|Medical Laboratories & Research
34D.DE|Diasorin |Healthcare|Medical Laboratories & Research
DIA.MI|Diasorin |Healthcare|Medical Laboratories & Research
DOLPHMED.BO|Dolphin Medical Services Ltd |Healthcare|Medical Laboratories & Research
EZB.DE|Enzo Biochem Inc |Healthcare|Medical Laboratories & Research
ENZ|Enzo Biochem Inc. |Healthcare|Medical Laboratories & Research
ECX1.DE|Epigenomics AG |Healthcare|Medical Laboratories & Research
ERF.PA|Eurofins Scientific SE |Healthcare|Medical Laboratories & Research
ERFNV.PA|Eurofins Scientific SE |Healthcare|Medical Laboratories & Research
EXK.DE|Exact Sciences Corp |Healthcare|Medical Laboratories & Research
EXAS|Exact Sciences Corporation |Healthcare|Medical Laboratories & Research
EXO.L|Exova Group PLC |Healthcare|Medical Laboratories & Research
BAZA263.SA|Fleury SA |Healthcare|Medical Laboratories & Research
FLDM|Fluidigm Corporation |Healthcare|Medical Laboratories & Research
FMI|Foundation Medicine, Inc. |Healthcare|Medical Laboratories & Research
GES.V|Gemoscan Canada Inc |Healthcare|Medical Laboratories & Research
GNLKQ|GeneLink Inc. |Healthcare|Medical Laboratories & Research
GEN.TO|GeneNews Ltd. |Healthcare|Medical Laboratories & Research
GTG.AX|Genetic Technologies Ltd |Healthcare|Medical Laboratories & Research
G7H.DE|Genomic Health Inc |Healthcare|Medical Laboratories & Research
GHDX|Genomic Health Inc. |Healthcare|Medical Laboratories & Research
GBSN|Great Basin Scientific, Inc. |Healthcare|Medical Laboratories & Research
HSKA|Heska Corporation |Healthcare|Medical Laboratories & Research
HTGM|HTG Molecular Diagnostics, Inc |Healthcare|Medical Laboratories & Research
ICLR|ICON Public Limited Company |Healthcare|Medical Laboratories & Research
IDL-B.ST|IDL Biotech AB |Healthcare|Medical Laboratories & Research
KANG|iKang Healthcare Group, Inc. |Healthcare|Medical Laboratories & Research
IDL.V|Imaging Dynamics Company Ltd. |Healthcare|Medical Laboratories & Research
IMM.V|Immunotec Inc |Healthcare|Medical Laboratories & Research
INIS|International Isotopes Inc. |Healthcare|Medical Laboratories & Research
NVTA|Invitae Corporation |Healthcare|Medical Laboratories & Research
LH|Laboratory Corp. of America Ho |Healthcare|Medical Laboratories & Research
LAB.DE|Laboratory of America |Healthcare|Medical Laboratories & Research
DRIO|LabStyle Innovations Corp. |Healthcare|Medical Laboratories & Research
LIFE|Life Technologies Corporation |Healthcare|Medical Laboratories & Research
2898.HK|Longrun Tea Group Co., Ltd. |Healthcare|Medical Laboratories & Research
LO3.DE|Lonza Group AG |Healthcare|Medical Laboratories & Research
MBI.V|Med Biogene Inc |Healthcare|Medical Laboratories & Research
ALMDT.PA|Median Technologies |Healthcare|Medical Laboratories & Research
MEDICAB.MX|Medica Sur SAB de CV |Healthcare|Medical Laboratories & Research
MEDINOV.BO|Medinova Diagnostic Servs |Healthcare|Medical Laboratories & Research
MDIT|Medite Cancer Diagnostics, Inc |Healthcare|Medical Laboratories & Research
MDIT|Medite Cancer Diagnostics, Inc |Healthcare|Medical Laboratories & Research
MDITE|Medite Cancer Diagnostics, Inc |Healthcare|Medical Laboratories & Research
MMMS|Medytox Solutions, Inc. |Healthcare|Medical Laboratories & Research
MR4.DE|Meridian Bioscience Inc |Healthcare|Medical Laboratories & Research
MMTC|Micro Imaging Technology, Inc. |Healthcare|Medical Laboratories & Research
MMTC|Micro Imaging Technology, Inc. |Healthcare|Medical Laboratories & Research
0233.HK|Mingyuan Medicare |Healthcare|Medical Laboratories & Research
