More Info|Industry: Aerospace/Defense - Major Diversified |Industrial Goods|Aerospace/Defense - Major Diversified
A53.SI|A-Sonic Aerospace Ltd |Industrial Goods|Aerospace/Defense - Major Diversified
ARZ.DE|AAR Corp |Industrial Goods|Aerospace/Defense - Major Diversified
ABGSHIP.BO|ABG Shipyard Ltd |Industrial Goods|Aerospace/Defense - Major Diversified
ABGSHIP.NS|ABG Shipyard Ltd |Industrial Goods|Aerospace/Defense - Major Diversified
DS1.DE|Acorn Energy Inc |Industrial Goods|Aerospace/Defense - Major Diversified
GCY.DE|Aerojet Rocketdyne |Industrial Goods|Aerospace/Defense - Major Diversified
AJRD|Aerojet Rocketdyne Holdings, I |Industrial Goods|Aerospace/Defense - Major Diversified
AMA.V|AeroMechanical Services Ltd. |Industrial Goods|Aerospace/Defense - Major Diversified
JPX.DE|AeroVironment Inc |Industrial Goods|Aerospace/Defense - Major Diversified
EAD.DE|Airbus Group NV |Industrial Goods|Aerospace/Defense - Major Diversified
EAD.PA|Airbus Group NV |Industrial Goods|Aerospace/Defense - Major Diversified
A04.SI|ASL Marine Holdings Ltd |Industrial Goods|Aerospace/Defense - Major Diversified
SP5A.DE|Astrotech Corp |Industrial Goods|Aerospace/Defense - Major Diversified
ASB.AX|Austal Ltd |Industrial Goods|Aerospace/Defense - Major Diversified
AVP.TO|Avcorp Industries Inc |Industrial Goods|Aerospace/Defense - Major Diversified
0232.HK|AVIC International |Industrial Goods|Aerospace/Defense - Major Diversified
CTQ.DE|AVIC International Holdin |Industrial Goods|Aerospace/Defense - Major Diversified
AVT.DE|AviChina Industry |Industrial Goods|Aerospace/Defense - Major Diversified
AVG.L|Avingtrans PLC |Industrial Goods|Aerospace/Defense - Major Diversified
AVON.L|Avon Rubber PLC |Industrial Goods|Aerospace/Defense - Major Diversified
BE1.DE|B/E Aerospace Inc |Industrial Goods|Aerospace/Defense - Major Diversified
BA.L|BAE Systems PLC |Industrial Goods|Aerospace/Defense - Major Diversified
BSP.DE|BAE Systems PLC |Industrial Goods|Aerospace/Defense - Major Diversified
BERGEN.OL|Bergen Group ASA |Industrial Goods|Aerospace/Defense - Major Diversified
BEL.BO|Bharat Electronics Ltd |Industrial Goods|Aerospace/Defense - Major Diversified
BEL.NS|Bharat Electronics Ltd |Industrial Goods|Aerospace/Defense - Major Diversified
