More Info|Industry: Diversified Machinery |Industrial Goods|Diversified Machinery
AACA.DE|Aalberts Industries NV |Industrial Goods|Diversified Machinery
ABB.BO|ABB India Ltd |Industrial Goods|Diversified Machinery
ABB.NS|ABB India Ltd |Industrial Goods|Diversified Machinery
ABB.ST|ABB Ltd |Industrial Goods|Diversified Machinery
ABBN.MX|ABB Ltd |Industrial Goods|Diversified Machinery
ABJ.DE|ABB Ltd |Industrial Goods|Diversified Machinery
ABJA.DE|ABB Ltd |Industrial Goods|Diversified Machinery
ABB|ABB Ltd. |Industrial Goods|Diversified Machinery
ACCURATE.BO|Accurate Transformers Ltd |Industrial Goods|Diversified Machinery
ACROW.BO|Acrow India Ltd |Industrial Goods|Diversified Machinery
A6E.DE|ACTA SpA |Industrial Goods|Diversified Machinery
ACTA.L|ACTA SpA |Industrial Goods|Diversified Machinery
AC3.DE|Active Power Inc |Industrial Goods|Diversified Machinery
ACPW|Active Power Inc. |Industrial Goods|Diversified Machinery
PW9.DE|Actuant Corp |Industrial Goods|Diversified Machinery
ATU|Actuant Corporation |Industrial Goods|Diversified Machinery
ADEP|Adept Technology Inc. |Industrial Goods|Diversified Machinery
ADORFO.BO|Ador Fontech Ltd |Industrial Goods|Diversified Machinery
ADORWELD.NS|Ador Welding Ltd |Industrial Goods|Diversified Machinery
ADORWELDING.BO|Ador Welding Ltd |Industrial Goods|Diversified Machinery
MARSONS.BO|Advance Powerinfra Tech Ltd |Industrial Goods|Diversified Machinery
VSJ.DE|Advanced Vision Technology Ltd |Industrial Goods|Diversified Machinery
AGE.DE|Agfa-Gevaert NV |Industrial Goods|Diversified Machinery
AGFB.BR|Agfa-Gevaert NV |Industrial Goods|Diversified Machinery
AGSO|AgriSolar Solutions, Inc. |Industrial Goods|Diversified Machinery
AIAENG.BO|AIA Engineering Ltd |Industrial Goods|Diversified Machinery
AIAENG.NS|AIA Engineering Ltd |Industrial Goods|Diversified Machinery
ALX.DE|Alexanderwerk AG |Industrial Goods|Diversified Machinery
AA9.DE|Alfa Laval AB |Industrial Goods|Diversified Machinery
ALFA.ST|Alfa Laval AB |Industrial Goods|Diversified Machinery
ALFATRAN.BO|Alfa Transformers Ltd |Industrial Goods|Diversified Machinery
ALFREDHE.BO|Alfred Herbert India Ltd |Industrial Goods|Diversified Machinery
1514.TW|Allis Electric Co Ltd |Industrial Goods|Diversified Machinery
ALPGRAPH.BO|Alpha Graphic India Ltd |Industrial Goods|Diversified Machinery
ATF.DE|Alphaform AG |Industrial Goods|Diversified Machinery
ALO.PA|Alstom SA |Industrial Goods|Diversified Machinery
ALONV.PA|Alstom SA |Industrial Goods|Diversified Machinery
AOMD.DE|Alstom SA |Industrial Goods|Diversified Machinery
AREVA.BO|ALSTOM T&D India Ltd |Industrial Goods|Diversified Machinery
AACS|American Commerce Solutions In |Industrial Goods|Diversified Machinery
ADGE|American DG Energy, Inc. |Industrial Goods|Diversified Machinery
QAT1.DE|American Electric |Industrial Goods|Diversified Machinery
AK1.DE|Ametek Inc |Industrial Goods|Diversified Machinery
AME|Ametek Inc. |Industrial Goods|Diversified Machinery
AP|Ampco-Pittsburgh Corp. |Industrial Goods|Diversified Machinery
1528.TW|Anderson Industrial Corp |Industrial Goods|Diversified Machinery
ANDREWYU.BO|Andrew Yule & Co Ltd |Industrial Goods|Diversified Machinery
EL5A.DE|Arotech Corp |Industrial Goods|Diversified Machinery
ARTSONEN.BO|Artson Engineering Ltd |Industrial Goods|Diversified Machinery
DKC.DE|Asia Tele-Net And Tech |Industrial Goods|Diversified Machinery
ASBE.L|Associated British Eng |Industrial Goods|Diversified Machinery
OEE.V|Astrix Networks Inc |Industrial Goods|Diversified Machinery
ACOA.DE|Atlas Copco AB |Industrial Goods|Diversified Machinery
ACOB.DE|Atlas Copco AB |Industrial Goods|Diversified Machinery
ATCO-A.ST|Atlas Copco AB |Industrial Goods|Diversified Machinery
ATCO-B.ST|Atlas Copco AB |Industrial Goods|Diversified Machinery
ATA.TO|ATS Automation Tooling |Industrial Goods|Diversified Machinery
ATO.DE|ATS Automation Tooling |Industrial Goods|Diversified Machinery
6215.TW|Aurotek Corp |Industrial Goods|Diversified Machinery
1530.TW|Awea Mechantronic Co Ltd |Industrial Goods|Diversified Machinery
AXTEL.BO|Axtel Industries Ltd |Industrial Goods|Diversified Machinery
YMK.DE|Azbil Corp |Industrial Goods|Diversified Machinery
AZZ|AZZ incorporated |Industrial Goods|Diversified Machinery
BBTO-B.ST|B&B Tools AB |Industrial Goods|Diversified Machinery
BTT.DE|Babcock-BSH AG |Industrial Goods|Diversified Machinery
BAJAJST.BO|Bajaj Steel Industries Ltd |Industrial Goods|Diversified Machinery
BLD.TO|Ballard Power Systems, Inc. |Industrial Goods|Diversified Machinery
PO0.DE|Ballard Power Systems, Inc. |Industrial Goods|Diversified Machinery
BAUH10.SA|Bardella Industrias |Industrial Goods|Diversified Machinery
BG4.DE|Barnes Group Inc |Industrial Goods|Diversified Machinery
BATLIBOI.BO|Batliboi Ltd |Industrial Goods|Diversified Machinery
BEIA-B.ST|Beijer Alma AB |Industrial Goods|Diversified Machinery
BEIJ-B.ST|Beijer Ref AB |Industrial Goods|Diversified Machinery
0187.HK|Beiren Printing Machinery |Industrial Goods|Diversified Machinery
BEMHY.BO|Bemco Hydraulics Ltd |Industrial Goods|Diversified Machinery
BECREL.NS|Best & Crompton |Industrial Goods|Diversified Machinery
BSTCR.BO|Best & Crompton |Industrial Goods|Diversified Machinery
BBL.BO|Bharat Bijlee Ltd |Industrial Goods|Diversified Machinery
BBL.NS|Bharat Bijlee Ltd |Industrial Goods|Diversified Machinery
BHEL.BO|Bharat Heavy Electricals Ltd. |Industrial Goods|Diversified Machinery
BHEL.NS|Bharat Heavy Electricals Ltd. |Industrial Goods|Diversified Machinery
BSS.MI|Biesse |Industrial Goods|Diversified Machinery
BILPOWER.NS|Bilpower Ltd |Industrial Goods|Diversified Machinery
BILPOWERQ.BO|Bilpower Ltd |Industrial Goods|Diversified Machinery
0039.HK|Bio-Dynamic Group Ltd. |Industrial Goods|Diversified Machinery
BIRLAPOWER.BO|Birla Power Solutions Ltd |Industrial Goods|Diversified Machinery
BOY.L|Bodycote PLC |Industrial Goods|Diversified Machinery
BSY.DE|Boewe Systec AG |Industrial Goods|Diversified Machinery
BLZ.MI|Bolzoni |Industrial Goods|Diversified Machinery
BKN.AX|Bradken Ltd |Industrial Goods|Diversified Machinery
BRADYM.BO|Brady & Morris Eng Co |Industrial Goods|Diversified Machinery
BGG|Briggs & Stratton Corporation |Industrial Goods|Diversified Machinery
9IR.DE|Broadwind Energy Inc |Industrial Goods|Diversified Machinery
BWEN|Broadwind Energy, Inc. |Industrial Goods|Diversified Machinery
BUHA.DE|Bucher Industries AG |Industrial Goods|Diversified Machinery
B5H.DE|Burckhardt Compression |Industrial Goods|Diversified Machinery
2467.TW|C Sun Mfg Ltd |Industrial Goods|Diversified Machinery
TBN.DE|Capstone Turbine Corp |Industrial Goods|Diversified Machinery
C1C.DE|Cargotec Oyj |Industrial Goods|Diversified Machinery
CARR.MI|Carraro |Industrial Goods|Diversified Machinery
CGS.L|Castings PLC |Industrial Goods|Diversified Machinery
CENLUB.BO|Cenlub Industries Ltd |Industrial Goods|Diversified Machinery
CFU.AX|Ceramic Fuel Cells Ltd |Industrial Goods|Diversified Machinery
HN6.DE|Ceramic Fuel Cells Ltd |Industrial Goods|Diversified Machinery
CMH.L|Chamberlin PLC |Industrial Goods|Diversified Machinery
1541.TW|Chang Type Industrial Co Ltd |Industrial Goods|Diversified Machinery
CHJ.DE|Chen Hsong Holdings Ltd |Industrial Goods|Diversified Machinery
0057.HK|Chen Hsong Holdings Ltd. |Industrial Goods|Diversified Machinery
CHMR|Chimera Energy Corporation |Industrial Goods|Diversified Machinery
3CAA.DE|China Automation Group Ltd |Industrial Goods|Diversified Machinery
AD7.SI|China Bearing (Singapore) Ltd |Industrial Goods|Diversified Machinery
0085.HK|China Electronics |Industrial Goods|Diversified Machinery
CT1.DE|China Energine |Industrial Goods|Diversified Machinery
0445.HK|China Fire Safety |Industrial Goods|Diversified Machinery
0658.HK|China High Speed |Industrial Goods|Diversified Machinery
BGR.DE|China High Speed |Industrial Goods|Diversified Machinery
CMUA.DE|China Ming Yang Wind |Industrial Goods|Diversified Machinery
MY|China Ming Yang Wind Power Gro |Industrial Goods|Diversified Machinery
1893.HK|China National Materials |Industrial Goods|Diversified Machinery
1101.HK|China Rongsheng Heavy |Industrial Goods|Diversified Machinery
0235.HK|China Strategic Holdings Ltd. |Industrial Goods|Diversified Machinery
CYD|China Yuchai International Lim |Industrial Goods|Diversified Machinery
CYD.DE|China Yuchai International Ltd |Industrial Goods|Diversified Machinery
1539.TW|Chiu Ting Machinery Co Ltd |Industrial Goods|Diversified Machinery
1513.TW|Chung-Hsin Electric |Industrial Goods|Diversified Machinery
CCI.DE|Circor International Inc |Industrial Goods|Diversified Machinery
CLNT|Cleantech Solutions Internatio |Industrial Goods|Diversified Machinery
CLNT|Cleantech Solutions Internatio |Industrial Goods|Diversified Machinery
C52.DE|Colfax Corp |Industrial Goods|Diversified Machinery
CFX|Colfax Corporation |Industrial Goods|Diversified Machinery
AXF.DE|Const y Auxiliar |Industrial Goods|Diversified Machinery
CUO|Continental Materials Corp. |Industrial Goods|Diversified Machinery
CRA.L|Corac Group PLC |Industrial Goods|Diversified Machinery
CSB.DE|COSCO International |Industrial Goods|Diversified Machinery
0118.HK|Cosmos Machinery Enterpri |Industrial Goods|Diversified Machinery
CZN.DE|Crane Co |Industrial Goods|Diversified Machinery
CR|Crane Co. |Industrial Goods|Diversified Machinery
MLCTA.PA|CTA Holding |Industrial Goods|Diversified Machinery
CUM.DE|Cummins Inc |Industrial Goods|Diversified Machinery
CMI|Cummins Inc. |Industrial Goods|Diversified Machinery
CUMMINS.BO|Cummins India Ltd |Industrial Goods|Diversified Machinery
CUMMINSIN.NS|Cummins India Ltd |Industrial Goods|Diversified Machinery
CW|Curtiss-Wright Corporation |Industrial Goods|Diversified Machinery
CVV|CVD Equipment Corporation |Industrial Goods|Diversified Machinery
DAP.DE|Danaher Corp |Industrial Goods|Diversified Machinery
DHR|Danaher Corp. |Industrial Goods|Diversified Machinery
DAN.MI|Danieli & C Officine |Industrial Goods|Diversified Machinery
DANR.MI|Danieli & C Officine |Industrial Goods|Diversified Machinery
DLC.MI|Delclima SpA |Industrial Goods|Diversified Machinery
DELTAMAG.BO|Delta Magnets Ltd |Industrial Goods|Diversified Machinery
0065.HK|DeTeam Co., Ltd. |Industrial Goods|Diversified Machinery
DEZ.DE|Deutz AG |Industrial Goods|Diversified Machinery
DIACABLE.BO|Diamond Power |Industrial Goods|Diversified Machinery
DIAPOWER.NS|Diamond Power |Industrial Goods|Diversified Machinery
DISAQ.BO|Disa India Ltd |Industrial Goods|Diversified Machinery
DIS.DE|Diskus Werke AG |Industrial Goods|Diversified Machinery
DNZ.DE|Donaldson Co Inc |Industrial Goods|Diversified Machinery
DCI|Donaldson Company, Inc. |Industrial Goods|Diversified Machinery
DEU.DE|Dongfang Electric Corp Ltd |Industrial Goods|Diversified Machinery
DOPPLER.AT|Doppler SA |Industrial Goods|Diversified Machinery
DOV.DE|Dover Corp |Industrial Goods|Diversified Machinery
DOV|Dover Corporation |Industrial Goods|Diversified Machinery
DRC|Dresser-Rand Group Inc. |Industrial Goods|Diversified Machinery
DKA.DE|Duerkopp Adler AG |Industrial Goods|Diversified Machinery
DUE.DE|Duerr AG |Industrial Goods|Diversified Machinery
DRC.DE|Duroc AB |Industrial Goods|Diversified Machinery
DURC-B.ST|Duroc AB |Industrial Goods|Diversified Machinery
DYA.V|Dynamic Fuel Systems Inc. |Industrial Goods|Diversified Machinery
CWO.L|Eastbridge Investments PLC |Industrial Goods|Diversified Machinery
EASUNREY.BO|Easun Reyrolle Ltd. |Industrial Goods|Diversified Machinery
EASUNREYR.NS|Easun Reyrolle Ltd. |Industrial Goods|Diversified Machinery
ENJO-B.ST|EasyFill AB |Industrial Goods|Diversified Machinery
ECC.DE|Eaton Corp PLC |Industrial Goods|Diversified Machinery
ETN|Eaton Corporation plc |Industrial Goods|Diversified Machinery
EAR.DE|Ebara Corp |Industrial Goods|Diversified Machinery
ECANV.PA|Eca |Industrial Goods|Diversified Machinery
ECASA.PA|Eca |Industrial Goods|Diversified Machinery
ECE.BO|ECE Industries Ltd |Industrial Goods|Diversified Machinery
ECEIND.NS|ECE Industries Ltd |Industrial Goods|Diversified Machinery
ESPH|Ecosphere Technologies, Inc. |Industrial Goods|Diversified Machinery
ESPH|Ecosphere Technologies, Inc. |Industrial Goods|Diversified Machinery
ECTYQ|ECOtality, Inc. |Industrial Goods|Diversified Machinery
ECTYQ|ECOtality, Inc. |Industrial Goods|Diversified Machinery
EIMCO.BO|Eimco Elecon India Ltd |Industrial Goods|Diversified Machinery
EIMCOELEC.NS|Eimco Elecon India Ltd |Industrial Goods|Diversified Machinery
ELECON.BO|Elecon Engineering Co Ltd |Industrial Goods|Diversified Machinery
ELECON.NS|Elecon Engineering Co Ltd |Industrial Goods|Diversified Machinery
ELGIEQUIP.BO|Elgi Equipments Ltd |Industrial Goods|Diversified Machinery
ELGIEQUIP.NS|Elgi Equipments Ltd |Industrial Goods|Diversified Machinery
EK9.DE|Eltek ASA |Industrial Goods|Diversified Machinery
ELT.OL|Eltek ASA |Industrial Goods|Diversified Machinery
EMAINDIA.BO|Ema India Ltd |Industrial Goods|Diversified Machinery
EMR.DE|Emerson Electric Co |Industrial Goods|Diversified Machinery
EMR.MX|Emerson Electric Co |Industrial Goods|Diversified Machinery
ETQ.L|Energy Technique PLC |Industrial Goods|Diversified Machinery
DUL.AX|Energy Technologies Limited |Industrial Goods|Diversified Machinery
EGY.AX|Energy Technologies Ltd |Industrial Goods|Diversified Machinery
ENVAIREL.BO|Envair Electrodyne Ltd |Industrial Goods|Diversified Machinery
EVTN|Enviro Voraxial Technology Inc |Industrial Goods|Diversified Machinery
ETCC|Environmental Tectonics Corpor |Industrial Goods|Diversified Machinery
E4U.DE|EnWave Corp |Industrial Goods|Diversified Machinery
ENW.V|EnWave Corp |Industrial Goods|Diversified Machinery
