More Info|Industry: Metal Fabrication |Industrial Goods|Metal Fabrication
CAS|A. M. Castle & Co. |Industrial Goods|Metal Fabrication
ABCBEARS.BO|ABC Bearings Ltd |Industrial Goods|Metal Fabrication
4QM.DE|ADF Group Inc |Industrial Goods|Metal Fabrication
DRX.TO|ADF Group Inc |Industrial Goods|Metal Fabrication
ADTYFRG.BO|Aditya Forge Ltd |Industrial Goods|Metal Fabrication
AHMEDFO.BO|Ahmednagar Forgings Ltd |Industrial Goods|Metal Fabrication
AHMEDFORG.NS|Ahmednagar Forgings Ltd |Industrial Goods|Metal Fabrication
ENKEI.NS|Alicon Castalloy Ltd |Industrial Goods|Metal Fabrication
ENKEICAQ.BO|Alicon Castalloy Ltd |Industrial Goods|Metal Fabrication
ATD.DE|Allegheny Technologies Inc |Industrial Goods|Metal Fabrication
ATI|Allegheny Technologies Inc. |Industrial Goods|Metal Fabrication
A13.SI|Allied Technologies Ltd |Industrial Goods|Metal Fabrication
C60.SI|Amplefield Ltd |Industrial Goods|Metal Fabrication
M1P.SI|Amtek Engineering Ltd |Industrial Goods|Metal Fabrication
ARCW|ARC Group Worldwide, Inc. |Industrial Goods|Metal Fabrication
ARCOTECH.BO|Arcotech Ltd |Industrial Goods|Metal Fabrication
BEKB.BR|Bekaert |Industrial Goods|Metal Fabrication
BILENERGY.NS|Bil Energy Systems Ltd |Industrial Goods|Metal Fabrication
BIS.AX|Bisalloy Steel Group Ltd |Industrial Goods|Metal Fabrication
MPITR.AT|Bitros Holdings SA |Industrial Goods|Metal Fabrication
BMT.L|Braime (T F & J H) |Industrial Goods|Metal Fabrication
BMTO.L|Braime (T F & J H) |Industrial Goods|Metal Fabrication
XTY.DE|Carpenter Technology Corp |Industrial Goods|Metal Fabrication
CRS|Carpenter Technology Corp. |Industrial Goods|Metal Fabrication
GTLS|Chart Industries Inc. |Industrial Goods|Metal Fabrication
C50.SI|Cheung Woh Technologies Ltd |Industrial Goods|Metal Fabrication
CSTM|Constellium N.V |Industrial Goods|Metal Fabrication
2415.TW|Cx Technology Corp |Industrial Goods|Metal Fabrication
CYM.V|Cymat Tech |Industrial Goods|Metal Fabrication
CYM.V|Cymat Tech |Industrial Goods|Metal Fabrication
DM5.DE|Dynamic Materials Corp |Industrial Goods|Metal Fabrication
BOOM|Dynamic Materials Corp. |Industrial Goods|Metal Fabrication
ELFORGE.BO|El Forge Ltd |Industrial Goods|Metal Fabrication
ELFORGE.NS|El Forge Ltd |Industrial Goods|Metal Fabrication
BAUH206.SA|Electro Aco Altona SA |Industrial Goods|Metal Fabrication
BAZA203.SA|Electro Aco Altona SA |Industrial Goods|Metal Fabrication
ELECTHERM.NS|Electrotherm India Ltd |Industrial Goods|Metal Fabrication
ELETHERB.BO|Electrotherm India Ltd |Industrial Goods|Metal Fabrication
GZT.DE|EVA Precision Industrial |Industrial Goods|Metal Fabrication
