More Info|Industry: Grocery Stores |Services|Grocery Stores
AH.MI|Ahold Kon |Services|Grocery Stores
ATD-A.TO|Alimentation Couche-Tard Inc |Services|Grocery Stores
ATD-B.TO|Alimentation Couche-Tard Inc |Services|Grocery Stores
BAUH495.SA|Brazilian Distribution Company |Services|Grocery Stores
CA.PA|Carrefour |Services|Grocery Stores
CAR.DE|Carrefour |Services|Grocery Stores
CRERFN.MX|Carrefour |Services|Grocery Stores
CRR.MI|Carrefour |Services|Grocery Stores
CS2.DE|Casey's General Stores Inc |Services|Grocery Stores
CASY|Casey's General Stores, Inc. |Services|Grocery Stores
CAJ.DE|Casino Guichard-Perrachon |Services|Grocery Stores
CO.PA|Casino Guichard-Perrachon |Services|Grocery Stores
0N4Y.L|Colruyt |Services|Grocery Stores
COLR.BR|Colruyt |Services|Grocery Stores
EFC.DE|Colruyt |Services|Grocery Stores
CBD|Companhia Brasileira de Distri |Services|Grocery Stores
CVR.L|Conviviality Retail PLC |Services|Grocery Stores
CRAW.L|Crawshaw Group PLC |Services|Grocery Stores
D01.SI|Dairy Farm Intl Hldgs |Services|Grocery Stores
DFA1.DE|Dairy Farm Intl Hldgs |Services|Grocery Stores
DFIB.L|Dairy Farm Intl Hldgs |Services|Grocery Stores
DELB.BR|Delhaize Group SA |Services|Grocery Stores
DHZ.DE|Delhaize Group SA |Services|Grocery Stores
DHZA.DE|Delhaize Group SA |Services|Grocery Stores
EMP-A.TO|Empire Co Ltd |Services|Grocery Stores
DEG|Etablissements Delhaize Fr |Services|Grocery Stores
FWM|Fairway Group Holdings Corp. |Services|Grocery Stores
WN-PE.TO|George Weston Limited |Services|Grocery Stores
WN.TO|George Weston Limited |Services|Grocery Stores
WX5.DE|George Weston Limited |Services|Grocery Stores
GCNT|Global Condiments, Inc., Prior |Services|Grocery Stores
GRG.L|Greggs PLC |Services|Grocery Stores
CHDRAUIB.MX|Grupo Comercial Chedraui |Services|Grocery Stores
GUF.V|Gulf & Pacific Equities Corp |Services|Grocery Stores
HUO.AX|Huon Aquaculture Group Ltd |Services|Grocery Stores
IMKTA|Ingles Markets, Incorporated |Services|Grocery Stores
KMOL.AT|Karamolegos Bakery Industry SA |Services|Grocery Stores
KEK.DE|Kesko Oyj |Services|Grocery Stores
AHOB.DE|Koninklijke Ahold NV |Services|Grocery Stores
KOG.DE|Kroger Co |Services|Grocery Stores
0915.HK|Linmark Group Ltd. |Services|Grocery Stores
L-PA.TO|Loblaw Companies Ltd |Services|Grocery Stores
L.TO|Loblaw Companies Ltd |Services|Grocery Stores
L8G.DE|Loblaw Companies Ltd |Services|Grocery Stores
MRU-A.TO|Metro Inc |Services|Grocery Stores
MRW.L|Morrison (Wm) Supermarkets PLC |Services|Grocery Stores
MZP.DE|Morrison (Wm) Supermarkets PLC |Services|Grocery Stores
NGVC|Natural Grocers by Vitamin Cot |Services|Grocery Stores
NWC.TO|North West Co Inc |Services|Grocery Stores
0OC.DE|Ocado Group PLC |Services|Grocery Stores
OCDO.L|Ocado Group PLC |Services|Grocery Stores
QKLS|QKL Stores Inc. |Services|Grocery Stores
RAL.PA|Rallye |Services|Grocery Stores
RAY.DE|Rallye |Services|Grocery Stores
REISIXTEN.BO|REI Six Ten Retail Ltd |Services|Grocery Stores
REISIXTEN.NS|REI Six Ten Retail Ltd |Services|Grocery Stores
RNDY|Roundy's, Inc. |Services|Grocery Stores
SWY.DE|Safeway Inc |Services|Grocery Stores
SBRY.L|Sainsbury (J) PLC |Services|Grocery Stores
SUY1.DE|Sainsbury (J) PLC |Services|Grocery Stores
S6M.DE|Seven & i Holdings Co Ltd |Services|Grocery Stores
OV8.SI|Sheng Siong Group Ltd |Services|Grocery Stores
8SF.DE|Sligro Food Group |Services|Grocery Stores
SFS|Smart & Final Stores, Inc. |Services|Grocery Stores
YSON.DE|Sonae SGPS SA |Services|Grocery Stores
SFM|Sprouts Farmers Market, Inc. |Services|Grocery Stores
SJ1.DE|SUPERVALU Inc |Services|Grocery Stores
SVU|SUPERVALU Inc. |Services|Grocery Stores
TCO.DE|Tesco PLC |Services|Grocery Stores
TSCO.L|Tesco PLC |Services|Grocery Stores
TFM|The Fresh Market, Inc. |Services|Grocery Stores
KR|The Kroger Co. |Services|Grocery Stores
UNY.DE|UNY Group Holdings Co Ltd |Services|Grocery Stores
VLGEA|Village Super Market Inc. |Services|Grocery Stores
WMK|Weis Markets, Inc. |Services|Grocery Stores
WES.AX|Wesfarmers Ltd |Services|Grocery Stores
WF3.DE|Wesfarmers Ltd |Services|Grocery Stores
WFM.DE|Whole Foods Market Inc |Services|Grocery Stores
WFM|Whole Foods Market, Inc. |Services|Grocery Stores
WOW.AX|Woolworths Ltd |Services|Grocery Stores
WWR.DE|Woolworths Ltd |Services|Grocery Stores
PJP.DE|X5 Retail Group NV |Services|Grocery Stores
