More Info|Industry: Movie Production, Theaters |Services|Movie Production, Theaters
AMC|AMC Entertainment Holdings, In |Services|Movie Production, Theaters
CKEC|Carmike Cinemas Inc. |Services|Movie Production, Theaters
CNK|Cinemark Holdings Inc. |Services|Movie Production, Theaters
DWA|DreamWorks Animation SKG Inc. |Services|Movie Production, Theaters
EROS|Eros International Plc |Services|Movie Production, Theaters
GBHL|Global Entertainment Holdings, |Services|Movie Production, Theaters
IFLM|Independent Film Development C |Services|Movie Production, Theaters
JUNP|Juniper Group Inc. |Services|Movie Production, Theaters
LGF|Lions Gate Entertainment Corp. |Services|Movie Production, Theaters
LGF.V|Lions Gate Entertainment Corp. |Services|Movie Production, Theaters
LYFE|LYFE Communications, Inc. |Services|Movie Production, Theaters
PTSX|Point.360 |Services|Movie Production, Theaters
PUBQQ|Public Media Works Inc. |Services|Movie Production, Theaters
RDI|Reading International, Inc. |Services|Movie Production, Theaters
RLD|RealD Inc. |Services|Movie Production, Theaters
RGC|Regal Entertainment Group |Services|Movie Production, Theaters
SAPX|Seven Arts Entertainment, Inc. |Services|Movie Production, Theaters
SAPX|Seven Arts Pictures plc |Services|Movie Production, Theaters
