More Info|Industry: Restaurants |Services|Restaurants
AW-UN.TO|A&W Revenue Royalties Inc |Services|Restaurants
533.SI|ABR Holdings Ltd |Services|Restaurants
AJN.DE|Ajisen (China) Holdings Ltd |Services|Restaurants
0538.HK|Ajisen (China) Holdings Ltd. |Services|Restaurants
4FU.DE|Alsea SAB de CV |Services|Restaurants
ALSEA.MX|Alsea SAB de CV |Services|Restaurants
ARKR|Ark Restaurants Corp. |Services|Restaurants
AGL.MI|Autogrill |Services|Restaurants
AUL.DE|Autogrill |Services|Restaurants
BLOI.PA|Bernard Loiseau |Services|Restaurants
BH|Biglari Holdings Inc. |Services|Restaurants
BJRI|BJ's Restaurants, Inc. |Services|Restaurants
BLMN|Bloomin' Brands, Inc. |Services|Restaurants
BLU.MI|Blue Note SpA |Services|Restaurants
BLUU|Blue Water Global Group, Inc. |Services|Restaurants
BLUU|Blue Water Global Group, Inc. |Services|Restaurants
BOBE|Bob Evans Farms, Inc. |Services|Restaurants
BOMBCYC.BO|Bombay Cycle & Motor |Services|Restaurants
BPF-UN.TO|Boston Pizza Royalties |Services|Restaurants
BBRG|Bravo Brio Restaurant Group, I |Services|Restaurants
BOBS|Brazil Fast Food Corp. |Services|Restaurants
5DA.SI|BreadTalk Group Ltd |Services|Restaurants
BKJ.DE|Brinker International Inc |Services|Restaurants
EAT|Brinker International, Inc. |Services|Restaurants
BWLD|Buffalo Wild Wings Inc. |Services|Restaurants
BFW.NZ|Burger Fuel Worldwide Ltd |Services|Restaurants
XCD.DE|Cafe de Coral Holdings Ltd |Services|Restaurants
0341.HK|Cafe de Coral Holdings Ltd. |Services|Restaurants
TAST|Carrols Restaurant Group, Inc. |Services|Restaurants
HOTR|Chanticleer Holdings, Inc. |Services|Restaurants
CF2.DE|Cheesecake Factory Inc |Services|Restaurants
0228.HK|China Energy Develop |Services|Restaurants
0611.HK|China Nuclear Industry 23 |Services|Restaurants
C9F.DE|Chipotle Mexican Grill Inc |Services|Restaurants
CMG|Chipotle Mexican Grill, Inc. |Services|Restaurants
CHUY|Chuy's Holdings, Inc. |Services|Restaurants
CMRB.MX|CMR |Services|Restaurants
CKF.AX|Collins Foods Ltd |Services|Restaurants
CPG.L|Compass Group PLC |Services|Restaurants
COSI|Cosi Inc. |Services|Restaurants
CCSC|Country Style Cooking Restaura |Services|Restaurants
OLD.DE|Cracker Barrel |Services|Restaurants
CBRL|Cracker Barrel Old Country Sto |Services|Restaurants
DDN.DE|Darden Restaurants Inc |Services|Restaurants
DRI|Darden Restaurants, Inc. |Services|Restaurants
DFRG|Del Frisco's Restaurant Group, |Services|Restaurants
DE8.DE|Denny's Corp |Services|Restaurants
DENN|Denny's Corporation |Services|Restaurants
DIN|DineEquity, Inc. |Services|Restaurants
BAGR|Diversified Restaurant Holding |Services|Restaurants
DMP.AX|Domino's Pizza Enterprises Ltd |Services|Restaurants
DOM.L|Domino's Pizza Group PLC |Services|Restaurants
EZV.DE|Domino's Pizza Inc |Services|Restaurants
DPZ|Domino's Pizza, Inc. |Services|Restaurants
0668.HK|Dowell Property Holdings Ltd |Services|Restaurants
DPP.L|DP Poland PLC |Services|Restaurants
DNKN|Dunkin' Brands Group, Inc. |Services|Restaurants
BAR.L|Eclectic Bar Group PLC |Services|Restaurants
LOCO|El Pollo Loco Holdings, Inc. |Services|Restaurants
ELIOR.PA|Elior Participations SCA |Services|Restaurants
ETI.L|Enterprise Inns PLC |Services|Restaurants
IJIA.DE|Enterprise Inns PLC |Services|Restaurants
0052.HK|Fairwood Holdings Ltd. |Services|Restaurants
DAVE|Famous Dave's of America Inc. |Services|Restaurants
FRGI|Fiesta Restaurant Group, Inc. |Services|Restaurants
FLO.PA|Flo (Groupe) |Services|Restaurants
FRS|Frisch's Restaurants, Inc. |Services|Restaurants
1175.HK|FU JI Food & Catering Ser |Services|Restaurants
FUL.L|Fulham Shore (The) PLC |Services|Restaurants
FSTA.L|Fuller Smith & Turner PLC |Services|Restaurants
0657.HK|G-Vision International |Services|Restaurants
GLXYENT.BO|Galaxy Entertainment Corp Ltd |Services|Restaurants
GIGL|Giggles N' Hugs, Inc. |Services|Restaurants
GIGL|Giggles N' Hugs, Inc. |Services|Restaurants
GBR.L|Global Brands S.A. |Services|Restaurants
GTIM|Good Times Restaurants Inc. |Services|Restaurants
GTIM|Good Times Restaurants Inc. |Services|Restaurants
GCFB|Granite City Food & Brewery Lt |Services|Restaurants
GNK.DE|Greene King PLC |Services|Restaurants
GNK.L|Greene King PLC |Services|Restaurants
HVT.L|Heavitree Brewery PLC |Services|Restaurants
HVTA.L|Heavitree Brewery PLC |Services|Restaurants
IRG|Ignite Restaurant Group, Inc. |Services|Restaurants
IRG.TO|Imvescor Restaurant Group Inc |Services|Restaurants
IMCH3.SA|International Meal |Services|Restaurants
JBX.DE|Jack In The Box Inc |Services|Restaurants
JACK|Jack in the Box Inc. |Services|Restaurants
XJA.DE|Jamba Inc |Services|Restaurants
JMBA|Jamba, Inc. |Services|Restaurants
JUBLFOOD.BO|Jubilant Foodworks Ltd |Services|Restaurants
JUBLFOOD.NS|Jubilant Foodworks Ltd |Services|Restaurants
KEG-UN.TO|Keg Royalties Income Fund |Services|Restaurants
KONA|Kona Grill Inc. |Services|Restaurants
KKD.DE|Krispy Kreme Doughnuts Inc |Services|Restaurants
KKD|Krispy Kreme Doughnuts, Inc. |Services|Restaurants
