More Info|Industry: Security & Protection Services |Services|Security & Protection Services
8210.HK|Advanced Card Systems |Services|Security & Protection Services
AF.TO|AlarmForce Industries Inc |Services|Security & Protection Services
APVS|Applied Visual Sciences, Inc. |Services|Security & Protection Services
ALAQU.PA|Aquila SA |Services|Security & Protection Services
ASCMA|Ascent Capital Group, Inc. |Services|Security & Protection Services
ASY.V|Avante Logixx Inc |Services|Security & Protection Services
XX.V|Avante Logixx Inc |Services|Security & Protection Services
8095.HK|Beijing Beida Jade Bird |Services|Security & Protection Services
BLPG|Blue Line Protection Group, In |Services|Security & Protection Services
BRV.DE|Brady Corp |Services|Security & Protection Services
PTY.DE|Brink's Co |Services|Security & Protection Services
MLCEC.PA|Cecurity.com |Services|Security & Protection Services
CPI.DE|Checkpoint Systems Inc |Services|Security & Protection Services
CKP|Checkpoint Systems Inc. |Services|Security & Protection Services
8GS.DE|China Specialty Glass AG |Services|Security & Protection Services
MOC|Command Security Corp. |Services|Security & Protection Services
CIX|CompX International Inc. |Services|Security & Protection Services
CXZ.AX|Connexion Media Ltd |Services|Security & Protection Services
CSSG.L|Croma Security Solutions |Services|Security & Protection Services
DGB.L|Digital Barriers PLC |Services|Security & Protection Services
DTI.AX|DTI Group Ltd |Services|Security & Protection Services
EKCS|Electronic Control Security In |Services|Security & Protection Services
ELN.DE|Electronics Line 3000 Ltd |Services|Security & Protection Services
2390.TW|Everspring Industry Co Ltd |Services|Security & Protection Services
HIT.DE|Exceet Group SE |Services|Security & Protection Services
FLX.L|Falanx Group Ltd |Services|Security & Protection Services
FIRE.ST|Firefly AB |Services|Security & Protection Services
G4S.CO|G4S PLC |Services|Security & Protection Services
GFS.L|G4S PLC |Services|Security & Protection Services
GHN.DE|G4S PLC |Services|Security & Protection Services
3356.TW|Geovision Inc |Services|Security & Protection Services
GLOK.L|Global Lock Safety (Intl) |Services|Security & Protection Services
GSAG|Global Security Agency Inc |Services|Security & Protection Services
GRDH|Guardian 8 Holdings |Services|Security & Protection Services
H11.DE|Halma PLC |Services|Security & Protection Services
HLMA.L|Halma PLC |Services|Security & Protection Services
HWSY|Hawk Systems, Inc. |Services|Security & Protection Services
HOMS|Homeland Security Capital Corp |Services|Security & Protection Services
HNIN|Horne International, Inc. |Services|Security & Protection Services
IDW.V|ID Watchdog Inc |Services|Security & Protection Services
IDOI|IDO Security Inc. |Services|Security & Protection Services
IDOIE|IDO Security Inc. |Services|Security & Protection Services
IGE.L|Image Scan Holdings PLC |Services|Security & Protection Services
INKS|InkSure Technologies Inc. |Services|Security & Protection Services
IFIT|iSatori, Inc. |Services|Security & Protection Services
KABN.DE|Kaba Holding AG |Services|Security & Protection Services
KKL.AX|Kollakorn Corp Ltd |Services|Security & Protection Services
WF5A.DE|Kratos Defense & Security |Services|Security & Protection Services
KTOS|Kratos Defense & Security Solu |Services|Security & Protection Services
PCPZ|Leeward Group Holdings Inc. |Services|Security & Protection Services
ILA.L|LiteBulb Group Ltd |Services|Security & Protection Services
LOJN|LoJack Corporation |Services|Security & Protection Services
M22.SI|LottVision Ltd |Services|Security & Protection Services
MAGS|Magal Security Systems Ltd. |Services|Security & Protection Services
ALMGI.PA|MG International |Services|Security & Protection Services
MG|Mistras Group, Inc. |Services|Security & Protection Services
MORT.L|Mortice Ltd |Services|Security & Protection Services
MSA|MSA Safety Incorporated |Services|Security & Protection Services
NTS.V|Nanotech Security Corp |Services|Security & Protection Services
NS1.DE|NAPCO Security |Services|Security & Protection Services
NSSC|Napco Security Technologies, I |Services|Security & Protection Services
NWT.L|Newmark Security PLC |Services|Security & Protection Services
NXTD|Nxt-ID, Inc. |Services|Security & Protection Services
PBCB.DE|Precise Biometrics AB |Services|Security & Protection Services
PREC.ST|Precise Biometrics AB |Services|Security & Protection Services
P4T.DE|primion Technology AG |Services|Security & Protection Services
PRH.DE|Prosegur SA Security Company |Services|Security & Protection Services
SAFE.ST|Safe at Sea AB |Services|Security & Protection Services
XSC.DE|SECOM Co Ltd |Services|Security & Protection Services
S7MB.DE|Securitas AB |Services|Security & Protection Services
SECU-B.ST|Securitas AB |Services|Security & Protection Services
SENS.ST|Sensys Traffic AB |Services|Security & Protection Services
SMME|SmartMetric Inc. |Services|Security & Protection Services
SPARC.BO|Sparc Systems Ltd |Services|Security & Protection Services
SPRP.L|Sprue Aegis PLC |Services|Security & Protection Services
STK.L|SureTrack Monitoring PLC |Services|Security & Protection Services
QDG.L|Synectics PLC |Services|Security & Protection Services
9917.TW|Taiwan Secom Co Ltd |Services|Security & Protection Services
9925.TW|Taiwan Shin Kong Security |Services|Security & Protection Services
ADT|The ADT Corporation |Services|Security & Protection Services
BCO|The Brink's Company |Services|Security & Protection Services
TYC|Tyco International Ltd. |Services|Security & Protection Services
LHN1.DE|Tyco International PLC |Services|Security & Protection Services
UUU|Universal Security Instruments |Services|Security & Protection Services
UVEL.L|Univision Engineering Ltd |Services|Security & Protection Services
VCI.DE|Vicon Industries Inc |Services|Security & Protection Services
VINTRON.BO|Vintron Informatics Ltd |Services|Security & Protection Services
WSG.L|Westminster Group PLC |Services|Security & Protection Services
XNNH|Xenonics Holdings, Inc. |Services|Security & Protection Services
XTE.AX|XTEK Ltd |Services|Security & Protection Services
ZICOM.BO|Zicom Electronic Security |Services|Security & Protection Services
ZICOM.NS|Zicom Electronic Security |Services|Security & Protection Services
