More Info|Industry: Shipping |Services|Shipping
DP4B.DE|A P Moller Maersk AS |Services|Shipping
MUNDRAPOR.BO|Adani Ports & Special |Services|Shipping
MUNDRAPOR.NS|Adani Ports & Special |Services|Shipping
ALC.TO|Algoma Central Corp |Services|Shipping
AMSC.OL|American Shipping Co ASA |Services|Shipping
ANEK.AT|Anek Lines SA |Services|Shipping
ASC|Ardmore Shipping Corporation |Services|Shipping
ASC.V|Ardmore Shipping Corporation |Services|Shipping
A5DA.DE|Arpeni Pratama Ocean Line Tbk |Services|Shipping
EJ1A.DE|Asia Energy logistics |Services|Shipping
ATTICA.AT|Attica Holdings SA |Services|Shipping
O2I.SI|AVIC International |Services|Shipping
BALT|Baltic Trading Limited |Services|Shipping
L8B.DE|Baltic Trading Ltd |Services|Shipping
BEL.OL|Belships ASA |Services|Shipping
BON.OL|Bonheur ASA |Services|Shipping
V7P.DE|Bonheur ASA |Services|Shipping
TEU|Box Ships Inc. |Services|Shipping
BLH.DE|Bremer Lagerhaus-Gesellschaft |Services|Shipping
CNMI.L|Camper & Nicholsons |Services|Shipping
CPLP|Capital Product Partners L.P. |Services|Shipping
2613.TW|China Container Terminal Corp |Services|Shipping
1919.HK|China Cosco Holdings |Services|Shipping
C6G.DE|China Cosco Holdings Co Ltd |Services|Shipping
0144.HK|China Merchants Holdings |Services|Shipping
CPM.DE|China Merchants Holdings |Services|Shipping
0651.HK|China Ocean Shipbuilding |Services|Shipping
1138.HK|China Shipping |Services|Shipping
2866.HK|China Shipping Container |Services|Shipping
EZ5.DE|China Shipping Container |Services|Shipping
HIFH.DE|China Shipping Dev |Services|Shipping
2612.TW|Chinese Maritime Transport Ltd |Services|Shipping
CHOWGSTE.BO|Chowgule Steamships Ltd |Services|Shipping
0560.HK|Chu Kong Shipping |Services|Shipping
CKW.DE|Chu Kong Shipping |Services|Shipping
8233.HK|CIG Yangtze Ports PLC |Services|Shipping
CMB.BR|Compagnie Maritime Belge SA |Services|Shipping
MAIA.DE|Compagnie Maritime Belge SA |Services|Shipping
CCOR-B.ST|Concordia Maritime AB |Services|Shipping
0517.HK|COSCO International |Services|Shipping
CTH.DE|Cosco Pacific Ltd |Services|Shipping
1199.HK|Cosco Pacific Ltd. |Services|Shipping
CMRE|Costamare Inc. |Services|Shipping
E91.SI|Courage Marine Group Ltd |Services|Shipping
2208.TW|CSBC Corp Taiwan |Services|Shipping
B7C.DE|D'Amico |Services|Shipping
DIS.MI|D'Amico |Services|Shipping
D5C.DE|Daiichi Chuo Kisen Kaisha |Services|Shipping
D7P.DE|Dalian Port (PDA) Co Ltd |Services|Shipping
2880.HK|Dalian Port (PDA) Co., Ltd. |Services|Shipping
D69.DE|Dampskibsselskabet NORDEN A/S |Services|Shipping
DNORD.CO|Dampskibsselskabet NORDEN A/S |Services|Shipping
DAC|Danaos Corporation |Services|Shipping
DESSC.OL|Deep Sea Supply PLC |Services|Shipping
ZUW.DE|Deep Sea Supply PLC |Services|Shipping
DFDS.CO|DFDS A/S |Services|Shipping
DHT|DHT Holdings, Inc. |Services|Shipping
DCIX|Diana Containerships Inc. |Services|Shipping
DCIX|Diana Containerships Inc. |Services|Shipping
DSX|Diana Shipping Inc. |Services|Shipping
DSZ.DE|Diana Shipping, Inc. |Services|Shipping
3DW.DE|DP World Ltd |Services|Shipping
DPW.L|DP World Ltd |Services|Shipping
DREDGECOR.NS|Dredging Corp of India Ltd |Services|Shipping
DREDGING.BO|Dredging Corp of India Ltd |Services|Shipping
GQT.DE|DryShips Inc |Services|Shipping
DRYS|DryShips, Inc. |Services|Shipping
DLNG|Dynagas LNG Partners LP |Services|Shipping
EGLE|Eagle Bulk Shipping, Inc. |Services|Shipping
2614.TW|Eastern Media Internation |Services|Shipping
ERRIA.CO|Erria A/S |Services|Shipping
ESSARSHIP.BO|Essar Ports Ltd |Services|Shipping
ESSARSHIP.NS|Essar Ports Ltd |Services|Shipping
EUK3.DE|Eurokai Kgaa |Services|Shipping
ESEA|Euroseas, Ltd. |Services|Shipping
2607.TW|Evergreen International |Services|Shipping
2603.TW|Evergreen Marine (Taiwan) |Services|Shipping
EGMD.L|Evergreen Marine (Taiwan) |Services|Shipping
EXM.BR|Exmar NV |Services|Shipping
FAR.OL|Farstad Shipping ASA |Services|Shipping
FL1.DE|Finnlines PLC |Services|Shipping
D8DU.SI|First Ship Lease Trust |Services|Shipping
LJ9.DE|First Ship Lease Trust |Services|Shipping
2601.TW|First Steamship Co Ltd |Services|Shipping
FORBESCO.BO|Forbes & Company Ltd |Services|Shipping
FREE|FreeSeas Inc. |Services|Shipping
FREE|FreeSeas Inc. |Services|Shipping
FRL.DE|Frontline Ltd |Services|Shipping
FRO.L|Frontline Ltd |Services|Shipping
FRO.OL|Frontline Ltd |Services|Shipping
FROO.ST|Frontline Ltd |Services|Shipping
FRO|Frontline Ltd. |Services|Shipping
GRO.OL|Ganger Rolf ASA |Services|Shipping
V7Q.DE|Ganger Rolf ASA |Services|Shipping
GLOG|GasLog Ltd. |Services|Shipping
GLOP|GasLog Partners LP |Services|Shipping
GSKNF|Genco Shipping & Trading Ltd. |Services|Shipping
GARWOFFS.BO|Global Offshore Services Ltd |Services|Shipping
GARWOFFS.NS|Global Offshore Services Ltd |Services|Shipping
37HA.DE|Global Ship Lease Inc |Services|Shipping
GSL|Global Ship Lease, Inc. |Services|Shipping
GLBS|Globus Maritime Limited |Services|Shipping
G2O.DE|Golar LNG Ltd |Services|Shipping
GLNG|Golar LNG Ltd. |Services|Shipping
GOGL|Golden Ocean Group Limited |Services|Shipping
GOGL.OL|Golden Ocean Group Ltd |Services|Shipping
KT3.DE|Golden Ocean Group Ltd |Services|Shipping
GPRT.L|Goldenport Holdings Inc |Services|Shipping
GESHIP.BO|Great Eastern Shipping Co Ltd |Services|Shipping
GESHIP.NS|Great Eastern Shipping Co Ltd |Services|Shipping
3683.HK|Great Harvest Maeta Group |Services|Shipping
TMMA.MX|Grupo TMM SA |Services|Shipping
GPPL.NS|Gujarat Pipavav Port Ltd |Services|Shipping
HHFA.DE|Hamburger Hafen |Services|Shipping
HHX.DE|Hci Hammonia Shipping AG |Services|Shipping
INHC|Innolog Holdings Corporation |Services|Shipping
ISH|International Shipholding Corp |Services|Shipping
ICGC.L|Irish Continental Group PLC |Services|Shipping
J10.SI|Jaya Holdings Ltd |Services|Shipping
EG0.SI|JES International Holdings Ltd |Services|Shipping
JHU1.DE|Jinhui Holdings Co Ltd |Services|Shipping
0137.HK|Jinhui Holdings Co., Ltd. |Services|Shipping
J4O.DE|Jinhui Shipping |Services|Shipping
JIN.OL|Jinhui Shipping |Services|Shipping
KLI1.DE|Kawasaki Kisen Kaisha Ltd |Services|Shipping
KIY.DE|Kirby Corp |Services|Shipping
KEX|Kirby Corporation |Services|Shipping
VLCCF|Knightsbridge Shipping Limited |Services|Shipping
KNOP|KNOT Offshore Partners LP |Services|Shipping
KDR.DE|Koeln-Duesseldorfer |Services|Shipping
VPK5.DE|Koninklijke Vopak NV |Services|Shipping
BAUH403.SA|Log-In Logistica Intermodal SA |Services|Shipping
LGT-A.TO|Logistec Corp |Services|Shipping
LGT-B.TO|Logistec Corp |Services|Shipping
L02.SI|Manhattan Resources Ltd |Services|Shipping
5LY.SI|Marco Polo Marine Ltd |Services|Shipping
NTH.NZ|Marsden Maritime Holdings Ltd |Services|Shipping
AXR.DE|Matson Inc |Services|Shipping
MATX|Matson, Inc. |Services|Shipping
3KD.DE|Mercator Lines (Singapore) Ltd |Services|Shipping
EE6.SI|Mercator Lines (Singapore) Ltd |Services|Shipping
MINOA.AT|Minoan Lines SA |Services|Shipping
MILA.DE|Mitsui O SK Lines Ltd |Services|Shipping
MRM.AX|MMA Offshore Ltd |Services|Shipping
MOLS.CO|Mols-Linien A/S |Services|Shipping
NVGS|Navigator Holdings Ltd. |Services|Shipping
NNA|Navios Maritime Acquisition Co |Services|Shipping
3NT.DE|Navios Maritime Holdings Inc |Services|Shipping
NM|Navios Maritime Holdings Inc. |Services|Shipping
NAP|Navios Maritime Midstream Part |Services|Shipping
3PX.DE|Navios Maritime Partners L.P. |Services|Shipping
NMM|Navios Maritime Partners L.P. |Services|Shipping
N03.SI|Neptune Orient Lines Ltd |Services|Shipping
NOL.DE|Neptune Orient Lines Ltd |Services|Shipping
NEWL|NewLead Holdings Limited |Services|Shipping
NEWL|NewLead Holdings Ltd. |Services|Shipping
NYKA.DE|Nippon Yusen Kabushiki Kaisha |Services|Shipping
NAO|Nordic American Offshore Ltd. |Services|Shipping
NAT|Nordic American Tankers Limite |Services|Shipping
NAT.V|Nordic American Tankers Limite |Services|Shipping
B3O.DE|Nordic American Tankers Ltd |Services|Shipping
NORDIC.CO|Nordic Shipholding A/S |Services|Shipping
OCN.L|Ocean Wilsons Holdings Ltd |Services|Shipping
O7F.DE|Odfjell SE |Services|Shipping
O7F1.DE|Odfjell SE |Services|Shipping
ODF.OL|Odfjell SE |Services|Shipping
ODFB.OL|Odfjell SE |Services|Shipping
0316.HK|Orient Overseas |Services|Shipping
ORI1.DE|Orient Overseas (Internat |Services|Shipping
OSGB|Overseas Shipholding Group Inc |Services|Shipping
OYD.DE|Pacific Basin Shipping Ltd |Services|Shipping
2343.HK|Pacific Basin Shipping Ltd. |Services|Shipping
T8V.SI|Pacific Radiance Ltd |Services|Shipping
PALS-B.ST|Pallas Group AB |Services|Shipping
PANL|Pangaea Logistics Solutions Lt |Services|Shipping
GZ9.SI|PanOcean Co Ltd |Services|Shipping
3P81.DE|Paragon Shipping Inc |Services|Shipping
PRGN|Paragon Shipping Inc. |Services|Shipping
P5TA.DE|Pelayaran Tempuran Emas Tbk |Services|Shipping
P13.SI|Penguin International Ltd |Services|Shipping
PPA.AT|Piraeus Port Authority SA |Services|Shipping
POT.NZ|Port of Tauranga Ltd |Services|Shipping
PZ9.DE|Precious Shipping PLC |Services|Shipping
PR.MI|Premuda |Services|Shipping
BAUH402.SA|Prumo Logistica SA |Services|Shipping
PRML3.SA|Prumo Logistica SA |Services|Shipping
RLOG|Rand Logistics, Inc. |Services|Shipping
RABT-B.ST|Rederi AB Transatlantic |Services|Shipping
RIS.AX|Richfield International Ltd |Services|Shipping
B1ZU.SI|Rickmers Maritime |Services|Shipping
SBL.DE|Safe Bulkers Inc |Services|Shipping
SB|Safe Bulkers, Inc. |Services|Shipping
S56.SI|Samudera Shipping Line Ltd |Services|Shipping
BAUH630.SA|Santos Brasil Participacoes SA |Services|Shipping
SALT|Scorpio Bulkers Inc. |Services|Shipping
STNG|Scorpio Tankers Inc. |Services|Shipping
SHIP|Seanergy Maritime Holdings Cor |Services|Shipping
SHIP|Seanergy Maritime Holdings Cor |Services|Shipping
S8V.DE|Seaspan Corp |Services|Shipping
SSW|Seaspan Corporation |Services|Shipping
IW5.SI|Seroja Investments Ltd |Services|Shipping
5608.TW|Shih Wei Navigation Co Ltd |Services|Shipping
SFL|Ship Finance International Lim |Services|Shipping
UG6.DE|Ship Finance International Ltd |Services|Shipping
SCI.BO|Shipping Corp of India Ltd |Services|Shipping
SCI.NS|Shipping Corp of India Ltd |Services|Shipping
SHREYAS.NS|Shreyas Shipping |Services|Shipping
SHREYSL.BO|Shreyas Shipping |Services|Shipping
SRI.OL|Siem Shipping Inc. |Services|Shipping
2605.TW|Sincere Navigation Corp |Services|Shipping
S19.SI|Singapore Shipping Corp Ltd |Services|Shipping
W1M.DE|Singapore Shipping Corp Ltd |Services|Shipping
0368.HK|Sinotrans Shipping Limited |Services|Shipping
39J.DE|Sinotrans Shipping Ltd |Services|Shipping
5CN.SI|Sinwa Ltd |Services|Shipping
1308.HK|SITC International |Services|Shipping
SPL.L|SKIL Ports & Logistics Ltd |Services|Shipping
SKSLOGLTD.BO|SKS Logistics Ltd |Services|Shipping
SOLV.OL|Solvang ASA |Services|Shipping
SPN.NZ|South Port New Zealand Ltd |Services|Shipping
SBLK|Star Bulk Carriers Corp. |Services|Shipping
S6W.DE|StealthGas Inc |Services|Shipping
GASS|StealthGas, Inc. |Services|Shipping
SNI.OL|Stolt-Nielsen Ltd |Services|Shipping
0487.HK|Success Universe Group |Services|Shipping
SUH.L|Sutton Harbour Holdings PLC |Services|Shipping
ADP.SI|Swissco Holdings Ltd |Services|Shipping
2617.TW|Taiwan Navigation Co Ltd |Services|Shipping
TCD.DE|Teekay Corp |Services|Shipping
TK|Teekay Corporation |Services|Shipping
THH.DE|Teekay LNG Partners LP |Services|Shipping
TGP|Teekay LNG Partners LP. |Services|Shipping
TOO|Teekay Offshore Partners LP |Services|Shipping
3TK.DE|Teekay Tankers Ltd |Services|Shipping
TNK|Teekay Tankers Ltd. |Services|Shipping
TNK.V|Teekay Tankers Ltd. |Services|Shipping
OLTH.AT|Thessaloniki Port Authority SA |Services|Shipping
3382.HK|Tianjin Port Development |Services|Shipping
T9P.DE|Tianjin Port Development |Services|Shipping
TOPS|Top Ships Inc. |Services|Shipping
TOPS|Top Ships Inc. |Services|Shipping
D8D1.DE|Torm A/S |Services|Shipping
TORM.CO|Torm A/S |Services|Shipping
TOUP.PA|Touax |Services|Shipping
BAUH410.SA|Trevisa Investimentos SA |Services|Shipping
BAZA407.SA|Trevisa Investimentos SA |Services|Shipping
TNP|Tsakos Energy Navigation Limit |Services|Shipping
TK4.DE|Tsakos Energy Navigation Ltd |Services|Shipping
2611.TW|Tze Shin International Co Ltd |Services|Shipping
2606.TW|U-Ming Marine Transpost Corp |Services|Shipping
ULTR|Ultrapetrol (Bahamas) Ltd. |Services|Shipping
VARUNSHIP.BO|Varun Shipping Co Ltd |Services|Shipping
VARUNSHIP.NS|Varun Shipping Co Ltd |Services|Shipping
