More Info|Industry: Application Software |Technology|Application Software
ACTA|Actua Corporation |Technology|Application Software
ADBE|Adobe Systems Incorporated |Technology|Application Software
AVOI|Advanced Voice Recognition Sys |Technology|Application Software
ADVC|Advant-E Corp. |Technology|Application Software
ADVS|Advent Software, Inc. |Technology|Application Software
AGYS|Agilysys Inc. |Technology|Application Software
MDRX|Allscripts Healthcare Solution |Technology|Application Software
APPO|AlphaPoint Technology, Inc. |Technology|Application Software
AMBR|Amber Road, Inc. |Technology|Application Software
AMSWA|American Software, Inc. |Technology|Application Software
ANSS|Ansys, Inc. |Technology|Application Software
APIC|Apigee Corporation |Technology|Application Software
APHD|Appiphany Technologies Holding |Technology|Application Software
ARIS|ARI Network Services Inc. |Technology|Application Software
ATEA|Astea International Inc. |Technology|Application Software
AVG|AVG Technologies N.V. |Technology|Application Software
AWRE|Aware, Inc. |Technology|Application Software
BGNN|B Green Innovations, Inc. |Technology|Application Software
BGNN|B Green Innovations, Inc. |Technology|Application Software
BV|Bazaarvoice, Inc. |Technology|Application Software
BNFT|Benefitfocus, Inc. |Technology|Application Software
BTZO|Bitzio, Inc. |Technology|Application Software
BOX|Box, Inc. |Technology|Application Software
BLIN|Bridgeline Digital, Inc. |Technology|Application Software
BCOV|Brightcove Inc. |Technology|Application Software
BSFT|BroadSoft, Inc. |Technology|Application Software
BSQR|BSQUARE Corp. |Technology|Application Software
BNBI|BullsnBears.com, Inc. |Technology|Application Software
CDNS|Cadence Design Systems Inc. |Technology|Application Software
CDIF|Cardiff International Inc. |Technology|Application Software
CDIF|Cardiff International Inc. |Technology|Application Software
CSLT|Castlight Health, Inc. |Technology|Application Software
CTRX|Catamaran Corporation |Technology|Application Software
CDK|CDK Global, Inc. |Technology|Application Software
ECOM|ChannelAdvisor Corporation |Technology|Application Software
CMCM|Cheetah Mobile Inc. |Technology|Application Software
STV|China Digital TV Holding Co., |Technology|Application Software
CNIT|China Information Technology, |Technology|Application Software
CATI|Clone Algo Technologies Inc. |Technology|Application Software
CVLT|CommVault Systems, Inc. |Technology|Application Software
CSOD|Cornerstone OnDemand, Inc. |Technology|Application Software
COVS|Covisint Corporation |Technology|Application Software
CVT|Cvent, Inc. |Technology|Application Software
DAEG|Daegis Inc. |Technology|Application Software
DPSI|Decisionpoint Systems, Inc. |Technology|Application Software
DWRE|Demandware, Inc. |Technology|Application Software
DPDM|Dolphin Digital Media, Inc. |Technology|Application Software
DPDM|Dolphin Digital Media, Inc. |Technology|Application Software
DTVI|Dot VN, Inc. (DE) |Technology|Application Software
DTSI|DTS Inc. |Technology|Application Software
DVOXQ|DynaVox Inc. |Technology|Application Software
EFUT|e-Future Information Technolog |Technology|Application Software
ELLI|Ellie Mae, Inc. |Technology|Application Software
EIGI|Endurance International Group |Technology|Application Software
EXNT|Enxnet Inc. |Technology|Application Software
EPAZ|Epazz Inc. |Technology|Application Software
PLUS|ePlus inc. |Technology|Application Software
EXA|Exa Corporation |Technology|Application Software
FALC|Falconstor Software Inc. |Technology|Application Software
FIND|Findex.com Inc. |Technology|Application Software
FNJN|Finjan Holdings, Inc. |Technology|Application Software
FEYE|FireEye, Inc. |Technology|Application Software
