More Info|Industry: Healthcare Information Services |Technology|Healthcare Information Services
6HL.DE|Accretive Health Inc |Technology|Healthcare Information Services
ATHN|athenahealth, Inc. |Technology|Healthcare Information Services
BID.DE|Authentidate Holding |Technology|Healthcare Information Services
ADAT|Authentidate Holding Corp. |Technology|Healthcare Information Services
BGATD|Bluegate Corporation |Technology|Healthcare Information Services
SXC.TO|Catamaran Corp |Technology|Healthcare Information Services
CGM.PA|Cegedim |Technology|Healthcare Information Services
CRE.DE|Cerner Corp |Technology|Healthcare Information Services
CERN|Cerner Corporation |Technology|Healthcare Information Services
8116.HK|China Public Healthcare |Technology|Healthcare Information Services
CGS.AX|Cogstate Ltd |Technology|Healthcare Information Services
CLRX|CollabRx, Inc. |Technology|Healthcare Information Services
COP.DE|CompuGroup Medical AG |Technology|Healthcare Information Services
PS1.DE|Computer Programs |Technology|Healthcare Information Services
CPSI|Computer Programs & Systems In |Technology|Healthcare Information Services
COO.AX|Corum Group Ltd |Technology|Healthcare Information Services
CRW.L|Craneware PLC |Technology|Healthcare Information Services
DIGP|DigiPath Corp |Technology|Healthcare Information Services
APZ.V|DMD Digital Health |Technology|Healthcare Information Services
EMO.DE|EM Systems Co. Ltd. |Technology|Healthcare Information Services
EVDY|Everyday Health, Inc. |Technology|Healthcare Information Services
EY.V|Extenway Solutions Inc |Technology|Healthcare Information Services
FDBK.L|Feedback PLC |Technology|Healthcare Information Services
GLH.AX|Global Health Ltd |Technology|Healthcare Information Services
HQY|HealthEquity, Inc. |Technology|Healthcare Information Services
HL5.DE|HealthStream Inc |Technology|Healthcare Information Services
HSTM|Healthstream Inc. |Technology|Healthcare Information Services
HYRR|Hyperera Inc. |Technology|Healthcare Information Services
ICS.AX|ICSGlobal Ltd |Technology|Healthcare Information Services
IS8.DE|ifa systems AG |Technology|Healthcare Information Services
IMPR|Imprivata, Inc. |Technology|Healthcare Information Services
INOV|Inovalon Holdings, Inc. |Technology|Healthcare Information Services
INS.L|Instem PLC |Technology|Healthcare Information Services
ALINS.PA|Intrasense |Technology|Healthcare Information Services
58M.DE|MedAssets Inc |Technology|Healthcare Information Services
MDAS|MedAssets, Inc. |Technology|Healthcare Information Services
MED.PA|Medasys |Technology|Healthcare Information Services
MDFI|Medefile International, Inc. |Technology|Healthcare Information Services
MTBC|Medical Transcription Billing, |Technology|Healthcare Information Services
2M9.DE|Medidata Solutions Inc |Technology|Healthcare Information Services
MDSO|Medidata Solutions, Inc. |Technology|Healthcare Information Services
MDG.AX|Medtech Global Ltd |Technology|Healthcare Information Services
MWX.V|Medworxx Solutions Inc |Technology|Healthcare Information Services
MRJ.DE|Merge Healthcare Inc |Technology|Healthcare Information Services
MRGE|Merge Healthcare Incorporated |Technology|Healthcare Information Services
NGH.V|Nightingale Informatix Corp |Technology|Healthcare Information Services
OC9.DE|Omnicell Inc |Technology|Healthcare Information Services
OMCL|Omnicell, Inc. |Technology|Healthcare Information Services
OMCM|OmniComm Systems Inc. |Technology|Healthcare Information Services
OHE.AX|Orion Health Group Ltd |Technology|Healthcare Information Services
OHE.NZ|Orion Health Group Ltd |Technology|Healthcare Information Services
PINC|Premier, Inc. |Technology|Healthcare Information Services
PVTA|Preventia, Inc. |Technology|Healthcare Information Services
PME.AX|Pro Medicus Ltd |Technology|Healthcare Information Services
QY1.DE|Quality Systems Inc |Technology|Healthcare Information Services
QSII|Quality Systems Inc. |Technology|Healthcare Information Services
MLSBT.PA|Scientific Brain Training |Technology|Healthcare Information Services
SZO.DE|SHL Telemedicine Ltd |Technology|Healthcare Information Services
STRM|Streamline Health Solutions, I |Technology|Healthcare Information Services
TLY.L|Totally PLC |Technology|Healthcare Information Services
3886.HK|Town Health International |Technology|Healthcare Information Services
TCEC|TransCoastal Corporation |Technology|Healthcare Information Services
ULT.L|Ultrasis PLC |Technology|Healthcare Information Services
CNAB|United Cannabis Corporation |Technology|Healthcare Information Services
VEEV|Veeva Systems Inc. |Technology|Healthcare Information Services
SDT.PA|Visiodent |Technology|Healthcare Information Services
WV6.DE|WebMD Health Corp |Technology|Healthcare Information Services
WBMD|WebMD Health Corp. |Technology|Healthcare Information Services
WBSI|WebSafety, Inc. |Technology|Healthcare Information Services
ZMD.V|ZoomMed Inc |Technology|Healthcare Information Services
