More Info|Industry: Information Technology Services |Technology|Information Technology Services
ACAN-B.ST|Acando AB |Technology|Information Technology Services
FRTB.DE|Acando AB |Technology|Information Technology Services
AFL.BO|Accel Frontline Ltd |Technology|Information Technology Services
AFL.NS|Accel Frontline Ltd |Technology|Information Technology Services
ACCEL.BO|Accel Transmatic Ltd |Technology|Information Technology Services
KALECONSU.NS|Accelya Kale Solutions Ltd |Technology|Information Technology Services
KALECONSUL.BO|Accelya Kale Solutions Ltd |Technology|Information Technology Services
ACN|Accenture plc |Technology|Information Technology Services
CSA.DE|Accenture PLC |Technology|Information Technology Services
ACIIN.BO|ACI Infocom Ltd. |Technology|Information Technology Services
ACROPETAL.NS|Acropetal Technologies Ltd |Technology|Information Technology Services
XIM.DE|Acxiom Corp |Technology|Information Technology Services
ACXM|Acxiom Corporation |Technology|Information Technology Services
ANOD-B.ST|Addnode Group AB |Technology|Information Technology Services
AR7B.DE|Addnode Group AB |Technology|Information Technology Services
ADN1.DE|Adesso AG |Technology|Information Technology Services
N1N.DE|adinotec AG |Technology|Information Technology Services
ADVENT.BO|Advent Computer Services Ltd |Technology|Information Technology Services
AFTEK.NS|Aftek Ltd |Technology|Information Technology Services
AFTEKLTD.BO|Aftek Ltd |Technology|Information Technology Services
AJEL.BO|Ajel Ltd |Technology|Information Technology Services
ACV.DE|All for One Steeb AG |Technology|Information Technology Services
AEI.DE|Allgeier SE |Technology|Information Technology Services
ADSL.BO|Allied Digital Services Ltd |Technology|Information Technology Services
ADSL.NS|Allied Digital Services Ltd |Technology|Information Technology Services
ALM.L|Allied Minds PLC |Technology|Information Technology Services
AGRI.AT|Alpha Grissin Power |Technology|Information Technology Services
AN3.DE|Alten |Technology|Information Technology Services
ATE.PA|Alten |Technology|Information Technology Services
ALT.PA|Altran Technologies |Technology|Information Technology Services
ATC.DE|Altran Technologies |Technology|Information Technology Services
AI3A.DE|Amadeus IT Holding SA |Technology|Information Technology Services
APR.DE|Amper SA |Technology|Information Technology Services
APP.OL|Apptix ASA |Technology|Information Technology Services
2471.TW|Ares International Corp |Technology|Information Technology Services
ASZ.AX|ASG Group Ltd |Technology|Information Technology Services
ASMTEC.BO|ASM Technologies Ltd |Technology|Information Technology Services
SAYAHOU.BO|ASYA Infosoft Ltd |Technology|Information Technology Services
ATHENA.CO|Athena IT-Group AS |Technology|Information Technology Services
ATO.PA|Atos |Technology|Information Technology Services
ATONV.PA|Atos |Technology|Information Technology Services
AXI.DE|Atos |Technology|Information Technology Services
AUB.PA|Aubay |Technology|Information Technology Services
JAISALSE.BO|Aurum Soft Systems Ltd |Technology|Information Technology Services
OSI.PA|Ausy |Technology|Information Technology Services
0771.HK|Automated Systems Holding |Technology|Information Technology Services
UTO.DE|Automated Systems Holdings Ltd |Technology|Information Technology Services
AVEG-B.ST|Avega Group AB |Technology|Information Technology Services
4A9.DE|AVEVA Group PLC |Technology|Information Technology Services
AVV.L|AVEVA Group PLC |Technology|Information Technology Services
AXIS.ST|Axis AB |Technology|Information Technology Services
XIS.DE|Axis AB |Technology|Information Technology Services
A69.SI|Azeus Systems Holdings Ltd |Technology|Information Technology Services
BOSC|B.O.S. Better Online Solutions |Technology|Information Technology Services
BET.MI|Be SPA |Technology|Information Technology Services
DAF.DE|Be SPA |Technology|Information Technology Services
BC8.DE|Bechtle AG |Technology|Information Technology Services
0154.HK|Beijing Development (HK) |Technology|Information Technology Services
BFC.DE|BF Holding AG |Technology|Information Technology Services
BLO.OL|Blom ASA |Technology|Information Technology Services
BLUESTINF.NS|Blue Star Infotech Ltd |Technology|Information Technology Services
BLUESTINFO.BO|Blue Star Infotech Ltd |Technology|Information Technology Services
BODHTREE.NS|Bodhtree Consulting Ltd |Technology|Information Technology Services
BOLD.BA|Boldt SA |Technology|Information Technology Services
BOUVET.OL|Bouvet ASA |Technology|Information Technology Services
BYTE.AT|Byte Computer SA |Technology|Information Technology Services
BPG.AX|Byte Power Group Ltd |Technology|Information Technology Services
COO1.DE|caatoosee ag |Technology|Information Technology Services
CA8A.DE|CACI International Inc |Technology|Information Technology Services
CACI|CACI International Inc. |Technology|Information Technology Services
CTE.BO|Cambridge Technology |Technology|Information Technology Services
CTE.NS|Cambridge Technology |Technology|Information Technology Services
COK.DE|CANCOM SE |Technology|Information Technology Services
CAPE.ST|Caperio Holding AB |Technology|Information Technology Services
CAP.PA|Capgemini |Technology|Information Technology Services
CGM.DE|Capgemini |Technology|Information Technology Services
8157.HK|Capinfo Co., Ltd. |Technology|Information Technology Services
CATECH.BO|CAT Technologies Ltd |Technology|Information Technology Services
CDW|CDW Corporation |Technology|Information Technology Services
CJ5A.DE|CGI Group Inc |Technology|Information Technology Services
GIB-A.TO|CGI Group Inc |Technology|Information Technology Services
CHGT|Changing Technologies, Inc. |Technology|Information Technology Services
MLCHE.PA|Cheops Technology France SA |Technology|Information Technology Services
8166.HK|China Eco-Farming Ltd. |Technology|Information Technology Services
1094.HK|China Public Procurement Ltd. |Technology|Information Technology Services
0354.HK|Chinasoft International Ltd. |Technology|Information Technology Services
CBR|Ciber, Inc. |Technology|Information Technology Services
BAUH118.SA|Cielo SA |Technology|Information Technology Services
CHAKKILAM.BO|Cigniti Technologies Ltd |Technology|Information Technology Services
CMC.BO|CMC Ltd |Technology|Information Technology Services
CMC.NS|CMC Ltd |Technology|Information Technology Services
COZ.DE|Cognizant Technology |Technology|Information Technology Services
COLUM.CO|Columbus AS |Technology|Information Technology Services
CCC.L|Computacenter PLC |Technology|Information Technology Services
CVB.DE|Computer And Technologies |Technology|Information Technology Services
CS9.DE|Computer Sciences Corp |Technology|Information Technology Services
CSC|Computer Sciences Corporation |Technology|Information Technology Services
CTG|Computer Task Group Inc. |Technology|Information Technology Services
CPU.AX|Computershare Ltd |Technology|Information Technology Services
QCH.DE|Computershare Ltd |Technology|Information Technology Services
CT71.DE|CONET Technologie AG |Technology|Information Technology Services
MLCNT.PA|Consort NT |Technology|Information Technology Services
COM.CO|Copenhagen Network A/S |Technology|Information Technology Services
CORO.L|Corero Network Security PLC |Technology|Information Technology Services
CBX.V|Cortex Business Solutions Inc |Technology|Information Technology Services
CPI.AT|CPI Computer Peripherals SA |Technology|Information Technology Services
CGO.AX|CPT Global Ltd |Technology|Information Technology Services
CRESSAN.BO|Cressanda Solutions Ltd. |Technology|Information Technology Services
CCZ.TO|CriticalControl Solutions Corp |Technology|Information Technology Services
544.SI|CSE Global Ltd |Technology|Information Technology Services
XCC.DE|CSE Global Ltd |Technology|Information Technology Services
CSFG.L|CSF Group PLC |Technology|Information Technology Services
CSPI|CSP Inc. |Technology|Information Technology Services
CSSTECH.BO|CSS Technergy Ltd |Technology|Information Technology Services
CYBE.ST|Cybercom Group AB |Technology|Information Technology Services
YCS.DE|Cybercom Group AB |Technology|Information Technology Services
CYBERTE.BO|Cybertech Sys & Software |Technology|Information Technology Services
CYBERTECH.NS|Cybertech Sys & Software |Technology|Information Technology Services
INFOTECEN.NS|Cyient Ltd |Technology|Information Technology Services
INFOTECENT.BO|Cyient Ltd |Technology|Information Technology Services
DANLAW.BO|Danlaw Technologies India Ltd |Technology|Information Technology Services
DAT.OL|Data Respons ASA |Technology|Information Technology Services
DTL.AX|Data3 Ltd |Technology|Information Technology Services
D6H.DE|Datagroup AG |Technology|Information Technology Services
DTC.L|Datatec Ltd |Technology|Information Technology Services
DAI-H.V|Datinvest International Ltd |Technology|Information Technology Services
DVT.PA|Devoteam SA |Technology|Information Technology Services
DMRC|Digimarc Corporation |Technology|Information Technology Services
DIN.DE|Digital China Holdings Ltd |Technology|Information Technology Services
0861.HK|Digital China Holdings Ltd. |Technology|Information Technology Services
8007.HK|Digitalhongkong.com |Technology|Information Technology Services
DIV.TO|Diversinet Corporation |Technology|Information Technology Services
DA9.DE|DTS Corporation |Technology|Information Technology Services
DWS.AX|DWS Ltd |Technology|Information Technology Services
ECOM.BO|e.Com Infotech Ltd |Technology|Information Technology Services
0618.HK|EC-Founder holdings |Technology|Information Technology Services
ECG.AX|eCargo Holdings Ltd |Technology|Information Technology Services
ECLERX.BO|eClerx Services Ltd |Technology|Information Technology Services
ECLERX.NS|eClerx Services Ltd |Technology|Information Technology Services
ECONB.BR|Econocom Group |Technology|Information Technology Services
SF4.DE|Edgewater Technology Inc |Technology|Information Technology Services
EDGW|Edgewater Technology Inc. |Technology|Information Technology Services
EPD.AX|Empired Ltd |Technology|Information Technology Services
ETEC|Emtec, Inc. |Technology|Information Technology Services
ETEC|Emtec, Inc. |Technology|Information Technology Services
EIT.L|Enables IT Group PLC |Technology|Information Technology Services
ENG.MI|Engineering |Technology|Information Technology Services
ENHT|enherent Corp. |Technology|Information Technology Services
EPAM|EPAM Systems, Inc. |Technology|Information Technology Services
EP8.DE|Epiq Systems Inc |Technology|Information Technology Services
EPIQ|Epiq Systems, Inc. |Technology|Information Technology Services
ERPSOFT.BO|ERP Soft Systems Ltd |Technology|Information Technology Services
EUROC.AT|Euroconsultants SA |Technology|Information Technology Services
EUCA.DE|euromicron AG |Technology|Information Technology Services
EDZ.DE|EVRY ASA |Technology|Information Technology Services
EWRK.ST|eWork Scandinavia AB |Technology|Information Technology Services
EXSY.MI|Expert System S.p.A. |Technology|Information Technology Services
XPR.MI|Exprivia |Technology|Information Technology Services
FCSSOFT.BO|FCS Software Solutions Ltd |Technology|Information Technology Services
FCSSOFT.NS|FCS Software Solutions Ltd |Technology|Information Technology Services
ZGY.DE|Fidelity National Info |Technology|Information Technology Services
FIS|Fidelity National Information |Technology|Information Technology Services
FDP.L|First Derivatives PLC |Technology|Information Technology Services
FLEX.BR|FleXos SA |Technology|Information Technology Services
FUJ1.DE|Fujitsu Ltd |Technology|Information Technology Services
FEW.DE|Funkwerk AG |Technology|Information Technology Services
0465.HK|Futong Technology |Technology|Information Technology Services
GTEIT.BO|G-Tech Info-Training Ltd |Technology|Information Technology Services
GGRA.DE|Gartner Inc |Technology|Information Technology Services
IT|Gartner Inc. |Technology|Information Technology Services
GBT.AX|GBST Holdings Ltd |Technology|Information Technology Services
GENI.ST|Generic Sweden AB |Technology|Information Technology Services
GENESYS.BO|Genesys International Corp Ltd |Technology|Information Technology Services
GENESYS.NS|Genesys International Corp Ltd |Technology|Information Technology Services
GFI.PA|GFI Informatique |Technology|Information Technology Services
GFT.DE|GFT Technologies AG |Technology|Information Technology Services
GLOB|Globant S.A. |Technology|Information Technology Services
GLODYNE.BO|Glodyne Technoserve Ltd |Technology|Information Technology Services
GLODYNE.NS|Glodyne Technoserve Ltd. |Technology|Information Technology Services
GOLDTECH.BO|Goldstone Technologies Ltd |Technology|Information Technology Services
GOLDTECH.NS|Goldstone Technologies Ltd |Technology|Information Technology Services
GOPLEEIN.BO|Goplee Infotech Ltd |Technology|Information Technology Services
OPN.PA|Groupe Open |Technology|Information Technology Services
GSSAMERI.BO|GSS Infotech Ltd |Technology|Information Technology Services
GSSAMERIC.NS|GSS Infotech Ltd |Technology|Information Technology Services
GTL.BO|GTL Ltd |Technology|Information Technology Services
GTL.NS|GTL Ltd |Technology|Information Technology Services
HAN-H.V|Hansa Net Global Commerce Inc. |Technology|Information Technology Services
HCI.TO|Hartco Inc |Technology|Information Technology Services
HCLTECH.BO|HCL Technologies Ltd |Technology|Information Technology Services
