More Info|Industry: Semiconductor - Integrated Circuits |Technology|Semiconductor - Integrated Circuits
API|Advanced Photonix Inc. |Technology|Semiconductor - Integrated Circuits
AMKR|Amkor Technology, Inc. |Technology|Semiconductor - Integrated Circuits
ANAD|Anadigics, Inc. |Technology|Semiconductor - Integrated Circuits
ADI|Analog Devices, Inc. |Technology|Semiconductor - Integrated Circuits
AMCC|Applied Micro Circuits Corpora |Technology|Semiconductor - Integrated Circuits
AAOI|Applied Optoelectronics, Inc. |Technology|Semiconductor - Integrated Circuits
ADNC|Audience, Inc. |Technology|Semiconductor - Integrated Circuits
AXTI|AXT Inc. |Technology|Semiconductor - Integrated Circuits
BRCM|Broadcom Corp. |Technology|Semiconductor - Integrated Circuits
CCMP|Cabot Microelectronics Corpora |Technology|Semiconductor - Integrated Circuits
CSUN|China Sunergy Co. Ltd. |Technology|Semiconductor - Integrated Circuits
CSUN|China Sunergy Co. Ltd. |Technology|Semiconductor - Integrated Circuits
DIOD|Diodes Incorporated |Technology|Semiconductor - Integrated Circuits
DSPG|DSP Group Inc. |Technology|Semiconductor - Integrated Circuits
ESIO|Electro Scientific Industries |Technology|Semiconductor - Integrated Circuits
EMKR|EMCORE Corporation |Technology|Semiconductor - Integrated Circuits
EXAR|Exar Corp. |Technology|Semiconductor - Integrated Circuits
EZCH|EZchip Semiconductor Ltd. |Technology|Semiconductor - Integrated Circuits
FCS|Fairchild Semiconductor Intern |Technology|Semiconductor - Integrated Circuits
INTT|inTEST Corp. |Technology|Semiconductor - Integrated Circuits
INVN|InvenSense, Inc. |Technology|Semiconductor - Integrated Circuits
MRVL|Marvell Technology Group Ltd. |Technology|Semiconductor - Integrated Circuits
MXL|MaxLinear, Inc. |Technology|Semiconductor - Integrated Circuits
MTLK|Metalink, Ltd. |Technology|Semiconductor - Integrated Circuits
MCRL|Micrel Inc. |Technology|Semiconductor - Integrated Circuits
MMTIF|Micromem Technologies Inc. |Technology|Semiconductor - Integrated Circuits
MPAD|Micropac Industries Inc. |Technology|Semiconductor - Integrated Circuits
MSCC|Microsemi Corporation |Technology|Semiconductor - Integrated Circuits
MOSY|MoSys, Inc. |Technology|Semiconductor - Integrated Circuits
OVTI|OmniVision Technologies, Inc. |Technology|Semiconductor - Integrated Circuits
PRKR|Parkervision Inc. |Technology|Semiconductor - Integrated Circuits
PSEM|Pericom Semiconductor Corp. |Technology|Semiconductor - Integrated Circuits
PXLW|Pixelworks, Inc. |Technology|Semiconductor - Integrated Circuits
PMCS|PMC-Sierra Inc. |Technology|Semiconductor - Integrated Circuits
POWI|Power Integrations Inc. |Technology|Semiconductor - Integrated Circuits
QLGC|QLogic Corp. |Technology|Semiconductor - Integrated Circuits
QUIK|QuickLogic Corporation |Technology|Semiconductor - Integrated Circuits
RESN|Resonant Inc. |Technology|Semiconductor - Integrated Circuits
SATCQ|Satcon Technology Corporation |Technology|Semiconductor - Integrated Circuits
SATCQ|Satcon Technology Corporation |Technology|Semiconductor - Integrated Circuits
SCIA|SCI Engineered Materials, Inc. |Technology|Semiconductor - Integrated Circuits
SMI|Semiconductor Manufacturing In |Technology|Semiconductor - Integrated Circuits
SMTC|Semtech Corporation |Technology|Semiconductor - Integrated Circuits
SQNS|Sequans Communications S.A. |Technology|Semiconductor - Integrated Circuits
SEV|Sevcon, Inc. |Technology|Semiconductor - Integrated Circuits
SLAB|Silicon Laboratories Inc. |Technology|Semiconductor - Integrated Circuits
SWKS|Skyworks Solutions Inc. |Technology|Semiconductor - Integrated Circuits
STRB|Strasbaugh |Technology|Semiconductor - Integrated Circuits
SUNE|SunEdison, Inc. |Technology|Semiconductor - Integrated Circuits
SCON|Superconductor Technologies In |Technology|Semiconductor - Integrated Circuits
TSM|Taiwan Semiconductor Manufactu |Technology|Semiconductor - Integrated Circuits
TSEM|Tower Semiconductor Ltd. |Technology|Semiconductor - Integrated Circuits
TXCCQ|TranSwitch Corp. |Technology|Semiconductor - Integrated Circuits
VTSS|Vitesse Semiconductor Corp. |Technology|Semiconductor - Integrated Circuits
XLNX|Xilinx Inc. |Technology|Semiconductor - Integrated Circuits
