More Info|Industry: Electric Utilities |Utilities|Electric Utilities
ABY|Abengoa Yield plc |Utilities|Electric Utilities
THEB.BR|ABO-Group Environment NV |Utilities|Electric Utilities
AELP3.SA|AES Elpa SA |Utilities|Electric Utilities
BAUH290.SA|AES Tiete SA |Utilities|Electric Utilities
BAUH291.SA|AES Tiete SA |Utilities|Electric Utilities
AFLU3.SA|Afluente Geracao |Utilities|Electric Utilities
AFLT3.SA|Afluente Transmissao de |Utilities|Electric Utilities
33S.DE|Albioma |Utilities|Electric Utilities
SECH.PA|Albioma |Utilities|Electric Utilities
ARN.MI|Alerion CleanPower |Utilities|Electric Utilities
AY1.DE|Alliant Energy Corp |Utilities|Electric Utilities
LNT|Alliant Energy Corporation |Utilities|Electric Utilities
ALUP11.SA|Alupar Investimento SA |Utilities|Electric Utilities
AE4.DE|Ameren Corp |Utilities|Electric Utilities
AEE|Ameren Corporation |Utilities|Electric Utilities
AEP.DE|American Electric Power Co Inc |Utilities|Electric Utilities
AEP|American Electric Power Co., I |Utilities|Electric Utilities
AEN.L|Andes Energia PLC |Utilities|Electric Utilities
HZN.L|APR Energy PLC |Utilities|Electric Utilities
KZH.DE|APR Energy PLC |Utilities|Electric Utilities
AFK.OL|Arendals Fossekompani ASA |Utilities|Electric Utilities
A4W.DE|Arise AB |Utilities|Electric Utilities
AWP.ST|Arise AB |Utilities|Electric Utilities
AT|Atlantic Power Corporation |Utilities|Electric Utilities
BCONQ|Beacon Power Corporation |Utilities|Electric Utilities
BCONQ|Beacon Power Corporation |Utilities|Electric Utilities
BKH|Black Hills Corporation |Utilities|Electric Utilities
CPN|Calpine Corp. |Utilities|Electric Utilities
2CP.DE|Capital Power Corp |Utilities|Electric Utilities
CPX.TO|Capital Power Corp |Utilities|Electric Utilities
EBR|Centrais El |Utilities|Electric Utilities
BAUH129.SA|Centrais Elet |Utilities|Electric Utilities
BAZA126.SA|Centrais Elet |Utilities|Electric Utilities
BAUH105.SA|Centrais Elet Do Para SA |Utilities|Electric Utilities
BAUH106.SA|Centrais Elet Do Para SA |Utilities|Electric Utilities
BAZA102.SA|Centrais Elet Do Para SA |Utilities|Electric Utilities
BAZA103.SA|Centrais Elet Do Para SA |Utilities|Electric Utilities
BAUH219.SA|Centrais Eletricas |Utilities|Electric Utilities
BAZA218.SA|Centrais Eletricas |Utilities|Electric Utilities
BAZA219.SA|Centrais Eletricas |Utilities|Electric Utilities
CLSC4.SA|Centrais Eletricas |Utilities|Electric Utilities
L3X.DE|Centrais Eletricas |Utilities|Electric Utilities
L3XC.DE|Centrais Eletricas |Utilities|Electric Utilities
CEPU2.BA|Central Puerto SA |Utilities|Electric Utilities
C3O.DE|Centrosolar Group AG |Utilities|Electric Utilities
C3OA.DE|Centrosolar Group AG |Utilities|Electric Utilities
0916.HK|China Longyuan Power |Utilities|Electric Utilities
6WX.DE|China Longyuan Power |Utilities|Electric Utilities
2380.HK|China Power International |Utilities|Electric Utilities
HPD.DE|China Power International |Utilities|Electric Utilities
ORR.DE|China Power New Energy |Utilities|Electric Utilities
0987.HK|China Renewable Energy |Utilities|Electric Utilities
BAUH141.SA|CIA Energetica |Utilities|Electric Utilities
BAZA138.SA|CIA Energetica |Utilities|Electric Utilities
CIGCF|Cia Energetica de Minas Gerais |Utilities|Electric Utilities
BAUH738.SA|Cia Transmissao Energia |Utilities|Electric Utilities
BAZA736.SA|Cia Transmissao Energia |Utilities|Electric Utilities
CNL|Cleco Corporation |Utilities|Electric Utilities
0002.HK|CLP Holdings Limited |Utilities|Electric Utilities
CLP.DE|CLP Holdings Ltd |Utilities|Electric Utilities
CLP1.DE|CLP Holdings Ltd |Utilities|Electric Utilities
CSG.DE|CMS Energy Corp |Utilities|Electric Utilities
CMS|CMS Energy Corp. |Utilities|Electric Utilities
CIGCF|Companhia Energ |Utilities|Electric Utilities
CEED4.SA|Companhia Estadual |Utilities|Electric Utilities
EEEL3.SA|Companhia Estadual |Utilities|Electric Utilities
EEEL4.SA|Companhia Estadual |Utilities|Electric Utilities
ELP|Companhia Paranaense de Energi |Utilities|Electric Utilities
TRAN.BA|Compania de Transporte de |Utilities|Electric Utilities
EDC.DE|Consolidated Edison Inc |Utilities|Electric Utilities
ED|Consolidated Edison, Inc. |Utilities|Electric Utilities
BAUH163.SA|COSERN |Utilities|Electric Utilities
BAUH164.SA|COSERN |Utilities|Electric Utilities
BAZA164.SA|COSERN |Utilities|Electric Utilities
BAZA144.SA|CPFL Energy SA |Utilities|Electric Utilities
CPLN.MX|CPFL Energy SA |Utilities|Electric Utilities
FKZ.DE|CPFL Energy SA |Utilities|Electric Utilities
D|Dominion Resources, Inc. |Utilities|Electric Utilities
1072.HK|Dongfang Electric Limited |Utilities|Electric Utilities
DPSCLTD.NS|DPSC Ltd. |Utilities|Electric Utilities
DTE|DTE Energy Company |Utilities|Electric Utilities
DGY.DE|DTE Energy Holding Co |Utilities|Electric Utilities
DUK|Duke Energy Corporation |Utilities|Electric Utilities
BAUH289.SA|Duke Energy Int Ger |Utilities|Electric Utilities
BAZA286.SA|Duke Energy Int Ger |Utilities|Electric Utilities
DYN|Dynegy Inc. |Utilities|Electric Utilities
ECTH|ecoTECH Energy Group, Inc. |Utilities|Electric Utilities
EIX|Edison International |Utilities|Electric Utilities
EIX.DE|Edison International |Utilities|Electric Utilities
0N4J.L|Edison Spa |Utilities|Electric Utilities
EDNR.MI|Edison Spa |Utilities|Electric Utilities
BAUH228.SA|EDP - Energias do Brasil SA |Utilities|Electric Utilities
EPG.DE|El Paso Electric Co |Utilities|Electric Utilities
EE|El Paso Electric Co. |Utilities|Electric Utilities
FJG.DE|Electric Power |Utilities|Electric Utilities
L3XB.DE|Eletrobras |Utilities|Electric Utilities
BAZA397.SA|Eletrobras Participacoes SA |Utilities|Electric Utilities
BAUH224.SA|ELETROPAULO |Utilities|Electric Utilities
BAUH222.SA|Eletropaulo Metrop Elect |Utilities|Electric Utilities
ELPL4.SA|Eletropaulo Metrop Elect |Utilities|Electric Utilities
E4S.DE|Elia System Operator |Utilities|Electric Utilities
ELI.BR|Elia System Operator |Utilities|Electric Utilities
ELLO|Ellomay Capital Ltd. |Utilities|Electric Utilities
DNOR.BA|Empresa Distribuidora y |Utilities|Electric Utilities
PWD1.DE|Empresa Distribuidora y |Utilities|Electric Utilities
EDN|Empresa Distribuidora y Comerc |Utilities|Electric Utilities
EPN.DE|Empresa Nacional |Utilities|Electric Utilities
EOC|Empresa Nacional de Electricid |Utilities|Electric Utilities
CECO2.BA|Endesa Costanera SA |Utilities|Electric Utilities
ENA.DE|Endesa SA |Utilities|Electric Utilities
ENB.AX|Eneabba Gas Ltd |Utilities|Electric Utilities
ENLA.DE|ENEL |Utilities|Electric Utilities
0622.HK|Enerchina Holdings, Ltd. |Utilities|Electric Utilities
MLEES.PA|Energie Europe Service |Utilities|Electric Utilities
EKT.DE|Energiekontor AG |Utilities|Electric Utilities
BAUH229.SA|Energisa SA |Utilities|Electric Utilities
BAUH230.SA|Energisa SA |Utilities|Electric Utilities
BAUH231.SA|Energisa SA |Utilities|Electric Utilities
ENERGY.BO|Energy Development Co Ltd |Utilities|Electric Utilities
ENERGYDEV.NS|Energy Development Co Ltd |Utilities|Electric Utilities
ENE.AX|Energy Developments Ltd |Utilities|Electric Utilities
EYD.DE|Energy Developments Ltd |Utilities|Electric Utilities
EQST|Energy Quest, Inc |Utilities|Electric Utilities
EOS.ST|EnergyO Solutions Russia AB |Utilities|Electric Utilities
V38.DE|EnergyO Solutions Russia AB |Utilities|Electric Utilities
ERJ.AX|Enerji Ltd |Utilities|Electric Utilities
MY3.DE|Enerji Ltd |Utilities|Electric Utilities
NER.DE|Enersis SA |Utilities|Electric Utilities
ENTEGRA.BO|Entegra Ltd |Utilities|Electric Utilities
ENTEGRA.NS|Entegra Ltd |Utilities|Electric Utilities
ETR|Entergy Corporation |Utilities|Electric Utilities
BAZA233.SA|Equatorial Energia SA |Utilities|Electric Utilities
EPW.AX|ERM Power Ltd |Utilities|Electric Utilities
EVEIQ|Evergreen Energy, Inc. |Utilities|Electric Utilities
NWJ.DE|Eversource Energy |Utilities|Electric Utilities
AA4.DE|Falck Renewables SPA |Utilities|Electric Utilities
ACT.MI|Falck Renewables SPA |Utilities|Electric Utilities
FNEC|First National Energy Corp. |Utilities|Electric Utilities
FE7.DE|FirstEnergy Corp |Utilities|Electric Utilities
FE|FirstEnergy Corp. |Utilities|Electric Utilities
12F.DE|Fortis Inc |Utilities|Electric Utilities
FTS-PF.TO|Fortis Inc |Utilities|Electric Utilities
FTS-PH.TO|Fortis Inc |Utilities|Electric Utilities
FTS.TO|Fortis Inc |Utilities|Electric Utilities
3800.HK|GCL-Poly Energy |Utilities|Electric Utilities
GEIG|GEI Global Energy Corp. |Utilities|Electric Utilities
GEIGD|GEI Global Energy Corp. |Utilities|Electric Utilities
GEIGE|GEI Global Energy Corp. |Utilities|Electric Utilities
GD2.DE|Geodynamics Ltd |Utilities|Electric Utilities
GDY.AX|Geodynamics Ltd |Utilities|Electric Utilities
GOOD.L|Good Energy Group PLC |Utilities|Electric Utilities
GPG.DE|Great Plains Energy Inc |Utilities|Electric Utilities
GXP|Great Plains Energy Incorporat |Utilities|Electric Utilities
GIPCL.BO|Gujarat Industries Power |Utilities|Electric Utilities
GIPCL.NS|Gujarat Industries Power |Utilities|Electric Utilities
HFM.DE|Hafslund ASA |Utilities|Electric Utilities
HNA.OL|Hafslund ASA |Utilities|Electric Utilities
HNB.OL|Hafslund ASA |Utilities|Electric Utilities
HWI.DE|Hawaiian Electric Ind |Utilities|Electric Utilities
HE|Hawaiian Electric Industries I |Utilities|Electric Utilities
HEGY.L|Helius Energy PLC |Utilities|Electric Utilities
HLXW|Helix Wind, Corp. |Utilities|Electric Utilities
HEDZ.NZ|Horizon Energy |Utilities|Electric Utilities
HRL.AX|HRL Holdings Ltd |Utilities|Electric Utilities
HNP|Huaneng Power International, I |Utilities|Electric Utilities
HYSR|HyperSolar, Inc. |Utilities|Electric Utilities
IDJ.DE|Idacorp Inc |Utilities|Electric Utilities
IDA|IdaCorp, Inc. |Utilities|Electric Utilities
INDOWIND.BO|Indowind Energy Ltd |Utilities|Electric Utilities
INDOWIND.NS|Indowind Energy Ltd |Utilities|Electric Utilities
INC.MI|Innovatec S.p.A. |Utilities|Electric Utilities
IPSA.L|IPSA Group PLC |Utilities|Electric Utilities
I5T.DE|ITC Holdings Corp |Utilities|Electric Utilities
ITC|ITC Holdings Corp. |Utilities|Electric Utilities
JEL.L|Jersey Electricity PLC |Utilities|Electric Utilities
JUHL|Juhl Wind, Inc. |Utilities|Electric Utilities
JYOTIST.BO|Jyoti Structures Ltd |Utilities|Electric Utilities
JYOTISTRU.NS|Jyoti Structures Ltd |Utilities|Electric Utilities
KRE.MI|K.R.Energy S.p.A. |Utilities|Electric Utilities
KALPATPOW.NS|Kalpataru Power |Utilities|Electric Utilities
KALPOWR.BO|Kalpataru Power |Utilities|Electric Utilities
KANIKAIN.BO|Kanika Infrastructure & P |Utilities|Electric Utilities
KPO.DE|Kansai Electric Power Co Inc |Utilities|Electric Utilities
KARMAENG.NS|Karma Energy Ltd |Utilities|Electric Utilities
KEC.NS|KEC International Ltd. |Utilities|Electric Utilities
KOP.DE|Korea Electric Power Corp |Utilities|Electric Utilities
KEP|Korea Electric Power Corp. |Utilities|Electric Utilities
KSK.BO|KSK Energy Ventures Ltd |Utilities|Electric Utilities
KSK.NS|KSK Energy Ventures Ltd |Utilities|Electric Utilities
KSK.L|KSK Power Ventur PLC |Utilities|Electric Utilities
LEC.DE|Lechwerke AG |Utilities|Electric Utilities
MNV6.DE|Mainova AG |Utilities|Electric Utilities
NBVENTURE.BO|Nava Bharat Ventures Ltd |Utilities|Electric Utilities
NBVENTURE.NS|Nava Bharat Ventures Ltd |Utilities|Electric Utilities
FP3.DE|NextEra Energy Inc |Utilities|Electric Utilities
NEE|NextEra Energy, Inc. |Utilities|Electric Utilities
NEE.V|NextEra Energy, Inc. |Utilities|Electric Utilities
NEYVELILI.NS|Neyveli Lignite Corp Ltd |Utilities|Electric Utilities
NEYVELILIG.BO|Neyveli Lignite Corp Ltd |Utilities|Electric Utilities
NHPC.BO|NHPC Ltd |Utilities|Electric Utilities
NHPC.NS|NHPC Ltd |Utilities|Electric Utilities
NYLD|NRG Yield, Inc. |Utilities|Electric Utilities
