CurrencyPair,Date,CloseRate
EUR/USD,2015-03-23,1.09623
EUR/USD,2015-03-24,1.09241
EUR/USD,2015-03-25,1.0962
EUR/USD,2015-03-26,1.08894
EUR/USD,2015-03-27,1.08962
EUR/USD,2015-03-30,1.08124
EUR/USD,2015-03-31,1.07468
EUR/USD,2015-04-01,1.07589
EUR/USD,2015-04-02,1.0883
EUR/USD,2015-04-03,1.0995
EUR/USD,2015-04-06,1.09224
EUR/USD,2015-04-07,1.0822
EUR/USD,2015-04-08,1.07867
EUR/USD,2015-04-09,1.06476
EUR/USD,2015-04-10,1.06013
EUR/USD,2015-04-13,1.05751
EUR/USD,2015-04-14,1.06524
EUR/USD,2015-04-15,1.06771
EUR/USD,2015-04-16,1.07745
EUR/USD,2015-04-17,1.082
EUR/USD,2015-04-20,1.07358
EUR/USD,2015-04-21,1.0734
EUR/USD,2015-04-22,1.0728
EUR/USD,2015-04-23,1.0826
EUR/USD,2015-04-24,1.0862
EUR/USD,2015-04-27,1.08805
EUR/USD,2015-04-28,1.0968
EUR/GBP,2015-03-23,0.73289
EUR/GBP,2015-03-24,0.73561
EUR/GBP,2015-03-25,0.73734
EUR/GBP,2015-03-26,0.73275
EUR/GBP,2015-03-27,0.73254
EUR/GBP,2015-03-30,0.73075
EUR/GBP,2015-03-31,0.72405
EUR/GBP,2015-04-01,0.72555
EUR/GBP,2015-04-02,0.73417
EUR/GBP,2015-04-03,0.7368
EUR/GBP,2015-04-06,0.73409
EUR/GBP,2015-04-07,0.73003
EUR/GBP,2015-04-08,0.72515
EUR/GBP,2015-04-09,0.72422
EUR/GBP,2015-04-10,0.72401
EUR/GBP,2015-04-13,0.72043
EUR/GBP,2015-04-14,0.72076
EUR/GBP,2015-04-15,0.71915
EUR/GBP,2015-04-16,0.72066
EUR/GBP,2015-04-17,0.7223
EUR/GBP,2015-04-20,0.72
EUR/GBP,2015-04-21,0.71901
EUR/GBP,2015-04-22,0.7133
EUR/GBP,2015-04-23,0.71916
EUR/GBP,2015-04-24,0.7158
EUR/GBP,2015-04-27,0.7147
EUR/GBP,2015-04-28,0.7158
EUR/JPY,2015-03-23,131.304
EUR/JPY,2015-03-24,130.778
EUR/JPY,2015-03-25,131.06
EUR/JPY,2015-03-26,129.855
EUR/JPY,2015-03-27,129.794
EUR/JPY,2015-03-30,129.929
EUR/JPY,2015-03-31,128.879
EUR/JPY,2015-04-01,128.701
EUR/JPY,2015-04-02,130.29
EUR/JPY,2015-04-03,130.73
EUR/JPY,2015-04-06,130.618
EUR/JPY,2015-04-07,130.229
EUR/JPY,2015-04-08,129.49
EUR/JPY,2015-04-09,128.481
EUR/JPY,2015-04-10,127.384
EUR/JPY,2015-04-13,126.953
EUR/JPY,2015-04-14,127.188
EUR/JPY,2015-04-15,127.23
EUR/JPY,2015-04-16,128.248
EUR/JPY,2015-04-17,128.554
EUR/JPY,2015-04-20,128.041
EUR/JPY,2015-04-21,128.449
EUR/JPY,2015-04-22,128.64
EUR/JPY,2015-04-23,129.389
EUR/JPY,2015-04-24,129.163
EUR/JPY,2015-04-27,129.592
EUR/JPY,2015-04-28,130.381
EUR/CHF,2015-03-23,1.0578
EUR/CHF,2015-03-24,1.04676
EUR/CHF,2015-03-25,1.05331
EUR/CHF,2015-03-26,1.04762
EUR/CHF,2015-03-27,1.04562
EUR/CHF,2015-03-30,1.04716
EUR/CHF,2015-03-31,1.04451
EUR/CHF,2015-04-01,1.03944
EUR/CHF,2015-04-02,1.04434
EUR/CHF,2015-04-03,1.0453
EUR/CHF,2015-04-06,1.04715
EUR/CHF,2015-04-07,1.04571
EUR/CHF,2015-04-08,1.04179
EUR/CHF,2015-04-09,1.04155
EUR/CHF,2015-04-10,1.03738
EUR/CHF,2015-04-13,1.03321
EUR/CHF,2015-04-14,1.03615
EUR/CHF,2015-04-15,1.03051
EUR/CHF,2015-04-16,1.03004
EUR/CHF,2015-04-17,1.02958
EUR/CHF,2015-04-20,1.0266
EUR/CHF,2015-04-21,1.0249
EUR/CHF,2015-04-22,1.0407
EUR/CHF,2015-04-23,1.0337
EUR/CHF,2015-04-24,1.0359
EUR/CHF,2015-04-27,1.04041
EUR/CHF,2015-04-28,1.04864
